,2021,2020,2019,2018
intangibleAssets,49196000.0,56306000.0,1789000.0,8444000.0
capitalSurplus,1305508000.0,1280841000.0,1280760000.0,1262063000.0
totalLiab,11785130000.0,11456384000.0,10319820000.0,7627122000.0
totalStockholderEquity,-66423000.0,140258000.0,397340000.0,353667000.0
deferredLongTermLiab,3400000.0,600000.0,1100000.0,1500000.0
otherCurrentLiab,370217000.0,314179000.0,270210000.0,265003000.0
totalAssets,11718707000.0,11596642000.0,10717160000.0,7980789000.0
commonStock,670000.0,711000.0,756000.0,790000.0
otherCurrentAssets,70092000.0,50658000.0,44757000.0,48262000.0
retainedEarnings,-1365802000.0,-1139139000.0,-889066000.0,-909186000.0
otherLiab,381780000.0,352059000.0,304569000.0,315980000.0
goodWill,879340000.0,881030000.0,936814000.0,807260000.0
treasuryStock,-6799000.0,-2155000.0,4890000.0,
otherAssets,16360000.0,29063000.0,36122000.0,9488000.0
cash,362113000.0,465640000.0,40406000.0,31315000.0
totalCurrentLiabilities,5874615000.0,5262417000.0,4469427000.0,3894020000.0
otherStockholderEquity,-6799000.0,-2155000.0,4890000.0,
propertyPlantEquipment,6195993000.0,6090045000.0,5876572000.0,3587002000.0
totalCurrentAssets,4504262000.0,4499787000.0,3833662000.0,3543102000.0
longTermInvestments,73556000.0,40411000.0,32201000.0,25493000.0
netTangibleAssets,-994959000.0,-797078000.0,-541263000.0,-462037000.0
netReceivables,385674000.0,330294000.0,294407000.0,270181000.0
longTermDebt,3826978000.0,4123217000.0,3890527000.0,3417122000.0
inventory,3686383000.0,3653195000.0,3454092000.0,3193344000.0
accountsPayable,4695312000.0,4184662000.0,3604722000.0,3376403000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2781914000.0,2266405000.0,1790329000.0,1694087000.0
minorityInterest,,,,
netIncome,2164685000.0,1752302000.0,1391042000.0,1324487000.0
sellingGeneralAdministrative,3769781000.0,3359956000.0,3204765000.0,2967382000.0
grossProfit,7019949000.0,6085692000.0,5394691000.0,5039966000.0
ebit,2929768000.0,2422736000.0,1922626000.0,1826584000.0
operatingIncome,2929768000.0,2422736000.0,1922626000.0,1826584000.0
otherOperatingExpenses,,,,
interestExpense,-144768000.0,-161126000.0,-139975000.0,-122129000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,617229000.0,514103000.0,399287000.0,369600000.0
totalRevenue,13327563000.0,11604493000.0,10149985000.0,9536428000.0
totalOperatingExpenses,10397795000.0,9181757000.0,8227359000.0,7709844000.0
costOfRevenue,6307614000.0,5518801000.0,4755294000.0,4496462000.0
totalOtherIncomeExpenseNet,-147854000.0,-156331000.0,-132297000.0,-132497000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2164685000.0,1752302000.0,1391042000.0,1324487000.0
netIncomeApplicableToCommonShares,2164685000.0,1752302000.0,1391042000.0,1324487000.0
investments,-180333000.0,-164111000.0,-33781000.0,-33781000.0
changeToLiabilities,510911000.0,580608000.0,213423000.0,177676000.0
totalCashflowsFromInvestingActivities,-615620000.0,-614895000.0,-796746000.0,-534302000.0
netBorrowings,-300000000.0,236515000.0,473955000.0,439660000.0
totalCashFromFinancingActivities,-2694858000.0,-1796577000.0,-902811000.0,-1208286000.0
changeToOperatingActivities,79664000.0,166304000.0,54243000.0,35080000.0
issuanceOfStock,84915000.0,62284000.0,60206000.0,72146000.0
changeInCash,-103527000.0,425234000.0,9091000.0,-15033000.0
repurchaseOfStock,-2476048000.0,-2087194000.0,-1432791000.0,-1714013000.0
effectOfExchangeRate,-359000.0,103000.0,169000.0,169000.0
totalCashFromOperatingActivities,3207310000.0,2836603000.0,1708479000.0,1727555000.0
depreciation,328217000.0,314635000.0,270875000.0,258937000.0
otherCashflowsFromInvestingActivities,-1928000.0,-975000.0,-142026000.0,-34818000.0
changeToInventory,-32634000.0,-198864000.0,-239912000.0,-163367000.0
changeToAccountReceivables,-47427000.0,-20515000.0,-15577000.0,18138000.0
otherCashflowsFromFinancingActivities,-3725000.0,-8182000.0,-4181000.0,-6079000.0
changeToNetincome,47167000.0,39814000.0,50608000.0,50231000.0
capitalExpenditures,-442853000.0,-465579000.0,-628057000.0,-504268000.0
annualDilutedAverageShares,69611000.0,74462000.0,77788000.0,82280000.0
