,2021,2020,2019,2018
intangibleAssets,419000000.0,484000000.0,490000000.0,569000000.0
totalLiab,15263000000.0,13911000000.0,7361000000.0,6920000000.0
totalStockholderEquity,-3625000000.0,-3862000000.0,1700000000.0,1569000000.0
minorityInterest,641000000.0,661000000.0,626000000.0,646000000.0
otherCurrentLiab,2830000000.0,2755000000.0,2427000000.0,2482000000.0
totalAssets,12279000000.0,10710000000.0,9687000000.0,9135000000.0
commonStock,119000000.0,59000000.0,2458000000.0,2277000000.0
otherCurrentAssets,2292000000.0,446000000.0,251000000.0,269000000.0
retainedEarnings,-2256000000.0,-3106000000.0,,
otherLiab,1431000000.0,1609000000.0,1596000000.0,1617000000.0
goodWill,1667000000.0,1773000000.0,1647000000.0,1688000000.0
treasuryStock,-1488000000.0,-815000000.0,-758000000.0,-708000000.0
otherAssets,632000000.0,644000000.0,636000000.0,588000000.0
cash,1565000000.0,1782000000.0,1446000000.0,1329000000.0
totalCurrentLiabilities,6247000000.0,6673000000.0,5374000000.0,5303000000.0
deferredLongTermAssetCharges,335000000.0,334000000.0,373000000.0,364000000.0
otherStockholderEquity,-763000000.0,-815000000.0,-758000000.0,-708000000.0
propertyPlantEquipment,1300000000.0,1316000000.0,1256000000.0,678000000.0
totalCurrentAssets,8261000000.0,6493000000.0,5658000000.0,5612000000.0
netTangibleAssets,-5711000000.0,-6119000000.0,-437000000.0,-688000000.0
netReceivables,3782000000.0,3606000000.0,3390000000.0,3377000000.0
longTermDebt,7249000000.0,5262000000.0,5000000.0,
inventory,622000000.0,659000000.0,571000000.0,637000000.0
accountsPayable,1556000000.0,1453000000.0,1331000000.0,1351000000.0
researchDevelopment,159000000,152000000,163000000,181000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1961000000,1511000000,1861000000,1893000000
netIncome,1246000000,906000000,1116000000,1049000000
sellingGeneralAdministrative,1909000000,1769000000,1699000000,1645000000
grossProfit,4193000000,3779000000,3826000000,3726000000
ebit,2149000000,1879000000,1953000000,1925000000
operatingIncome,2149000000,1879000000,1953000000,1925000000
otherOperatingExpenses,-24000000,-21000000,11000000,-25000000
interestExpense,-136000000,-129000000,-129000000,-129000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,541000000,455000000,594000000,683000000
totalRevenue,14298000000,12756000000,13118000000,12915000000
totalOperatingExpenses,12149000000,10877000000,11165000000,10990000000
costOfRevenue,10105000000,8977000000,9292000000,9189000000
totalOtherIncomeExpenseNet,-188000000,-368000000,-92000000,-32000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1420000000,1056000000,1267000000,1210000000
netIncomeApplicableToCommonShares,1246000000,906000000,1103000000,1049000000
investments,40000000,-51000000,-51000000,-51000000
changeToLiabilities,130000000,20000000,6000000,124000000
totalCashflowsFromInvestingActivities,-89000000,-353000000,-203000000,-201000000
netBorrowings,1375000000,5947000000,6000000,11000000
totalCashFromFinancingActivities,58000000,-844000000,-1133000000,-1497000000
changeToOperatingActivities,115000000,14000000,-4000000,31000000
changeInCash,1676000000,342000000,113000000,-225000000
repurchaseOfStock,-725000000,-725000000,-725000000,-725000000
effectOfExchangeRate,-43000000,59000000,-20000000,-77000000
totalCashFromOperatingActivities,1750000000,1480000000,1469000000,1550000000
depreciation,203000000,191000000,180000000,190000000
otherCashflowsFromInvestingActivities,107000000,-66000000,-11000000,21000000
dividendsPaid,-393000000,-260000000,-260000000,-260000000
changeToInventory,14000000,-76000000,60000000,24000000
changeToAccountReceivables,-99000000,119000000,-94000000,-187000000
otherCashflowsFromFinancingActivities,-199000000,-6531000000,-1139000000,-1508000000
changeToNetincome,141000000,306000000,205000000,319000000
capitalExpenditures,-156000000,-183000000,-145000000,-172000000
