,2021,2020,2019,2018
capitalSurplus,16749000000.0,16552000000.0,14955000000.0,8046000000.0
totalLiab,54709000000.0,61491000000.0,72958000000.0,22524000000.0
totalStockholderEquity,10565000000.0,8811000000.0,24470000000.0,21330000000.0
otherCurrentLiab,693000000.0,1266000000.0,2969000000.0,807000000.0
totalAssets,75036000000.0,80064000000.0,107190000000.0,43854000000.0
commonStock,217000000.0,216000000.0,209000000.0,179000000.0
otherCurrentAssets,1288000000.0,2688000000.0,5696000000.0,678000000.0
retainedEarnings,4480000000.0,2996000000.0,20180000000.0,23750000000.0
otherLiab,15933000000.0,16060000000.0,20068000000.0,4911000000.0
treasuryStock,-10881000000.0,-10953000000.0,-10874000000.0,-10645000000.0
otherAssets,1231000000.0,1044000000.0,1322000000.0,805000000.0
cash,2764000000.0,2008000000.0,3032000000.0,3033000000.0
totalCurrentLiabilities,8324000000.0,8223000000.0,12705000000.0,7412000000.0
deferredLongTermAssetCharges,37000000.0,56000000.0,,
shortLongTermDebt,416000000.0,1334000000.0,657000000.0,116000000.0
otherStockholderEquity,-208000000.0,-288000000.0,-221000000.0,-172000000.0
propertyPlantEquipment,60656000000.0,66951000000.0,83641000000.0,31437000000.0
totalCurrentAssets,10211000000.0,8819000000.0,14633000000.0,9932000000.0
longTermInvestments,2938000000.0,3250000000.0,6394000000.0,1680000000.0
netTangibleAssets,10565000000.0,8811000000.0,23270000000.0,21330000000.0
netReceivables,4313000000.0,2225000000.0,4319000000.0,4961000000.0
longTermDebt,29363000000.0,36251000000.0,38966000000.0,10201000000.0
inventory,1846000000.0,1898000000.0,1581000000.0,1260000000.0
accountsPayable,3899000000.0,2987000000.0,4910000000.0,4885000000.0
goodWill,,,1200000000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3705000000,-15705000000,354000000,5608000000
minorityInterest,,,,
netIncome,2322000000,-14831000000,-667000000,4131000000
sellingGeneralAdministrative,863000000,864000000,893000000,585000000
grossProfit,16297000000,9341000000,12524000000,11256000000
ebit,4361000000,-8335000000,2747000000,4701000000
operatingIncome,4361000000,-8335000000,2747000000,4701000000
otherOperatingExpenses,2070000000,1484000000,2212000000,1467000000
interestExpense,-1492000000,-1852000000,-880000000,-356000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,915000000,-2172000000,861000000,1477000000
totalRevenue,25956000000,17809000000,20911000000,17824000000
totalOperatingExpenses,21595000000,26144000000,18164000000,13123000000
costOfRevenue,9659000000,8468000000,8387000000,6568000000
totalOtherIncomeExpenseNet,-656000000,-7370000000,-2393000000,907000000
discontinuedOperations,-468000000,-1298000000,-15000000,-15000000
netIncomeFromContinuingOps,2790000000,-13533000000,-507000000,4131000000
netIncomeApplicableToCommonShares,1512000000,-15675000000,-985000000,4114000000
investments,406000000,109000000,355000000,-182000000
changeToLiabilities,865000000,-3228000000,358000000,-1500000000
totalCashflowsFromInvestingActivities,-1253000000,-819000000,-29027000000,-3206000000
netBorrowings,-6834000000,-1980000000,15057000000,478000000
totalCashFromFinancingActivities,-8572000000,-4516000000,22193000000,-3102000000
changeToOperatingActivities,-119000000,350000000,170000000,171000000
issuanceOfStock,31000000,134000000,10028000000,33000000
changeInCash,609000000,-1380000000,541000000,1361000000
repurchaseOfStock,-8000000,-12000000,-237000000,-1248000000
totalCashFromOperatingActivities,10434000000,3955000000,7375000000,7669000000
depreciation,8751000000,15196000000,6425000000,4393000000
otherCashflowsFromInvestingActivities,18000000,-560000000,-424000000,55000000
dividendsPaid,-839000000,-1845000000,-2624000000,-2374000000
changeToInventory,-86000000,-484000000,78000000,-108000000
changeToAccountReceivables,-2086000000,2062000000,401000000,955000000
otherCashflowsFromFinancingActivities,-922000000,-813000000,-31000000,9000000
changeToNetincome,787000000,4868000000,590000000,-411000000
capitalExpenditures,-2870000000,-2535000000,-6367000000,-4975000000
