,2021,2020,2019,2018
intangibleAssets,16130000000.0,13189000000.0,11642000000.0,10241000000.0
capitalSurplus,32918000000.0,29785000000.0,29590000000.0,49907000000.0
totalLiab,35543000000.0,36410000000.0,36042000000.0,33755000000.0
totalStockholderEquity,22402000000.0,15371000000.0,13207000000.0,10449000000.0
minorityInterest,675000000.0,882000000.0,336000000.0,293000000.0
otherCurrentLiab,6020000000.0,5689000000.0,5681000000.0,5173000000.0
totalAssets,58620000000.0,52663000000.0,49585000000.0,44497000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,2249000000.0,2387000000.0,4034000000.0,3453000000.0
retainedEarnings,14343000000.0,10375000000.0,8494000000.0,5569000000.0
otherLiab,6768000000.0,6814000000.0,7287000000.0,7334000000.0
goodWill,16584000000.0,16612000000.0,16545000000.0,16526000000.0
treasuryStock,-24860000000.0,-24790000000.0,-24878000000.0,-45028000000.0
otherAssets,5237000000.0,4886000000.0,4960000000.0,3052000000.0
cash,6267000000.0,2984000000.0,632000000.0,856000000.0
totalCurrentLiabilities,9479000000.0,8296000000.0,9048000000.0,8321000000.0
deferredLongTermAssetCharges,1206000000.0,993000000.0,938000000.0,266000000.0
otherStockholderEquity,-1902000000.0,-1832000000.0,-1970000000.0,-1608000000.0
propertyPlantEquipment,3366000000.0,3596000000.0,3783000000.0,2079000000.0
totalCurrentAssets,16676000000.0,13779000000.0,11902000000.0,11880000000.0
longTermInvestments,627000000.0,601000000.0,753000000.0,719000000.0
netTangibleAssets,-10312000000.0,-14430000000.0,-14980000000.0,-16318000000.0
netReceivables,6984000000.0,7017000000.0,6837000000.0,7199000000.0
longTermDebt,17693000000.0,19707000000.0,17977000000.0,18060000000.0
accountsPayable,800000000.0,571000000.0,632000000.0,502000000.0
shortLongTermDebt,,,,310000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5115000000,3119000000,3170000000,3937000000
netIncome,4543000000,2422000000,3308000000,3455000000
sellingGeneralAdministrative,6451000000,5389000000,5580000000,5113000000
grossProfit,10842000000,10452000000,10874000000,11026000000
ebit,4001000000,4665000000,4876000000,5486000000
operatingIncome,4001000000,4665000000,4876000000,5486000000
otherOperatingExpenses,,5000000.0,5000000.0,5000000.0
interestExpense,-986000000,-1031000000,-962000000,-1030000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,646000000,535000000,-29000000,580000000
totalRevenue,28586000000,25285000000,26998000000,26425000000
totalOperatingExpenses,24585000000,20620000000,22122000000,20939000000
costOfRevenue,17744000000,14833000000,16124000000,15399000000
totalOtherIncomeExpenseNet,1114000000,-1546000000,-1706000000,-1549000000
discontinuedOperations,162000000,117000000,140000000,135000000
netIncomeFromContinuingOps,4469000000,2584000000,3199000000,3357000000
netIncomeApplicableToCommonShares,4499000000,2422000000,3308000000,3455000000
investments,-193000000,50000000,-171000000,-161000000
changeToLiabilities,760000000,188000000,302000000,-145000000
totalCashflowsFromInvestingActivities,2395000000,56000000,-155000000,-611000000
netBorrowings,-2230000000,768000000,-393000000,-1107000000
totalCashFromFinancingActivities,-152000000,-90000000,-1216000000,-2531000000
changeToOperatingActivities,-112000000,68000000,19000000,-39000000
issuanceOfStock,2080000000,5000000,15000000,29000000
changeInCash,3148000000,2285000000,-142000000,297000000
repurchaseOfStock,-110000000,-151000000,-113000000,-653000000
effectOfExchangeRate,-48000000,25000000,-1000000,-25000000
totalCashFromOperatingActivities,953000000,2294000000,1230000000,3464000000
depreciation,390000000,393000000,418000000,427000000
otherCashflowsFromInvestingActivities,-32000000,-7000000,4000000,-26000000
dividendsPaid,-647000000,-600000000,-595000000,-599000000
changeToInventory,-16584000000,-12170000000,-14215000000,-12185000000
changeToAccountReceivables,179000000,-68000000,-247000000,-389000000
otherCashflowsFromFinancingActivities,-228000000,-112000000,-130000000,-201000000
changeToNetincome,-1840000000,414000000,-1085000000,366000000
capitalExpenditures,-354000000,-324000000,-345000000,-345000000
