,2021,2020,2019,2018
intangibleAssets,58028000.0,319000.0,532000.0,745000.0
capitalSurplus,465594000.0,357908000.0,257501000.0,203680000.0
totalLiab,2321431000.0,1952269000.0,1960289000.0,1187173000.0
totalStockholderEquity,893714000.0,655643000.0,526628000.0,334753000.0
deferredLongTermLiab,461852000.0,371357000.0,292134000.0,225459000.0
otherCurrentLiab,1862850000.0,1627061000.0,1673883000.0,976767000.0
totalAssets,3215145000.0,2607912000.0,2486917000.0,1521926000.0
commonStock,623000.0,618000.0,613000.0,607000.0
otherCurrentAssets,1923297000.0,1674313000.0,1709396000.0,1003073000.0
retainedEarnings,915579000.0,719619000.0,576166000.0,395590000.0
otherLiab,283582000.0,188130000.0,157489000.0,125877000.0
goodWill,51889000.0,51889000.0,51889000.0,51889000.0
treasuryStock,-488082000.0,-422502000.0,-307652000.0,-265124000.0
otherAssets,474396000.0,379400000.0,297792000.0,227708000.0
cash,277978000.0,151710000.0,133667000.0,45718000.0
totalCurrentLiabilities,1990410000.0,1718030000.0,1753522000.0,1028682000.0
shortLongTermDebt,1775000.0,1775000.0,1775000.0,1775000.0
propertyPlantEquipment,378794000.0,311699000.0,265604000.0,176962000.0
totalCurrentAssets,2252038000.0,1864605000.0,1871100000.0,1064622000.0
netTangibleAssets,783797000.0,603435000.0,474207000.0,282119000.0
netReceivables,25903000.0,19577000.0,13318000.0,7376000.0
longTermDebt,27380000.0,29119000.0,30858000.0,32614000.0
inventory,1131000.0,1151000.0,1158000.0,797000.0
accountsPayable,5772000.0,6787000.0,5051000.0,6288000.0
researchDevelopment,118426000.0,90244000.0,73080000.0,46247000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,255962000.0,185936000.0,226087000.0,174711000.0
minorityInterest,,,,
netIncome,195960000.0,143453000.0,180576000.0,137065000.0
sellingGeneralAdministrative,485834000.0,413916000.0,306820000.0,240486000.0
grossProfit,925049000.0,743656000.0,648335000.0,490105000.0
ebit,253567000.0,186123000.0,226224000.0,173715000.0
operatingIncome,253567000.0,186123000.0,226224000.0,173715000.0
otherOperatingExpenses,,,,
interestExpense,1403000.0,-1399000.0,-940000.0,-766000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,60002000.0,42483000.0,45511000.0,37646000.0
totalRevenue,1055524000.0,841434000.0,737671000.0,566336000.0
totalOperatingExpenses,801957000.0,655311000.0,511447000.0,392621000.0
costOfRevenue,130475000.0,97778000.0,89336000.0,76231000.0
totalOtherIncomeExpenseNet,2395000.0,-187000.0,-137000.0,996000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,195960000.0,143453000.0,180576000.0,137065000.0
netIncomeApplicableToCommonShares,195960000.0,143453000.0,180495000.0,136906000.0
changeToLiabilities,13940000.0,12111000.0,11372000.0,14106000.0
totalCashflowsFromInvestingActivities,-257670000.0,-117877000.0,-219545000.0,-49417000.0
netBorrowings,-1775000.0,-1775000.0,-1775000.0,-888000.0
totalCashFromFinancingActivities,165724000.0,-165909000.0,650672000.0,-247796000.0
changeToOperatingActivities,-81705000.0,-86772000.0,-72300000.0,-52858000.0
changeInCash,227416000.0,-56579000.0,655390000.0,-112396000.0
repurchaseOfStock,-65580000.0,-114851000.0,-42528000.0,-125436000.0
totalCashFromOperatingActivities,319362000.0,227207000.0,224263000.0,184817000.0
depreciation,30722000.0,26273000.0,23211000.0,17157000.0
otherCashflowsFromInvestingActivities,-131478000.0,-23775000.0,-126611000.0,10489000.0
changeToInventory,481000.0,-41000.0,-403000.0,-306000.0
changeToAccountReceivables,-360000.0,168000.0,-5884000.0,-1838000.0
otherCashflowsFromFinancingActivities,233079000.0,-49283000.0,694975000.0,-121472000.0
changeToNetincome,129754000.0,111306000.0,68714000.0,55874000.0
capitalExpenditures,-120692000.0,-94102000.0,-92934000.0,-59906000.0
annualDilutedAverageShares,58191000.0,58285000.0,58395000.0,58582486.0
