,2022,2021,2020,2019
intangibleAssets,224600000.0,275800000.0,330600000.0,399100000.0
capitalSurplus,1545900000.0,1446700000.0,1289900000.0,1206300000.0
totalLiab,6550000000.0,6279200000.0,5769300000.0,6056500000.0
totalStockholderEquity,3085200000.0,2948000000.0,2781400000.0,2619500000.0
deferredLongTermLiab,433300000.0,384100000.0,372500000.0,366300000.0
otherCurrentLiab,4220900000.0,4045700000.0,3661100000.0,4044100000.0
totalAssets,9635200000.0,9227200000.0,8550700000.0,8676000000.0
commonStock,3600000.0,3600000.0,3600000.0,3600000.0
otherCurrentAssets,3956400000.0,4008200000.0,3497100000.0,3877000000.0
retainedEarnings,1669600000.0,1445900000.0,1431400000.0,1409500000.0
otherLiab,408300000.0,451300000.0,448700000.0,415100000.0
goodWill,1831500000.0,1820700000.0,1791100000.0,1782600000.0
treasuryStock,-133900000.0,51800000.0,56500000.0,100000.0
otherAssets,512500000.0,455300000.0,432000000.0,397700000.0
cash,370000000.0,995200000.0,905200000.0,673600000.0
totalCurrentLiabilities,5269200000.0,4938200000.0,4426900000.0,4845000000.0
otherStockholderEquity,-133900000.0,51800000.0,56500000.0,100000.0
propertyPlantEquipment,480000000.0,498800000.0,522200000.0,408700000.0
totalCurrentAssets,6581600000.0,6169500000.0,5464600000.0,5677700000.0
longTermInvestments,5000000.0,7100000.0,10200000.0,10200000.0
netTangibleAssets,1029100000.0,851500000.0,659700000.0,437800000.0
shortTermInvestments,853900000.0,36700000.0,27200000.0,39000000.0
netReceivables,1318200000.0,1053600000.0,790300000.0,854200000.0
longTermDebt,797700000.0,797300000.0,796800000.0,796400000.0
accountsPayable,105700000.0,89000000.0,79400000.0,75900000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1824600000.0,1434200000.0,1437100000.0,1368000000.0
minorityInterest,,,,
netIncome,1392800000.0,1097500000.0,1098100000.0,1034400000.0
sellingGeneralAdministrative,1415400000.0,1324900000.0,1299200000.0,1218100000.0
grossProfit,3255400000.0,2785600000.0,2759700000.0,2594700000.0
ebit,1840000000.0,1460700000.0,1460500000.0,1376600000.0
operatingIncome,1840000000.0,1460700000.0,1460500000.0,1376600000.0
otherOperatingExpenses,,,,
interestExpense,-36600000.0,-33500000.0,-38800000.0,-17600000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,431800000.0,336700000.0,339000000.0,333600000.0
totalRevenue,4611700000.0,4056800000.0,4040500000.0,3772500000.0
totalOperatingExpenses,2771700000.0,2596100000.0,2580000000.0,2395900000.0
costOfRevenue,1356300000.0,1271200000.0,1280800000.0,1177800000.0
totalOtherIncomeExpenseNet,-15400000.0,-25300000.0,-23400000.0,-8600000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1392800000.0,1097500000.0,1098100000.0,1034400000.0
netIncomeApplicableToCommonShares,1392800000.0,1097500000.0,1098100000.0,1034400000.0
investments,-1252800000.0,-317800000.0,914800000.0,-507000000.0
changeToLiabilities,151800000.0,169000000.0,-4900000.0,77500000.0
totalCashflowsFromInvestingActivities,-1420900000.0,-460600000.0,771900000.0,-1628300000.0
netBorrowings,1300000.0,2300000.0,5100000.0,796300000.0
totalCashFromFinancingActivities,-979300000.0,-636400000.0,-1488200000.0,-1008500000.0
changeToOperatingActivities,-250300000.0,-190800000.0,-183900000.0,-188100000.0
issuanceOfStock,22600000.0,85700000.0,21300000.0,29500000.0
changeInCash,-894700000.0,163300000.0,724600000.0,-1365300000.0
repurchaseOfStock,-145200000.0,-155700000.0,-171900000.0,-56900000.0
totalCashFromOperatingActivities,1505500000.0,1260300000.0,1440900000.0,1271500000.0
depreciation,214500000.0,192000000.0,244100000.0,181500000.0
otherCashflowsFromInvestingActivities,-10600000.0,-8700000.0,-9800000.0,-5300000.0
dividendsPaid,-999600000.0,-908700000.0,-889400000.0,-826800000.0
changeToAccountReceivables,-277000000.0,-272900000.0,55100000.0,-117200000.0
otherCashflowsFromFinancingActivities,141600000.0,340000000.0,-453300000.0,-950600000.0
changeToNetincome,71600000.0,74100000.0,46300000.0,103200000.0
capitalExpenditures,-132600000.0,-114600000.0,-127000000.0,-123800000.0
annualDilutedAverageShares,363100000.0,362100000.0,361000000.0,361800000.0
