,2021,2020,2019,2018
capitalSurplus,142000000.0,88500000.0,61400000.0,69400000.0
totalLiab,17864300000.0,17870000000.0,18655000000.0,16889500000.0
totalStockholderEquity,11437400000.0,10390000000.0,9706100000.0,8592900000.0
otherCurrentLiab,2401700000.0,1905200000.0,2291500000.0,1670900000.0
totalAssets,29301700000.0,28260000000.0,28361100000.0,25482400000.0
commonStock,347300000.0,346600000.0,346300000.0,346600000.0
otherCurrentAssets,730400000.0,515600000.0,388000000.0,364700000.0
retainedEarnings,11869200000.0,11005200000.0,10398500000.0,9275400000.0
otherLiab,1469200000.0,1779700000.0,1833000000.0,1840900000.0
treasuryStock,-921100000.0,-1050300000.0,-1100100000.0,-1098500000.0
otherAssets,1262300000.0,967000000.0,810900000.0,651900000.0
cash,3253600000.0,3405000000.0,4007300000.0,3279200000.0
totalCurrentLiabilities,8512300000.0,7595800000.0,8619600000.0,7669500000.0
deferredLongTermAssetCharges,51500000.0,90400000.0,115400000.0,97100000.0
otherStockholderEquity,-921100000.0,-1050300000.0,-1100100000.0,-1098500000.0
propertyPlantEquipment,3731200000.0,3724200000.0,3462100000.0,3267500000.0
totalCurrentAssets,21112500000.0,20134900000.0,20733300000.0,18483500000.0
netTangibleAssets,11437400000.0,10390000000.0,9706100000.0,8592900000.0
shortTermInvestments,1559400000.0,1429000000.0,1162100000.0,1020400000.0
netReceivables,1575100000.0,1197500000.0,1306100000.0,1314400000.0
inventory,1768300000.0,1221900000.0,1153200000.0,1184700000.0
accountsPayable,1393500000.0,1176200000.0,1115700000.0,1304900000.0
researchDevelopment,324100000.0,273900000.0,326600000.0,306100000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2378600000.0,1657900000.0,3099200000.0,2810200000.0
minorityInterest,,,,
netIncome,1852100000.0,1298400000.0,2387900000.0,2195100000.0
sellingGeneralAdministrative,468900000.0,408900000.0,502400000.0,470200000.0
grossProfit,3162000000.0,2301000000.0,3863000000.0,3519500000.0
ebit,2369000000.0,1618200000.0,3034000000.0,2743200000.0
operatingIncome,2369000000.0,1618200000.0,3034000000.0,2743200000.0
otherOperatingExpenses,,,,
interestExpense,-7300000.0,-4100000.0,-14200000.0,-14200000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,526500000.0,359500000.0,711300000.0,615100000.0
totalRevenue,23522300000.0,18728500000.0,25599700000.0,23495700000.0
totalOperatingExpenses,21153300000.0,17110300000.0,22565700000.0,20752500000.0
costOfRevenue,20360300000.0,16427500000.0,21736700000.0,19976200000.0
totalOtherIncomeExpenseNet,9600000.0,39700000.0,65200000.0,67000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1852100000.0,1298400000.0,2387900000.0,2195100000.0
netIncomeApplicableToCommonShares,1852100000.0,1298400000.0,2387900000.0,2195100000.0
investments,-176100000.0,-244600000.0,-135100000.0,315600000.0
changeToLiabilities,693400000.0,-53600000.0,-27600000.0,528900000.0
totalCashflowsFromInvestingActivities,-1362700000.0,-1875800000.0,-2207400000.0,-1930700000.0
netBorrowings,-210900000.0,-580300000.0,1271400000.0,1210500000.0
totalCashFromFinancingActivities,-882900000.0,-1808500000.0,83400000.0,71100000.0
changeToOperatingActivities,-112500000.0,-115200000.0,-86500000.0,378100000.0
issuanceOfStock,37500000.0,53700000.0,60800000.0,19300000.0
changeInCash,-111300000.0,-635500000.0,739200000.0,1071200000.0
repurchaseOfStock,-1500000.0,-42100000.0,-110200000.0,-354400000.0
effectOfExchangeRate,-52400000.0,61600000.0,2900000.0,-61500000.0
totalCashFromOperatingActivities,2186700000.0,2987200000.0,2860300000.0,2992300000.0
depreciation,305500000.0,397100000.0,1077300000.0,1054100000.0
otherCashflowsFromInvestingActivities,-12800000.0,17300000.0,1100000.0,-1900000.0
changeToInventory,-610300000.0,-48200000.0,24600000.0,-332700000.0
changeToAccountReceivables,-322100000.0,993000000.0,-592500000.0,-811400000.0
changeToNetincome,-217200000.0,-136200000.0,77100000.0,-19800000.0
capitalExpenditures,-1632800000.0,-1638400000.0,-1970800000.0,-1952300000.0
dividendsPaid,,-443280000.0,-435760000.0,-804300000.0
annualDilutedAverageShares,348400000.0,347400000.0,347500000.0,351800000.0
