,2021,2020,2019,2018
totalLiab,82104000000.0,76603000000.0,79808000000.0,64092000000.0
totalStockholderEquity,20971000000.0,21001000000.0,5136000000.0,12651000000.0
minorityInterest,252000000.0,252000000.0,252000000.0,252000000.0
deferredLongTermLiab,9207000000.0,8978000000.0,6066000000.0,4964000000.0
otherCurrentLiab,5158000000.0,4748000000.0,1254000000.0,15958000000.0
totalAssets,103327000000.0,97856000000.0,85196000000.0,76995000000.0
commonStock,35129000000.0,30224000000.0,13038000000.0,12910000000.0
otherCurrentAssets,1497000000.0,2351000000.0,961000000.0,681000000.0
retainedEarnings,-9284000000.0,-9196000000.0,-7892000000.0,-250000000.0
otherLiab,25642000000.0,24526000000.0,46143000000.0,22397000000.0
treasuryStock,-4874000000.0,-27000000.0,-10000000.0,-9000000.0
otherAssets,21190000000.0,20377000000.0,11110000000.0,9243000000.0
cash,291000000.0,484000000.0,1570000000.0,1668000000.0
totalCurrentLiabilities,17427000000.0,13581000000.0,8819000000.0,41695000000.0
shortLongTermDebt,4481000000.0,28000000.0,,18559000000.0
otherStockholderEquity,-20000000.0,-27000000.0,-10000000.0,-9000000.0
propertyPlantEquipment,71060000000.0,67877000000.0,63921000000.0,58557000000.0
totalCurrentAssets,11077000000.0,9602000000.0,10165000000.0,9195000000.0
netTangibleAssets,20971000000.0,21001000000.0,5136000000.0,12651000000.0
netReceivables,8335000000.0,6139000000.0,6987000000.0,6292000000.0
longTermDebt,38225000000.0,37288000000.0,23116000000.0,
inventory,596000000.0,628000000.0,647000000.0,554000000.0
accountsPayable,4655000000.0,4227000000.0,5505000000.0,3515000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,734000000,-956000000,-11056000000,-10143000000
netIncome,-102000000,-1318000000,-7656000000,-6851000000
sellingGeneralAdministrative,-506000000,-416000000,-187000000,-52000000
grossProfit,6061000000,5887000000,4575000000,5107000000
ebit,3164000000,2835000000,1528000000,2123000000
operatingIncome,3164000000,2835000000,1528000000,2123000000
otherOperatingExpenses,,,,
interestExpense,-1615000000,-1274000000,-948000000,-943000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,836000000,362000000,-3400000000,-3292000000
totalRevenue,20642000000,18469000000,17129000000,16759000000
totalOperatingExpenses,17478000000,15634000000,15601000000,14636000000
costOfRevenue,14581000000,12582000000,12554000000,11652000000
totalOtherIncomeExpenseNet,-2430000000,-3791000000,-12584000000,-12266000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-102000000,-1318000000,-7656000000,-6851000000
netIncomeApplicableToCommonShares,-102000000,-1318000000,-7656000000,-6851000000
changeToLiabilities,117000000.0,58000000.0,516000000.0,409000000.0
totalCashflowsFromInvestingActivities,-6905000000.0,-7748000000.0,-6378000000.0,-6564000000.0
netBorrowings,4035000000.0,17466000000.0,1500000000.0,2859000000.0
totalCashFromFinancingActivities,4323000000.0,25928000000.0,1464000000.0,3031000000.0
changeToOperatingActivities,-3045000000.0,-23420000000.0,11000000000.0,10735000000.0
changeInCash,-336000000.0,-1093000000.0,-105000000.0,1212000000.0
totalCashFromOperatingActivities,2262000000.0,-19130000000.0,4816000000.0,4752000000.0
depreciation,3403000000.0,3468000000.0,3234000000.0,3036000000.0
otherCashflowsFromInvestingActivities,35000000.0,-58000000.0,-65000000.0,-50000000.0
changeToInventory,-32000000.0,6000000.0,-80000000.0,-73000000.0
changeToAccountReceivables,-589000000.0,-1182000000.0,-104000000.0,-121000000.0
otherCashflowsFromFinancingActivities,288000000.0,-424000000.0,-121000000.0,-28000000.0
changeToNetincome,1993000000.0,2845000000.0,-2117000000.0,-2360000000.0
capitalExpenditures,-7689000000.0,-7690000000.0,-6313000000.0,-6514000000.0
issuanceOfStock,,8886000000.0,85000000.0,200000000.0
