,2021,2020,2019,2018
intangibleAssets,519760000.0,519917000.0,260204000.0,305079000.0
capitalSurplus,10100294000.0,10175235000.0,9183892000.0,8398847000.0
totalLiab,8111415000.0,8572743000.0,7365417000.0,6205962000.0
totalStockholderEquity,6515470000.0,6733723000.0,6085058000.0,5944439000.0
minorityInterest,630634000.0,613623000.0,582416000.0,568152000.0
otherCurrentLiab,15056000.0,415737000.0,403688000.0,1125000.0
totalAssets,15257519000.0,15920089000.0,14032891000.0,12718553000.0
commonStock,539097000.0,538405000.0,505222000.0,477496000.0
otherCurrentAssets,90644000.0,2693512000.0,3661650000.0,137142000.0
otherLiab,1434843000.0,1331252000.0,466593000.0,245346000.0
treasuryStock,-4123921000.0,-3979917000.0,-3604056000.0,-2931904000.0
otherAssets,638117000.0,665106000.0,538369000.0,591088000.0
cash,158287000.0,44226000.0,80398000.0,110790000.0
totalCurrentLiabilities,1489089000.0,893207000.0,837172000.0,482183000.0
deferredLongTermAssetCharges,92982000.0,87191000.0,72617000.0,53722000.0
shortLongTermDebt,5048000.0,,,
otherStockholderEquity,-4123921000.0,-3979917000.0,-3604056000.0,-2931904000.0
propertyPlantEquipment,12901371000.0,11312107000.0,8397940000.0,10209450000.0
totalCurrentAssets,758536000.0,3020088000.0,4062073000.0,1072919000.0
longTermInvestments,439735000.0,402871000.0,774305000.0,540017000.0
netTangibleAssets,5995710000.0,6213806000.0,5824854000.0,5639360000.0
netReceivables,509208000.0,282350000.0,320025000.0,824987000.0
longTermDebt,4998966000.0,6168389000.0,5909252000.0,5478433000.0
accountsPayable,227638000.0,269145000.0,270524000.0,390273000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,134467000.0,151084000.0,169990000.0,832822000.0
netIncome,505540000.0,413563000.0,45530000.0,1061093000.0
sellingGeneralAdministrative,106303000.0,99237000.0,92966000.0,94702000.0
grossProfit,1127375000.0,832738000.0,833132000.0,811526000.0
ebit,336786000.0,179552000.0,304975000.0,312143000.0
operatingIncome,336786000.0,179552000.0,304975000.0,312143000.0
otherOperatingExpenses,,,,
interestExpense,-157980000.0,-218336000.0,-217612000.0,-261280000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-3261000.0,-9423000.0,-5479000.0,-4396000.0
totalRevenue,1896184000.0,1644875000.0,1240339000.0,1191320000.0
totalOperatingExpenses,1559398000.0,1465323000.0,935364000.0,879177000.0
costOfRevenue,768809000.0,812137000.0,407207000.0,379794000.0
totalOtherIncomeExpenseNet,-202319000.0,-28468000.0,-134985000.0,520679000.0
discontinuedOperations,385663000.0,267450000.0,-115381000.0,236169000.0
netIncomeFromContinuingOps,137728000.0,160507000.0,175469000.0,837218000.0
netIncomeApplicableToCommonShares,502271000.0,411147000.0,43987000.0,1058424000.0
investments,12380000.0,-20563000.0,456758000.0,649999000.0
changeToLiabilities,7768000.0,93495000.0,71659000.0,40625000.0
totalCashflowsFromInvestingActivities,531032000.0,-1007700000.0,-1448778000.0,1829279000.0
netBorrowings,-301014000.0,62997000.0,653668000.0,-2313107000.0
totalCashFromFinancingActivities,-1288517000.0,246450000.0,647271000.0,-2620536000.0
issuanceOfStock,5036000.0,1068877000.0,795586000.0,217656000.0
changeInCash,37763000.0,-2972000.0,44811000.0,57643000.0
repurchaseOfStock,-12841000.0,-10529000.0,-5043000.0,-3432000.0
totalCashFromOperatingActivities,795248000.0,758431000.0,846073000.0,848709000.0
depreciation,665689000.0,544232000.0,430872000.0,403339000.0
dividendsPaid,-650082000.0,-787072000.0,-720123000.0,-696913000.0
changeToAccountReceivables,18626000.0,15281000.0,-49771000.0,5686000.0
otherCashflowsFromFinancingActivities,-329616000.0,-87823000.0,-76817000.0,175260000.0
changeToNetincome,-411591000.0,-318297000.0,336920000.0,-674646000.0
effectOfExchangeRate,,-153000.0,245000.0,191000.0
otherCashflowsFromInvestingActivities,,1802000.0,9359000.0,242000000.0
annualDilutedAverageShares,539241000.0,531056000.0,489335000.0,475387000.0
