,2021,2020,2019,2018
intangibleAssets,18665000000,19315000000,16043000000,15825000000
capitalSurplus,4001000000,3910000000,3886000000,3953000000
totalLiab,76226000000,79366000000,63679000000,63046000000
totalStockholderEquity,16043000000,13454000000,14786000000,14518000000
minorityInterest,108000000,98000000,82000000,84000000
deferredLongTermLiab,119000000,130000000,147000000,112000000
otherCurrentLiab,6221000000,5285000000,4486000000,6603000000
totalAssets,92377000000,92918000000,78547000000,77648000000
commonStock,23000000,23000000,23000000,23000000
otherCurrentAssets,1841000000,48000000,55000000,2044000000
retainedEarnings,65165000000,63443000000,61946000000,59947000000
otherLiab,12382000000,14391000000,12952000000,12613000000
goodWill,18381000000,18757000000,15501000000,14808000000
treasuryStock,-53146000000,-53922000000,-51069000000,-49405000000
otherAssets,6494000000,6014000000,5822000000,5124000000
cash,5596000000,8185000000,5509000000,8721000000
totalCurrentLiabilities,26220000000,23372000000,20461000000,22138000000
deferredLongTermAssetCharges,4310000000,4372000000,4359000000,4364000000
shortLongTermDebt,3872000000,3358000000,2848000000,3953000000
otherStockholderEquity,-14898000000,-15476000000,-14300000000,-15119000000
propertyPlantEquipment,24427000000,23039000000,20853000000,17589000000
totalCurrentAssets,21783000000,23001000000,17645000000,21893000000
longTermInvestments,2627000000,2792000000,2683000000,2409000000
netTangibleAssets,-21003000000,-24618000000,-16758000000,-16115000000
shortTermInvestments,392000000,1366000000,229000000,272000000
netReceivables,8680000000,8404000000,7822000000,7142000000
longTermDebt,36026000000,40370000000,29148000000,28295000000
inventory,4347000000,4172000000,3338000000,3128000000
accountsPayable,9834000000,8853000000,8013000000,7213000000
researchDevelopment,752000000,719000000,711000000,680000000
effectOfAccountingCharges,,,,
incomeBeforeTax,9821000000,9069000000,9312000000,9189000000
netIncome,7618000000,7120000000,7314000000,12515000000
sellingGeneralAdministrative,29875000000,26988000000,25749000000,24227000000
grossProfit,42429000000,38637000000,37178000000,35280000000
ebit,11798000000,10936000000,10719000000,10376000000
operatingIncome,11798000000,10936000000,10719000000,10376000000
otherOperatingExpenses,4000000,-6000000,-1000000,-3000000
interestExpense,-1799000000,-1257000000,-928000000,-1219000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2142000000,1894000000,1959000000,-3370000000
totalRevenue,79474000000,70372000000,67161000000,64661000000
totalOperatingExpenses,67676000000,59436000000,56442000000,54285000000
costOfRevenue,37045000000,31735000000,29983000000,29381000000
totalOtherIncomeExpenseNet,-1977000000,-1867000000,-1407000000,-1187000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7679000000,7175000000,7353000000,12559000000
netIncomeApplicableToCommonShares,7618000000,7120000000,7314000000,12513000000
investments,1077000000,-1108000000,97000000,8701000000
changeToLiabilities,1762000000,766000000,735000000,882000000
totalCashflowsFromInvestingActivities,-3269000000,-11619000000,-6437000000,4564000000
netBorrowings,712000000,12393000000,652000000,-6962000000
totalCashFromFinancingActivities,-10780000000,3819000000,-8489000000,-13769000000
changeToOperatingActivities,159000000,26000000,-87000000,9000000
issuanceOfStock,185000000,179000000,329000000,281000000
changeInCash,-2547000000,2684000000,-5199000000,112000000
repurchaseOfStock,-198000000,-2096000000,-3114000000,-2103000000
effectOfExchangeRate,-114000000,-129000000,78000000,-98000000
totalCashFromOperatingActivities,11616000000,10613000000,9649000000,9415000000
depreciation,3080000000,2874000000,2678000000,2195000000
otherCashflowsFromInvestingActivities,5000000,40000000,-8000000,2000000
dividendsPaid,-5815000000,-5509000000,-5304000000,-4930000000
changeToInventory,-582000000,-516000000,-190000000,-174000000
changeToAccountReceivables,-651000000,-420000000,-650000000,-253000000
otherCashflowsFromFinancingActivities,-5664000000,-1148000000,-1052000000,-55000000
changeToNetincome,65000000,770000000,-30000000,-6411000000
capitalExpenditures,-4625000000,-4240000000,-4232000000,-3282000000
