,2021,2020,2019,2018
intangibleAssets,5358100000,5132700000,5308000000,5008600000
capitalSurplus,10495000000,10321600000,10182600000,10060700000
totalLiab,288198900000,279754800000,261137100000,231188900000
totalStockholderEquity,16069400000,16558900000,14618000000,11390000000
minorityInterest,388900000,314000000,332700000,457200000
deferredLongTermLiab,193100000,173000000,157000000,137600000
otherCurrentLiab,209500000,147700000,294500000,233100000
totalAssets,304657200000,296627700000,276087800000,243036100000
commonStock,4800000,4800000,4800000,4800000
otherCurrentAssets,1995800000,1939700000,1748500000,1653400000
retainedEarnings,12884500000,11838000000,11074300000,10290200000
otherLiab,280633300000,272366000000,254382300000,225361900000
goodWill,1627600000,1711000000,1693800000,1100000000
treasuryStock,-7314900000,-5605500000,-6643700000,-8965700000
otherAssets,206380500000,198017200000,186362600000,164544400000
cash,2332000000,2849800000,2515900000,2977500000
totalCurrentLiabilities,3370900000,2828100000,2791400000,2567400000
shortLongTermDebt,333800000,60800000,38000000,38700000
otherStockholderEquity,1610900000,2383100000,1037900000,-1565100000
propertyPlantEquipment,1038000000,1019000000,967700000,767300000
totalCurrentAssets,6252100000,7045200000,6891600000,6880600000
longTermInvestments,84000900000,83702600000,74864100000,64735200000
netTangibleAssets,12841200000,13124900000,11137500000,8974900000
netReceivables,1268700000,1384300000,1747100000,1505600000
longTermDebt,3978400000,4279200000,3734100000,3259600000
accountsPayable,2659400000,2534900000,2365500000,2252700000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2083600000,1693500000,1693300000,1784400000
netIncome,1710600000,1395800000,1394200000,1546500000
sellingGeneralAdministrative,4987300000,4646500000,4503900000,4136700000
grossProfit,7070900000,6340000000,6197200000,5921100000
ebit,2083600000,1693500000,1693300000,1784400000
operatingIncome,2083600000,1693500000,1693300000,1784400000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,326200000,265000000,249200000,230700000
totalRevenue,14262700000,14741700000,16222100000,14237200000
totalOperatingExpenses,12179100000,13048200000,14528800000,12452800000
costOfRevenue,7191800000,8401700000,10024900000,8316100000
totalOtherIncomeExpenseNet,0,0,0,0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1757400000,1428500000,1444100000,1553700000
netIncomeApplicableToCommonShares,1710600000,1395800000,1394200000,1546500000
investments,-3037200000,-3916400000,-5164600000,-4181800000
changeToLiabilities,0,0,0,0
totalCashflowsFromInvestingActivities,-5658100000,-5025800000,-7688500000,-5702500000
netBorrowings,8400000,530500000,530200000,88000000
totalCashFromFinancingActivities,1921500000,1621100000,1733700000,1052700000
changeToOperatingActivities,1315800000,1657300000,4022000000,3343900000
issuanceOfStock,86700000,42800000,37700000,64000000
changeInCash,-517800000,333900000,-461600000,506700000
repurchaseOfStock,-937200000,-307000000,-281000000,-671600000
totalCashFromOperatingActivities,3218800000,3738600000,5493200000,5156500000
depreciation,275300000,251900000,226800000,205100000
dividendsPaid,-654100000,-614500000,-606000000,-598600000
changeToAccountReceivables,-100900000,16400000,-247600000,37800000
otherCashflowsFromFinancingActivities,3417700000,1969300000,2052800000,2170900000
changeToNetincome,-559900000,-582400000,-431000000,-395100000
capitalExpenditures,-129900000,-108800000,-132400000,-92300000
