,2021,2020,2019,2018
intangibleAssets,1472900000.0,1408600000.0,1284800000.0,1246200000.0
capitalSurplus,1772900000.0,1672900000.0,1573400000.0,1479000000.0
totalLiab,52900700000.0,47059700000.0,41011700000.0,35538700000.0
totalStockholderEquity,17737700000.0,16544700000.0,13179300000.0,10327900000.0
deferredLongTermLiab,47700000.0,25300000.0,,
otherCurrentLiab,15674300000.0,16295500000.0,13988200000.0,12171200000.0
totalAssets,71132300000.0,64098300000.0,54910500000.0,46575000000.0
commonStock,584400000.0,585200000.0,584600000.0,583200000.0
otherCurrentAssets,5188000000.0,4252400000.0,3594300000.0,2931700000.0
retainedEarnings,15339700000.0,13354900000.0,10679600000.0,8386600000.0
otherLiab,297800000.0,409500000.0,131100000.0,5900000.0
goodWill,452700000.0,452700000.0,452700000.0,452700000.0
treasuryStock,40700000.0,931700000.0,341700000.0,-120900000.0
otherAssets,1150500000.0,578100000.0,562500000.0,369000000.0
cash,187100000.0,76500000.0,226200000.0,69500000.0
totalCurrentLiabilities,47595600000.0,41075100000.0,36272000000.0,31127900000.0
deferredLongTermAssetCharges,16300000.0,11900000.0,15200000.0,43200000.0
otherStockholderEquity,40700000.0,931700000.0,341700000.0,-120900000.0
propertyPlantEquipment,1309900000.0,1271500000.0,1401900000.0,1131700000.0
totalCurrentAssets,16174800000.0,18075600000.0,13753100000.0,11603900000.0
longTermInvestments,50571500000.0,42311800000.0,37455500000.0,31771500000.0
netTangibleAssets,17167700000.0,15920600000.0,12498300000.0,9580600000.0
shortTermInvestments,942600000.0,5218500000.0,1798800000.0,1795900000.0
netReceivables,9399500000.0,8160100000.0,7507300000.0,6497100000.0
longTermDebt,4898800000.0,5396100000.0,4407100000.0,4404900000.0
accountsPayable,31848900000.0,24779600000.0,22283800000.0,18956700000.0
minorityInterest,,,225600000.0,214500000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4210000000.0,7173200000.0,5160300000.0,3163600000.0
netIncome,3350900000.0,5704600000.0,3970300000.0,2615300000.0
sellingGeneralAdministrative,,,,
grossProfit,4681400000.0,8673100000.0,5528900000.0,3464200000.0
ebit,4428600000.0,7390200000.0,5350000000.0,3330100000.0
operatingIncome,4428600000.0,7390200000.0,5350000000.0,3330100000.0
otherOperatingExpenses,252800000.0,205500000.0,178900000.0,134100000.0
interestExpense,-218600000.0,-217000000.0,-189700000.0,-166500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,859100000.0,1468600000.0,1180300000.0,542600000.0
totalRevenue,47676500000.0,42638100000.0,38997700000.0,31954700000.0
totalOperatingExpenses,43247900000.0,35247900000.0,33647700000.0,28624600000.0
costOfRevenue,42995100000.0,33965000000.0,33468800000.0,28490500000.0
totalOtherIncomeExpenseNet,-218600000.0,-217000000.0,-189700000.0,-166500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,3350900000.0,5704600000.0,3980000000.0,2621000000.0
netIncomeApplicableToCommonShares,3324000000.0,5677700000.0,3943400000.0,2593900000.0
investments,-2677200000.0,-5999700000.0,-4034100000.0,-6790000000.0
changeToLiabilities,2511100000.0,1377600000.0,2313900000.0,2529600000.0
totalCashflowsFromInvestingActivities,-3119800000.0,-6117700000.0,-4338300000.0,-7034900000.0
netBorrowings,-520000000.0,986300000.0,986300000.0,1096900000.0
totalCashFromFinancingActivities,-4516300000.0,-938800000.0,-1770900000.0,549800000.0
changeToOperatingActivities,4076900000.0,1594700000.0,1339300000.0,1556000000.0
changeInCash,125600000.0,-150900000.0,152400000.0,-200300000.0
repurchaseOfStock,-223000000.0,-111600000.0,-91300000.0,-79000000.0
totalCashFromOperatingActivities,7761700000.0,6905600000.0,6261600000.0,6284800000.0
depreciation,337400000.0,331800000.0,306100000.0,262400000.0
otherCashflowsFromInvestingActivities,47900000.0,83600000.0,6000000.0,11700000.0
dividendsPaid,-3773300000.0,-1577800000.0,-1670000000.0,-668400000.0
changeToAccountReceivables,-1146800000.0,-652800000.0,-1010200000.0,-1074600000.0
changeToNetincome,-1281800000.0,-1427200000.0,-885000000.0,554800000.0
capitalExpenditures,-243500000.0,-223500000.0,-363500000.0,-266000000.0
issuanceOfStock,,7300000.0,1600000.0,3300000.0
otherCashflowsFromFinancingActivities,,-243000000.0,-11200000.0,-296900000.0
annualDilutedAverageShares,587100000.0,587600000.0,587200000.0,586700000.0
