,2022,2021,2020,2019
intangibleAssets,3135817000.0,3519797000.0,3798913000.0,1783277000.0
capitalSurplus,327307000.0,329619000.0,416585000.0,462086000.0
totalLiab,17084023000.0,11927530000.0,13645983000.0,11608538000.0
totalStockholderEquity,8848011000.0,8398307000.0,6227224000.0,5961969000.0
minorityInterest,11909000.0,15363000.0,14546000.0,6183000.0
otherCurrentLiab,1333419000.0,297931000.0,250727000.0,236492000.0
totalAssets,25943943000.0,20341200000.0,19887753000.0,17576690000.0
commonStock,90523000.0,90523000.0,90523000.0,90523000.0
otherCurrentAssets,271327000.0,5486000.0,7561000.0,13699000.0
retainedEarnings,15661808000.0,14915497000.0,13643907000.0,12777538000.0
otherLiab,1368543000.0,2155070000.0,2748908000.0,1935934000.0
goodWill,7740082000.0,8059687000.0,7869935000.0,5453805000.0
treasuryStock,-7231627000.0,-6937332000.0,-7923791000.0,-7368178000.0
otherAssets,451230000.0,454610000.0,128336000.0,176308000.0
cash,535799000.0,733117000.0,685514000.0,3219767000.0
totalCurrentLiabilities,5859318000.0,3096503000.0,3148373000.0,3151773000.0
deferredLongTermAssetCharges,110585000.0,104251000.0,126839000.0,150462000.0
shortLongTermDebt,302280000.0,2819000.0,86029000.0,228000.0
otherStockholderEquity,-1543198000.0,-1566727000.0,-2558875000.0,-2059048000.0
propertyPlantEquipment,2256170000.0,2398356000.0,2431336000.0,1768287000.0
totalCurrentAssets,12046644000.0,5616750000.0,5034768000.0,7673086000.0
longTermInvestments,314000000.0,292000000.0,624465000.0,721927000.0
netTangibleAssets,-2027888000.0,-3181177000.0,-5441624000.0,-1275113000.0
shortTermInvestments,27862000.0,39116000.0,70805000.0,150931000.0
netReceivables,2642480000.0,2538613000.0,2122534000.0,2450789000.0
longTermDebt,9755825000.0,6582053000.0,7652256000.0,6520831000.0
inventory,2214553000.0,2090642000.0,1964195000.0,1678132000.0
accountsPayable,1731925000.0,1667878000.0,1111759000.0,1413155000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1614226000.0,2246957000.0,1506854000.0,1949475000.0
netIncome,1315605000.0,1746100000.0,1201970000.0,1524516000.0
sellingGeneralAdministrative,1577116000.0,1553302000.0,1568051000.0,1568725000.0
grossProfit,4483341000.0,3932960000.0,3462020000.0,3646004000.0
ebit,2906225000.0,2379658000.0,1893969000.0,2077279000.0
operatingIncome,2906225000.0,2379658000.0,1893969000.0,2077279000.0
otherOperatingExpenses,,,,
interestExpense,-255252000.0,-250036000.0,-308161000.0,-190138000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,298040000.0,500096000.0,304522000.0,424392000.0
totalRevenue,15861608000.0,14347640000.0,13695520000.0,14320324000.0
totalOperatingExpenses,12955383000.0,11967982000.0,11801551000.0,12243045000.0
costOfRevenue,11378267000.0,10414680000.0,10233500000.0,10674320000.0
totalOtherIncomeExpenseNet,-1291999000.0,-132701000.0,-387115000.0,-127804000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1316186000.0,1746861000.0,1202332000.0,1525083000.0
netIncomeApplicableToCommonShares,1315605000.0,1746100000.0,1201970000.0,1524516000.0
investments,3914000.0,44610000.0,80741000.0,-106872000.0
changeToLiabilities,131384000.0,526781000.0,-370765000.0,-12397000.0
totalCashflowsFromInvestingActivities,-418837000.0,-13000.0,-5023993000.0,-218510000.0
netBorrowings,5001345000.0,-1934031000.0,1117774000.0,2172351000.0
totalCashFromFinancingActivities,3915636000.0,-2623339000.0,449310000.0,902306000.0
changeToOperatingActivities,970756000.0,113584000.0,-241967000.0,-270887000.0
issuanceOfStock,2831000.0,4684000.0,2623000.0,2475000.0
changeInCash,5914759000.0,47603000.0,-2534253000.0,2397630000.0
repurchaseOfStock,-460056000.0,-218818000.0,-216049000.0,-860052000.0
effectOfExchangeRate,-23770000.0,95954000.0,-30519000.0,-16306000.0
totalCashFromOperatingActivities,2441730000.0,2575001000.0,2070949000.0,1730140000.0
depreciation,571764000.0,595390000.0,537531000.0,436189000.0
otherCashflowsFromInvestingActivities,-235426000.0,24744000.0,177576000.0,19223000.0
dividendsPaid,-569294000.0,-474510000.0,-453213000.0,-412404000.0
changeToInventory,-212134000.0,-85597000.0,206937000.0,-67867000.0
changeToAccountReceivables,-179126000.0,-298511000.0,578853000.0,2452000.0
otherCashflowsFromFinancingActivities,-59190000.0,-664000.0,-1825000.0,-64000.0
changeToNetincome,-189033000.0,-59298000.0,127472000.0,148727000.0
capitalExpenditures,-230044000.0,-209957000.0,-232591000.0,-195089000.0
annualDilutedAverageShares,130355943.0,130834478.0,129805034.0,131781616.0
