,2021,2020,2019,2018
intangibleAssets,311700000.0,300700000.0,340200000.0,379800000.0
capitalSurplus,579400000.0,554400000.0,524800000.0,494500000.0
totalLiab,4229600000.0,4186900000.0,4164800000.0,3897300000.0
totalStockholderEquity,3607200000.0,3246300000.0,3071000000.0,2672400000.0
deferredLongTermLiab,21000000.0,20300000.0,21600000.0,22400000.0
otherCurrentLiab,96300000.0,97000000.0,76600000.0,76100000.0
totalAssets,7836800000.0,7433200000.0,7235800000.0,6569700000.0
commonStock,900000.0,900000.0,900000.0,900000.0
retainedEarnings,3102100000.0,2835500000.0,2704800000.0,2315800000.0
otherLiab,681300000.0,736900000.0,770600000.0,702400000.0
goodWill,923500000.0,863500000.0,918700000.0,917300000.0
treasuryStock,-75200000.0,-144500000.0,-159500000.0,-138800000.0
otherAssets,41600000.0,48400000.0,54400000.0,48900000.0
cash,618700000.0,974600000.0,679500000.0,361500000.0
totalCurrentLiabilities,884800000.0,782600000.0,723800000.0,693600000.0
otherStockholderEquity,-75200000.0,-144500000.0,-159500000.0,-138800000.0
propertyPlantEquipment,3767300000.0,3427600000.0,3386000000.0,3108600000.0
totalCurrentAssets,2732700000.0,2750300000.0,2478400000.0,2115100000.0
longTermInvestments,60000000.0,42700000.0,58100000.0,
netTangibleAssets,2372000000.0,2082100000.0,1812100000.0,1375300000.0
shortTermInvestments,86100000.0,105600000.0,87900000.0,
netReceivables,1078400000.0,837500000.0,872100000.0,918600000.0
longTermDebt,2471500000.0,2479400000.0,2476800000.0,2483700000.0
inventory,902500000.0,787900000.0,794100000.0,795600000.0
accountsPayable,452400000.0,387000000.0,351900000.0,382200000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1108700000,632700000,917000000,970500000
minorityInterest,,,,
netIncome,841100000,461000000,696400000,738000000
sellingGeneralAdministrative,557100000,537300000,565500000,538500000
grossProfit,1880000000,1390400000,1644000000,1645300000
ebit,1310000000,848000000,1071800000,1100100000
operatingIncome,1310000000,848000000,1071800000,1100100000
otherOperatingExpenses,12900000,5100000,6700000,6700000
interestExpense,-93400000,-93500000,-85000000,-89800000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,267600000,171700000,220600000,232500000
totalRevenue,7730300000,6658200000,6964300000,7014600000
totalOperatingExpenses,6420300000,5810200000,5892500000,5914500000
costOfRevenue,5850300000,5267800000,5320300000,5369300000
totalOtherIncomeExpenseNet,-201300000,-215300000,-154800000,-129600000
discontinuedOperations,,,,
netIncomeFromContinuingOps,841100000,461000000,696400000,738000000
netIncomeApplicableToCommonShares,834700000,457400000,691200000,732300000
investments,-500000,-3100000,-146100000,-146100000
changeToLiabilities,12200000,39700000,-32400000,-17600000
totalCashflowsFromInvestingActivities,-794400000,-426100000,-546600000,-608200000
netBorrowings,-67500000,-1500000,-34400000,-151300000
totalCashFromFinancingActivities,-655600000,-311600000,-342800000,-427300000
changeToOperatingActivities,35200000,-2800000,-7000000,3400000
changeInCash,-355900000,295100000,318000000,144600000
repurchaseOfStock,-205900000,-10500000,-8200000,-7900000
totalCashFromOperatingActivities,1094100000,1032800000,1207400000,1180100000
depreciation,409200000,396700000,383600000,386700000
otherCashflowsFromInvestingActivities,-1800000,-6400000,-5100000,-2000000
dividendsPaid,-379800000,-299600000,-298700000,-268100000
changeToInventory,-105500000,6300000,1400000,-35600000
changeToAccountReceivables,-227200000,13200000,56400000,-56100000
otherCashflowsFromFinancingActivities,-2400000,-2400000,-1500000,-1500000
changeToNetincome,123200000,90500000,91100000,90000000
capitalExpenditures,-605100000,-421200000,-399500000,-551400000
