,2021,2020,2019,2018
intangibleAssets,2818000000.0,2019000000.0,2113000000.0,2278000000.0
capitalSurplus,2225000000.0,2105000000.0,2019000000.0,1939000000.0
totalLiab,49498000000.0,55446000000.0,52474000000.0,50540000000.0
totalStockholderEquity,-10106000000.0,-12567000000.0,-11577000000.0,-12459000000.0
minorityInterest,1898000000.0,1936000000.0,1978000000.0,1720000000.0
otherCurrentLiab,3205000000.0,3556000000.0,2860000000.0,2519000000.0
totalAssets,41290000000.0,44815000000.0,42875000000.0,39801000000.0
otherCurrentAssets,561000000.0,860000000.0,701000000.0,481000000.0
retainedEarnings,33082000000.0,31638000000.0,30987000000.0,31014000000.0
otherLiab,5116000000.0,7146000000.0,6416000000.0,6374000000.0
goodWill,6680000000.0,5964000000.0,5858000000.0,7189000000.0
treasuryStock,-45413000000.0,-46310000000.0,-44583000000.0,-45412000000.0
otherAssets,2918000000.0,3480000000.0,2358000000.0,2422000000.0
cash,4496000000.0,7280000000.0,6861000000.0,6593000000.0
totalCurrentLiabilities,19255000000.0,19615000000.0,18833000000.0,17191000000.0
deferredLongTermAssetCharges,895000000.0,1410000000.0,1153000000.0,977000000.0
shortLongTermDebt,2750000000.0,3111000000.0,4051000000.0,4054000000.0
otherStockholderEquity,-9577000000.0,-11181000000.0,-9363000000.0,-10111000000.0
propertyPlantEquipment,6694000000.0,7062000000.0,7397000000.0,7201000000.0
totalCurrentAssets,17717000000.0,21492000000.0,20514000000.0,19442000000.0
longTermInvestments,4463000000.0,4798000000.0,4635000000.0,1269000000.0
netTangibleAssets,-19604000000.0,-20550000000.0,-19548000000.0,-21926000000.0
netReceivables,3940000000.0,3761000000.0,3717000000.0,3564000000.0
longTermDebt,24760000000.0,28144000000.0,26600000000.0,26942000000.0
inventory,8720000000.0,9591000000.0,9235000000.0,8804000000.0
accountsPayable,3331000000.0,2780000000.0,2299000000.0,2068000000.0
commonStock,,,,-12459000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12381000000,10969000000,10021000000,10731000000
netIncome,9109000000,8056000000,7185000000,7911000000
sellingGeneralAdministrative,8203000000,7332000000,8168000000,7449000000
grossProfit,21375000000,19125000000,19292000000,18867000000
ebit,13076000000,11720000000,11058000000,11336000000
operatingIncome,13076000000,11720000000,11058000000,11336000000
otherOperatingExpenses,,,,
interestExpense,-737000000,-728000000,-796000000,-855000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2671000000,2377000000,2293000000,2445000000
totalRevenue,31405000000,28694000000,29805000000,29625000000
totalOperatingExpenses,18329000000,16974000000,18747000000,18289000000
costOfRevenue,10030000000,9569000000,10513000000,10758000000
totalOtherIncomeExpenseNet,-695000000,-751000000,-1037000000,-605000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,9710000000,8592000000,7728000000,8286000000
netIncomeApplicableToCommonShares,9083000000,8036000000,7168000000,7895000000
investments,-34000000,-47000000,-31000000,-63000000
changeToLiabilities,653000000,406000000,451000000,-51000000
totalCashflowsFromInvestingActivities,-2358000000,-1154000000,-1811000000,-998000000
netBorrowings,-3042000000,-356000000,-543000000,-2229000000
totalCashFromFinancingActivities,-11977000000,-8496000000,-8061000000,-9651000000
changeToOperatingActivities,623000000,121000000,1108000000,910000000
changeInCash,-2785000000,420000000,245000000,-1856000000
repurchaseOfStock,-775000000,-775000000,-775000000,-775000000
effectOfExchangeRate,-417000000,258000000,27000000,-685000000
totalCashFromOperatingActivities,11967000000,9812000000,10090000000,9478000000
depreciation,998000000,981000000,964000000,989000000
otherCashflowsFromInvestingActivities,535000000,-505000000,418000000,501000000
dividendsPaid,-7580000000,-7364000000,-7161000000,-6885000000
changeToInventory,549000000,-165000000,-548000000,-613000000
changeToAccountReceivables,-198000000,26000000,-331000000,53000000
otherCashflowsFromFinancingActivities,-580000000,-776000000,-357000000,-537000000
changeToNetincome,493000000,647000000,1186000000,414000000
capitalExpenditures,-748000000,-602000000,-852000000,-1436000000
