,2021,2020,2019,2018
intangibleAssets,1818000000.0,1242000000.0,1644000000.0,1983000000.0
capitalSurplus,12448000000.0,12367000000.0,12376000000.0,12291000000.0
totalLiab,501465000000.0,412638000000.0,360952000000.0,334545000000.0
totalStockholderEquity,50686000000.0,50493000000.0,45321000000.0,43742000000.0
minorityInterest,31000000.0,31000000.0,29000000.0,42000000.0
otherCurrentLiab,100000000.0,,,
totalAssets,557191000000.0,466679000000.0,410295000000.0,382315000000.0
commonStock,2713000000.0,2713000000.0,2712000000.0,2711000000.0
otherCurrentAssets,3826000000.0,2916000000.0,9641000000.0,11494000000.0
retainedEarnings,50228000000.0,46848000000.0,42215000000.0,38919000000.0
otherLiab,7062000000.0,1984000000.0,1318000000.0,1085000000.0
goodWill,10916000000.0,9233000000.0,9233000000.0,9218000000.0
treasuryStock,-14703000000.0,-11435000000.0,-11982000000.0,-10179000000.0
otherAssets,384192000000.0,258084000000.0,284988000000.0,252942000000.0
cash,7431000000.0,6636000000.0,5061000000.0,5608000000.0
totalCurrentLiabilities,468997000000.0,374862000000.0,297201000000.0,276041000000.0
shortLongTermDebt,7182000000.0,3500000000.0,,
otherStockholderEquity,409000000.0,2770000000.0,799000000.0,-725000000.0
propertyPlantEquipment,1919000000.0,1876000000.0,1982000000.0,
totalCurrentAssets,17204000000.0,101393000000.0,20448000000.0,22577000000.0
longTermInvestments,141142000000.0,94851000000.0,92000000000.0,95595000000.0
netTangibleAssets,39770000000.0,41260000000.0,36088000000.0,34524000000.0
shortTermInvestments,450000000.0,85173000000.0,213000000.0,393000000.0
longTermDebt,23602000000.0,33695000000.0,60263000000.0,57419000000.0
inventory,26000000.0,51000000.0,117000000.0,114000000.0
accountsPayable,457278000000.0,365345000000.0,288540000000.0,267839000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6988000000.0,3429000000.0,5492000000.0,5486000000.0
netIncome,5674000000.0,7517000000.0,5369000000.0,5301000000.0
sellingGeneralAdministrative,9811000000.0,7911000000.0,7992000000.0,7677000000.0
grossProfit,19990000000.0,13726000000.0,16066000000.0,15782000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,6988000000.0,3429000000.0,5492000000.0,5486000000.0
otherOperatingExpenses,3191000000.0,2386000000.0,2582000000.0,2619000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1263000000.0,426000000.0,901000000.0,928000000.0
totalRevenue,19990000000.0,13726000000.0,16066000000.0,15782000000.0
totalOperatingExpenses,13002000000.0,10297000000.0,10574000000.0,10296000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,0.0,0.0,0.0,0.0
discontinuedOperations,,4555000000.0,827000000.0,788000000.0
netIncomeFromContinuingOps,5725000000.0,3003000000.0,4591000000.0,4558000000.0
netIncomeApplicableToCommonShares,5409000000.0,7249000000.0,5108000000.0,5040000000.0
investments,-4196000000.0,-62357000000.0,-14933000000.0,10254000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-2795000000.0,-51122000000.0,-24990000000.0,-3969000000.0
netBorrowings,-7991000000.0,-24131000000.0,1983000000.0,-1541000000.0
totalCashFromFinancingActivities,-3432000000.0,48419000000.0,17080000000.0,-3512000000.0
changeToOperatingActivities,-181000000.0,-1553000000.0,-779000000.0,2038000000.0
issuanceOfStock,66000000.0,65000000.0,90000000.0,69000000.0
changeInCash,987000000.0,1956000000.0,-547000000.0,359000000.0
repurchaseOfStock,-1079000000.0,-1624000000.0,-3578000000.0,-2877000000.0
totalCashFromOperatingActivities,7214000000.0,4659000000.0,7363000000.0,7840000000.0
depreciation,1773000000.0,1497000000.0,1315000000.0,1129000000.0
otherCashflowsFromInvestingActivities,-3656000000.0,14699000000.0,4194000000.0,-7521000000.0
dividendsPaid,-2289000000.0,-2209000000.0,-2131000000.0,-1837000000.0
otherCashflowsFromFinancingActivities,6377000000.0,76798000000.0,20716000000.0,2674000000.0
changeToNetincome,-723000000.0,-3759000000.0,898000000.0,265000000.0
annualDilutedAverageShares,426000000.0,427000000.0,448000000.0,470000000.0
