,2021,2020,2019,2018
intangibleAssets,428000000,325900000,339200000,276300000
capitalSurplus,1582700000,1680700000,1777700000,1893800000
totalLiab,2331700000,2090900000,2185600000,1970400000
totalStockholderEquity,2421900000,2106300000,1953900000,1836100000
otherCurrentLiab,265100000,245800000,250400000,251500000
totalAssets,4753600000,4197200000,4139500000,3806500000
commonStock,1700000,1700000,1700000,1700000
otherCurrentAssets,6400000,6900000,9800000,16200000
retainedEarnings,1051400000,631200000,401000000,169200000
otherLiab,323300000,413700000,346400000,364100000
goodWill,2504500000,2392200000,2258300000,2072700000
treasuryStock,-213900000,-207300000,-226500000,-228600000
otherAssets,122600000,119200000,119700000,145500000
cash,94500000,82100000,82500000,74300000
totalCurrentLiabilities,1051700000,772500000,749000000,818700000
deferredLongTermAssetCharges,23100000,27400000,29600000,26200000
otherStockholderEquity,-213900000,-207300000,-226500000,-228600000
propertyPlantEquipment,394500000,384800000,360400000,272600000
totalCurrentAssets,1304000000,975100000,1061900000,1039400000
netTangibleAssets,-510600000,-611800000,-643600000,-512900000
netReceivables,583100000,417600000,543900000,524700000
longTermDebt,894100000,839600000,1029100000,787600000
inventory,562900000,420000000,377400000,387500000
accountsPayable,385700000,245100000,325100000,378600000
researchDevelopment,85900000,75700000,78900000,76700000
effectOfAccountingCharges,,,,
incomeBeforeTax,626800000,432100000,407500000,379800000
minorityInterest,,,,
netIncome,553000000,358600000,355700000,347400000
sellingGeneralAdministrative,589000000,515300000,539400000,502800000
grossProfit,1319200000,1057600000,1051500000,1047700000
ebit,644300000,466600000,433200000,468200000
operatingIncome,644300000,466600000,433200000,468200000
otherOperatingExpenses,,,,
interestExpense,-12500000,-23900000,-30100000,-32600000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,70800000,75000000,45800000,58100000
totalRevenue,3764800000,3017800000,2957200000,2965100000
totalOperatingExpenses,3120500000,2551200000,2524000000,2496900000
costOfRevenue,2445600000,1960200000,1905700000,1917400000
totalOtherIncomeExpenseNet,-17500000,-34500000,-25700000,-88400000
discontinuedOperations,-3000000,1500000,-6000000,25700000
netIncomeFromContinuingOps,556000000,357100000,361700000,321700000
netIncomeApplicableToCommonShares,553000000,358600000,355700000,347400000
changeToLiabilities,114200000,-81900000,-63600000,58300000
totalCashflowsFromInvestingActivities,-390700000,-117900000,-331900000,-68800000
netBorrowings,55100000,-191500000,250000000,-635400000
totalCashFromFinancingActivities,-222200000,-435900000,-17100000,-407900000
changeToOperatingActivities,116800000,77300000,-28500000,-200000
issuanceOfStock,22200000,32900000,12500000,13300000
changeInCash,12400000,-400000,8200000,-12000000
repurchaseOfStock,-150000000,-150200000,-150000000,-500000000
effectOfExchangeRate,12100000,-20200000,4200000,-1400000
totalCashFromOperatingActivities,613200000,573600000,353000000,439100000
depreciation,77500000,75100000,80000000,84600000
otherCashflowsFromInvestingActivities,2700000,2200000,-1500000,-7100000
dividendsPaid,-133000000,-127100000,-122700000,-187200000
changeToInventory,-121400000,-29100000,13600000,-40100000
changeToAccountReceivables,-142000000,148300000,-17500000,-15300000
otherCashflowsFromFinancingActivities,-16500000,-16500000,-6900000,901400000
changeToNetincome,15100000,25300000,13300000,4400000
capitalExpenditures,-60200000,-62200000,-58500000,-48200000
