,2021,2020,2019,2018
intangibleAssets,312814000.0,12181000.0,11038000.0,12004000.0
capitalSurplus,551963000.0,519579000.0,485239000.0,453193000.0
totalLiab,2158738000.0,1100200000.0,1073086000.0,1017281000.0
totalStockholderEquity,1071393000.0,639470000.0,410180000.0,223590000.0
otherCurrentLiab,159525000.0,46553000.0,23299000.0,20871000.0
totalAssets,3230131000.0,1739670000.0,1483266000.0,1240871000.0
commonStock,40000.0,40000.0,40000.0,40000.0
otherCurrentAssets,1150000.0,986000.0,949000.0,1014000.0
retainedEarnings,526874000.0,133870000.0,-64740000.0,-218646000.0
otherLiab,67385000.0,65914000.0,60568000.0,54078000.0
goodWill,688364000.0,268167000.0,188596000.0,188472000.0
treasuryStock,-7484000.0,-14019000.0,-10359000.0,-10997000.0
otherAssets,37967000.0,21987000.0,19902000.0,16974000.0
cash,24321000.0,34128000.0,28583000.0,16358000.0
totalCurrentLiabilities,744416000.0,483249000.0,390846000.0,305610000.0
shortLongTermDebt,14034000.0,24183000.0,11017000.0,9168000.0
otherStockholderEquity,-7484000.0,-14019000.0,-10359000.0,-10997000.0
propertyPlantEquipment,420670000.0,314116000.0,288935000.0,106964000.0
totalCurrentAssets,1769085000.0,1121927000.0,973568000.0,915244000.0
longTermInvestments,1231000.0,1292000.0,1227000.0,1213000.0
netTangibleAssets,70215000.0,359122000.0,210546000.0,23114000.0
netReceivables,376571000.0,289200000.0,226539000.0,207801000.0
longTermDebt,1171578000.0,404149000.0,499662000.0,657593000.0
inventory,1339100000.0,780989000.0,702274000.0,672579000.0
accountsPayable,398697000.0,266753000.0,261963000.0,237835000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,824436000.0,451969000.0,317736000.0,293235000.0
minorityInterest,,,,
netIncome,650624000.0,366738000.0,261575000.0,234461000.0
sellingGeneralAdministrative,786808000.0,659931000.0,583679000.0,556284000.0
grossProfit,1617092000.0,1130902000.0,924925000.0,870173000.0
ebit,830284000.0,470971000.0,341246000.0,313889000.0
operatingIncome,830284000.0,470971000.0,341246000.0,313889000.0
otherOperatingExpenses,,,,
interestExpense,-9839000.0,-10653000.0,-22472000.0,-20296000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,173812000.0,85231000.0,56161000.0,58774000.0
totalRevenue,5295584000.0,3936623000.0,3199517000.0,2998097000.0
totalOperatingExpenses,4465300000.0,3465652000.0,2858271000.0,2684208000.0
costOfRevenue,3678492000.0,2805721000.0,2274592000.0,2127924000.0
totalOtherIncomeExpenseNet,-5848000.0,-19002000.0,-23510000.0,-20654000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,650624000.0,366738000.0,261575000.0,234461000.0
netIncomeApplicableToCommonShares,646303000.0,366738000.0,261575000.0,234461000.0
changeToLiabilities,114893000.0,-9212000.0,16860000.0,-6567000.0
totalCashflowsFromInvestingActivities,-849614000.0,-146289000.0,-42263000.0,-34158000.0
netBorrowings,769554000.0,-95774000.0,-155382000.0,146526000.0
totalCashFromFinancingActivities,526131000.0,-244371000.0,-244486000.0,-97571000.0
changeToOperatingActivities,97911000.0,69275000.0,-1185000.0,-2732000.0
issuanceOfStock,17197000.0,19824000.0,18574000.0,13569000.0
changeInCash,-9807000.0,5545000.0,12225000.0,-13582000.0
repurchaseOfStock,-138039000.0,-76199000.0,-23188000.0,-187469000.0
effectOfExchangeRate,186000.0,-1376000.0,198000.0,-509000.0
totalCashFromOperatingActivities,313490000.0,397581000.0,298776000.0,118656000.0
depreciation,29587000.0,29267000.0,28885000.0,27222000.0
dividendsPaid,-119581000.0,-91929000.0,-83772000.0,-69430000.0
changeToInventory,-525207000.0,-42447000.0,-14165000.0,-142170000.0
changeToAccountReceivables,-79940000.0,-38688000.0,-15691000.0,-14371000.0
otherCashflowsFromFinancingActivities,-3000000.0,-293000.0,-718000.0,-767000.0
changeToNetincome,25183000.0,22517000.0,22108000.0,22120000.0
capitalExpenditures,-37658000.0,-21702000.0,-33362000.0,-31580000.0
annualDilutedAverageShares,40480000.0,40865000.0,40865000.0,41693000.0
