,2021,2020,2019,2018
intangibleAssets,2783000000.0,2351000000.0,2131000000.0,1972000000.0
capitalSurplus,1081000000.0,1008000000.0,950000000.0,788000000.0
totalLiab,14940000000.0,13741000000.0,12305000000.0,11283000000.0
totalStockholderEquity,6286000000.0,5689000000.0,5284000000.0,4630000000.0
minorityInterest,125000000.0,126000000.0,119000000.0,102000000.0
otherCurrentLiab,842000000.0,904000000.0,774000000.0,758000000.0
totalAssets,21351000000.0,19556000000.0,17708000000.0,16015000000.0
commonStock,969000000.0,969000000.0,969000000.0,969000000.0
otherCurrentAssets,373000000.0,409000000.0,426000000.0,366000000.0
retainedEarnings,20372000000.0,19469000000.0,18906000000.0,18131000000.0
otherLiab,2909000000.0,3062000000.0,2769000000.0,2545000000.0
goodWill,6248000000.0,5102000000.0,4470000000.0,4070000000.0
treasuryStock,-16136000000.0,-15757000000.0,-15541000000.0,-15258000000.0
otherAssets,903000000.0,997000000.0,879000000.0,948000000.0
cash,1005000000.0,1826000000.0,1216000000.0,902000000.0
totalCurrentLiabilities,4766000000.0,4831000000.0,4375000000.0,4373000000.0
deferredLongTermAssetCharges,197000000.0,379000000.0,220000000.0,229000000.0
otherStockholderEquity,-2750000000.0,-2599000000.0,-2350000000.0,-2300000000.0
propertyPlantEquipment,4333000000.0,3974000000.0,3765000000.0,2805000000.0
totalCurrentAssets,6774000000.0,6798000000.0,6170000000.0,5961000000.0
longTermInvestments,310000000.0,334000000.0,293000000.0,259000000.0
netTangibleAssets,-2745000000.0,-1764000000.0,-1317000000.0,-1412000000.0
shortTermInvestments,73000000.0,102000000.0,62000000.0,65000000.0
netReceivables,3152000000.0,2726000000.0,2756000000.0,2845000000.0
longTermDebt,6565000000.0,5162000000.0,4531000000.0,4356000000.0
inventory,2171000000.0,1735000000.0,1710000000.0,1783000000.0
accountsPayable,2734000000.0,2259000000.0,2098000000.0,2177000000.0
shortLongTermDebt,,172000000.0,500000000.0,644000000.0
researchDevelopment,439000000,379000000,432000000,441000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1815000000,1362000000,1661000000,1693000000
netIncome,1439000000,1059000000,1243000000,1341000000
sellingGeneralAdministrative,3735000000,3414000000,3621000000,3567000000
grossProfit,6557000000,6091000000,6527000000,6373000000
ebit,1770000000,1655000000,1822000000,1691000000
operatingIncome,1770000000,1655000000,1822000000,1691000000
otherOperatingExpenses,52000000,134000000,141000000,177000000
interestExpense,-121000000,-138000000,-132000000,-118000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,374000000,291000000,392000000,353000000
totalRevenue,16802000000,13834000000,15146000000,15374000000
totalOperatingExpenses,15032000000,12179000000,13324000000,13683000000
costOfRevenue,10245000000,7743000000,8619000000,9001000000
totalOtherIncomeExpenseNet,45000000,-293000000,-161000000,2000000
discontinuedOperations,19000000,3000000,3000000,18000000
netIncomeFromContinuingOps,1441000000,1071000000,1269000000,1340000000
netIncomeApplicableToCommonShares,1439000000,1059000000,1243000000,1341000000
changeToLiabilities,295000000,127000000,-63000000,-76000000
totalCashflowsFromInvestingActivities,-2404000000,-1447000000,-1009000000,-764000000
netBorrowings,824000000,445000000,35000000,983000000
totalCashFromFinancingActivities,93000000,-59000000,-758000000,-1205000000
changeToOperatingActivities,-77000000,24000000,-120000000,-202000000
issuanceOfStock,47000000,54000000,61000000,15000000
changeInCash,-821000000,610000000,314000000,-534000000
repurchaseOfStock,-229000000,-17000000,-345000000,-1736000000
effectOfExchangeRate,-72000000,6000000,1000000,-32000000
totalCashFromOperatingActivities,1562000000,2130000000,2080000000,1467000000
depreciation,561000000,509000000,511000000,497000000
otherCashflowsFromInvestingActivities,57000000,26000000,47000000,-2000000
dividendsPaid,-536000000,-496000000,-468000000,-453000000
changeToInventory,-279000000,111000000,145000000,-109000000
changeToAccountReceivables,-63000000,187000000,121000000,-69000000
otherCashflowsFromFinancingActivities,-13000000,-45000000,-41000000,-14000000
changeToNetincome,-250000000,221000000,275000000,35000000
capitalExpenditures,-371000000,-304000000,-413000000,-411000000
