,2021,2020,2019,2018
intangibleAssets,137051000.0,38811000.0,31336000.0,35256000.0
capitalSurplus,5821667000.0,5707101000.0,5710934000.0,5718485000.0
totalLiab,7957370000.0,2939647000.0,2285777000.0,1783542000.0
totalStockholderEquity,5235177000.0,4766367000.0,4997911000.0,5094478000.0
minorityInterest,88361000.0,18032000.0,16756000.0,25250000.0
totalAssets,17380908000.0,11816546000.0,11365444000.0,10928270000.0
commonStock,17513000.0,17458000.0,17442000.0,17413000.0
otherCurrentAssets,26691000.0,25040000.0,23811000.0,22801000.0
retainedEarnings,-550416000.0,-914791000.0,-665575000.0,-577360000.0
goodWill,165843000.0,165843000.0,174600000.0,174600000.0
treasuryStock,-53587000.0,-43401000.0,-64890000.0,-64060000.0
otherAssets,180965000.0,147675000.0,143033000.0,108296000.0
cash,734599000.0,257560000.0,409743000.0,361218000.0
totalCurrentLiabilities,981728000.0,394655000.0,383284000.0,371259000.0
shortLongTermDebt,499637000.0,,,
otherStockholderEquity,-53587000.0,-43401000.0,-64890000.0,-64060000.0
propertyPlantEquipment,15306996000.0,10408571000.0,9807605000.0,9442111000.0
totalCurrentAssets,761290000.0,282600000.0,441054000.0,384019000.0
longTermInvestments,828763000.0,773046000.0,767816000.0,783988000.0
netTangibleAssets,4932283000.0,4561713000.0,4791975000.0,4884622000.0
longTermDebt,6975642000.0,2544992000.0,1902493000.0,1412283000.0
netReceivables,,,7500000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1959639000.0,1361227000.0,1525651000.0,1717223000.0
netIncome,1953263000.0,1357213000.0,1520534000.0,1711031000.0
sellingGeneralAdministrative,101254000.0,79973000.0,62146000.0,103612000.0
grossProfit,2578319000.0,2116803000.0,2111503000.0,2068235000.0
ebit,1763637000.0,1483573000.0,1536439000.0,1479877000.0
operatingIncome,1763637000.0,1483573000.0,1536439000.0,1479877000.0
otherOperatingExpenses,,,,1100000.0
interestExpense,-90774000.0,-56283000.0,-45641000.0,-32542000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,0.0,0.0,0.0,0.0
totalRevenue,3498917000.0,2984265000.0,2924655000.0,2825318000.0
totalOperatingExpenses,1735280000.0,1500692000.0,1388216000.0,1345441000.0
costOfRevenue,920598000.0,867462000.0,813152000.0,757083000.0
totalOtherIncomeExpenseNet,196002000.0,-122346000.0,-10788000.0,237346000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1959639000.0,1361227000.0,1525651000.0,1717223000.0
netIncomeApplicableToCommonShares,1732444000.0,1098335000.0,1272767000.0,1488900000.0
investments,19518000.0,24658000.0,11630000.0,91927000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-5563511000.0,-1117714000.0,-897351000.0,-515921000.0
netBorrowings,5036686000.0,543131000.0,494980000.0,-1784000.0
totalCashFromFinancingActivities,3498141000.0,-1075716000.0,-1120735000.0,-1619588000.0
issuanceOfStock,95860000.0,12664000.0,33564000.0,12525000.0
changeInCash,478690000.0,-150954000.0,49535000.0,-72034000.0
repurchaseOfStock,-13069000.0,-10518000.0,-12162000.0,-12347000.0
effectOfExchangeRate,505000.0,-426000.0,-13000.0,-171000.0
totalCashFromOperatingActivities,2543555000.0,2042902000.0,2067634000.0,2063646000.0
depreciation,713428000.0,553257000.0,512918000.0,483646000.0
dividendsPaid,-1588888000.0,-1606429000.0,-1608749000.0,-1612680000.0
otherCashflowsFromFinancingActivities,-39948000.0,-42064000.0,-68368000.0,-5302000.0
changeToNetincome,-123136000.0,132432000.0,34182000.0,-131031000.0
otherCashflowsFromInvestingActivities,,7509000.0,7509000.0,7509000.0
annualDilutedAverageShares,175568000.0,174642000.0,174530000.0,174297000.0
