,2021,2020,2019,2018
intangibleAssets,813000000.0,843000000.0,869000000.0,869000000.0
capitalSurplus,20504000000.0,20383000000.0,20301000000.0,19873000000.0
totalLiab,33957000000.0,33198000000.0,31551000000.0,27149000000.0
totalStockholderEquity,19166000000.0,18984000000.0,24910000000.0,24653000000.0
minorityInterest,2471000000.0,2539000000.0,2259000000.0,2500000000.0
otherCurrentLiab,1406000000.0,1440000000.0,1075000000.0,1223000000.0
totalAssets,55594000000.0,54721000000.0,58720000000.0,54302000000.0
commonStock,7000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,99000000.0,13000000.0,23000000.0,98000000.0
retainedEarnings,16216000000.0,16500000000.0,22064000000.0,20489000000.0
otherLiab,7472000000.0,7921000000.0,7883000000.0,7121000000.0
goodWill,1484000000.0,1425000000.0,3270000000.0,3270000000.0
treasuryStock,-17561000000.0,-17905000000.0,-17461000000.0,-15715000000.0
otherAssets,1603000000.0,1068000000.0,674000000.0,612000000.0
cash,3147000000.0,2514000000.0,1614000000.0,3019000000.0
totalCurrentLiabilities,12801000000.0,9518000000.0,11646000000.0,8935000000.0
shortLongTermDebt,1456000000.0,971000000.0,529000000.0,67000000.0
otherStockholderEquity,-445000000.0,-789000000.0,-788000000.0,-692000000.0
propertyPlantEquipment,23485000000.0,24927000000.0,25098000000.0,22018000000.0
totalCurrentAssets,14697000000.0,13276000000.0,14395000000.0,13209000000.0
longTermInvestments,13512000000.0,13182000000.0,14414000000.0,14324000000.0
netTangibleAssets,16869000000.0,16716000000.0,20771000000.0,20514000000.0
netReceivables,7470000000.0,6522000000.0,8510000000.0,6173000000.0
longTermDebt,12702000000.0,14658000000.0,10957000000.0,10909000000.0
inventory,3394000000.0,3893000000.0,3776000000.0,3543000000.0
accountsPayable,8461000000.0,5549000000.0,8575000000.0,6586000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1740000000.0,-4964000000.0,4178000000.0,7445000000.0
netIncome,1317000000.0,-3975000000.0,3076000000.0,5595000000.0
sellingGeneralAdministrative,6891000000.0,6107000000.0,6755000000.0,6557000000.0
grossProfit,9374000000.0,6422000000.0,11764000000.0,13562000000.0
ebit,633000000.0,-1556000000.0,3269000000.0,5186000000.0
operatingIncome,633000000.0,-1556000000.0,3269000000.0,5186000000.0
otherOperatingExpenses,400000000.0,476000000.0,399000000.0,463000000.0
interestExpense,-581000000.0,-499000000.0,-458000000.0,-504000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146000000.0,-1250000000.0,801000000.0,1572000000.0
totalRevenue,111476000000.0,64129000000.0,107293000000.0,111492000000.0
totalOperatingExpenses,110843000000.0,65685000000.0,104024000000.0,106306000000.0
costOfRevenue,102102000000.0,57707000000.0,95529000000.0,97930000000.0
totalOtherIncomeExpenseNet,1107000000.0,-3408000000.0,909000000.0,2259000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1594000000.0,-3714000000.0,3377000000.0,5873000000.0
netIncomeApplicableToCommonShares,1306000000.0,-3983000000.0,3070000000.0,5589000000.0
investments,267000000.0,192000000.0,71000000.0,45000000.0
changeToLiabilities,2925000000.0,-2887000000.0,1941000000.0,-1546000000.0
totalCashflowsFromInvestingActivities,-1872000000.0,-3079000000.0,-3688000000.0,-2471000000.0
netBorrowings,-1511000000.0,4127000000.0,476000000.0,1040000000.0
totalCashFromFinancingActivities,-3470000000.0,1791000000.0,-2511000000.0,-5167000000.0
changeToOperatingActivities,-339000000.0,92000000.0,-14000000.0,-113000000.0
issuanceOfStock,26000000.0,8000000.0,32000000.0,39000000.0
changeInCash,633000000.0,900000000.0,-1405000000.0,-100000000.0
effectOfExchangeRate,-42000000.0,77000000.0,-14000000.0,-35000000.0
totalCashFromOperatingActivities,6017000000.0,2111000000.0,4808000000.0,7573000000.0
depreciation,1535000000.0,1395000000.0,1341000000.0,1356000000.0
otherCashflowsFromInvestingActivities,-306000000.0,-402000000.0,28000000.0,111000000.0
dividendsPaid,-1585000000.0,-1575000000.0,-1570000000.0,-1436000000.0
changeToInventory,511000000.0,-71000000.0,-204000000.0,-202000000.0
changeToAccountReceivables,-922000000.0,2023000000.0,-2308000000.0,1320000000.0
otherCashflowsFromFinancingActivities,-400000000.0,-326000000.0,201000000.0,-165000000.0
changeToNetincome,1046000000.0,5017000000.0,1221000000.0,895000000.0
capitalExpenditures,-1860000000.0,-2920000000.0,-3873000000.0,-2639000000.0
repurchaseOfStock,,-443000000.0,-1650000000.0,-4645000000.0
annualDilutedAverageShares,440364000.0,439530000.0,453888000.0,474047000.0
