,2021,2020,2019,2018
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,622901000.0,571346000.0,572287000.0,457666000.0
minorityInterest,4620000.0,4791000.0,3539000.0,1294000.0
netIncome,485956000.0,445596000.0,402044000.0,293346000.0
sellingGeneralAdministrative,1155956000.0,975074000.0,955991000.0,857574000.0
grossProfit,1953259000.0,1660847000.0,1600252000.0,1479964000.0
ebit,631937000.0,609069000.0,582170000.0,578396000.0
operatingIncome,631937000.0,609069000.0,582170000.0,578396000.0
otherOperatingExpenses,,,,
interestExpense,-68899000.0,-45013000.0,-66890000.0,-36945000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,130918000.0,119387000.0,165472000.0,161659000.0
totalRevenue,12980213000.0,11202672000.0,12112153000.0,11171423000.0
totalOperatingExpenses,12348276000.0,10593603000.0,11529983000.0,10593027000.0
costOfRevenue,11026954000.0,9541825000.0,10511901000.0,9691459000.0
totalOtherIncomeExpenseNet,-9036000.0,-37723000.0,-9882999.0,-120730000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,491983000.0,451959000.0,406815000.0,296007000.0
netIncomeApplicableToCommonShares,485956000.0,445596000.0,402044000.0,293346000.0
accountsPayable,1251118000.0,798023000.0,798718000.0,786546000.0
annualDilutedAverageShares,145373000.0,145247000.0,147534000.0,154226000.0
capitalExpenditures,-385852000.0,-260052000.0,-261762000.0,-293595000.0
capitalSurplus,2615410000.0,2170026000.0,2024610000.0,1967354000.0
cash,229097000.0,184620000.0,164798000.0,78687000.0
changeInCash,45079000.0,17063000.0,86489000.0,-60519000.0
changeToAccountReceivables,-580398000.0,224890000.0,-226897000.0,-568757000.0
changeToInventory,1418000.0,9860000.0,52168000.0,-28131000.0
changeToLiabilities,142992000.0,31199000.0,213649000.0,247874000.0
changeToNetincome,124816000.0,35926000.0,-756000.0,218193000.0
changeToOperatingActivities,-21694000.0,61420000.0,-195725000.0,-51519000.0
commonStock,2000.0,2000.0,2000.0,2000.0
deferredLongTermAssetCharges,,,12545000.0,
deferredLongTermLiab,10100000.0,9700000.0,6695000.0,6300000.0
depreciation,420895000.0,301960000.0,280198000.0,246513000.0
dividendsPaid,-34022000.0,-28891000.0,-23236000.0,-23236000.0
effectOfExchangeRate,425000.0,1774000.0,-153000.0,-68000.0
goodWill,3528886000.0,2121014000.0,2022675000.0,1899879000.0
intangibleAssets,1801180000.0,435655000.0,413734000.0,280180000.0
inventory,84659000.0,50472000.0,55719000.0,107732000.0
investments,-109912000.0,-893000.0,-466000.0,-32204000.0
longTermDebt,3723113000.0,1172066000.0,1291678000.0,1039598000.0
longTermInvestments,254700000.0,84400000.0,89568000.0,
netBorrowings,2545730000.0,-221802000.0,241994000.0,447814000.0
netReceivables,4204171000.0,3170315000.0,3349479000.0,2931928000.0
netTangibleAssets,-217765000.0,1787512000.0,1613883000.0,1424100000.0
otherAssets,377544000.0,351313000.0,303696000.0,293592000.0
otherCashflowsFromFinancingActivities,-19188000.0,-77976000.0,-4835000.0,-6014000.0
otherCashflowsFromInvestingActivities,535000.0,542000.0,1964000.0,714000.0
otherCurrentAssets,1836000.0,1275000.0,4026000.0,17286000.0
otherCurrentLiab,802872000.0,528864000.0,775309000.0,479138000.0
otherLiab,678407000.0,557628000.0,526086000.0,623675000.0
otherStockholderEquity,-237689000.0,-232997000.0,-241818000.0,-286048000.0
propertyPlantEquipment,2160302000.0,1817501000.0,1671023000.0,1276032000.0
repurchaseOfStock,-131643000.0,-272696000.0,-36236000.0,-458370000.0
retainedEarnings,3714843000.0,3264967000.0,2854271000.0,2477291000.0
shortLongTermDebt,12233000.0,10531000.0,67887000.0,32224000.0
totalAssets,12855189000.0,8398272000.0,8331682000.0,7075787000.0
totalCashFromFinancingActivities,2360877000.0,-601365000.0,177687000.0,-16570000.0
totalCashFromOperatingActivities,582390000.0,1115977000.0,526551000.0,358789000.0
totalCashflowsFromInvestingActivities,-2898613000.0,-499323000.0,-617596000.0,-402670000.0
totalCurrentAssets,4732577000.0,3588389000.0,3830986000.0,3326104000.0
totalCurrentLiabilities,3164960000.0,2138556000.0,2263049000.0,1806127000.0
totalLiab,7738268000.0,4049300000.0,4277851000.0,3470334000.0
totalStockholderEquity,5112301000.0,4344181000.0,4050292000.0,3604159000.0
treasuryStock,-1217954000.0,-1090814000.0,-828591000.0,-840488000.0
