,2021,2020,2019,2018
capitalSurplus,19123000000.0,9323000000.0,9161000000.0,9062000000.0
totalLiab,13974000000.0,7660000000.0,6952000000.0,5792000000.0
totalStockholderEquity,22837000000.0,11569000000.0,12136000000.0,12111000000.0
otherCurrentLiab,1079000000.0,587000000.0,436000000.0,141000000.0
totalAssets,36811000000.0,19229000000.0,19088000000.0,17903000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,79000000.0,111000000.0,126000000.0,77000000.0
retainedEarnings,3960000000.0,3478000000.0,4042000000.0,3470000000.0
otherLiab,2449000000.0,1945000000.0,1891000000.0,1690000000.0
goodWill,243000000.0,261000000.0,261000000.0,264000000.0
treasuryStock,-248000000.0,-1234000000.0,-1069000000.0,-423000000.0
otherAssets,171000000.0,153000000.0,279000000.0,95000000.0
cash,3847000000.0,1442000000.0,631000000.0,825000000.0
totalCurrentLiabilities,4073000000.0,1906000000.0,2496000000.0,1818000000.0
shortLongTermDebt,244000000.0,140000000.0,450000000.0,
propertyPlantEquipment,30224000000.0,16220000000.0,16357000000.0,14839000000.0
totalCurrentAssets,6173000000.0,2595000000.0,2191000000.0,2580000000.0
netTangibleAssets,22594000000.0,11308000000.0,11875000000.0,11847000000.0
shortTermInvestments,193000000.0,123000000.0,187000000.0,615000000.0
netReceivables,1685000000.0,695000000.0,1042000000.0,821000000.0
longTermDebt,6688000000.0,3160000000.0,1839000000.0,2284000000.0
inventory,369000000.0,224000000.0,205000000.0,242000000.0
accountsPayable,2549000000.0,1020000000.0,1394000000.0,1610000000.0
longTermInvestments,,,,125000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2746000000.0,-261000000.0,1008000000.0,1251000000.0
minorityInterest,,,,
netIncome,2118000000.0,-200000000.0,773000000.0,978000000.0
sellingGeneralAdministrative,292000000.0,244000000.0,324000000.0,381000000.0
grossProfit,9392000000.0,2469000000.0,4031000000.0,4315000000.0
ebit,4212000000.0,140000000.0,1852000000.0,1756000000.0
operatingIncome,4212000000.0,140000000.0,1852000000.0,1756000000.0
otherOperatingExpenses,2339000000.0,399000000.0,86000000.0,530000000.0
interestExpense,-161000000.0,-129000000.0,-121000000.0,-126000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,628000000.0,-61000000.0,235000000.0,276000000.0
totalRevenue,17870000000.0,7026000000.0,9676000000.0,9384000000.0
totalOperatingExpenses,13658000000.0,6886000000.0,7824000000.0,7628000000.0
costOfRevenue,8478000000.0,4557000000.0,5645000000.0,5069000000.0
totalOtherIncomeExpenseNet,-1466000000.0,-401000000.0,-844000000.0,-505000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2118000000.0,-200000000.0,773000000.0,975000000.0
netIncomeApplicableToCommonShares,2113000000.0,-200000000.0,770000000.0,973000000.0
changeToLiabilities,1059000000.0,-179000000.0,-7000000.0,321000000.0
totalCashflowsFromInvestingActivities,-869000000.0,-1668000000.0,-2447000000.0,-2610000000.0
netBorrowings,-761000000.0,1216000000.0,1216000000.0,-450000000.0
totalCashFromFinancingActivities,-2807000000.0,381000000.0,-788000000.0,-703000000.0
changeToOperatingActivities,-405000000.0,-198000000.0,-119000000.0,-57000000.0
issuanceOfStock,13000000.0,9000000.0,6000000.0,8000000.0
changeInCash,2383000000.0,796000000.0,-120000000.0,-71000000.0
repurchaseOfStock,-269000000.0,-176000000.0,-653000000.0,-179000000.0
totalCashFromOperatingActivities,6059000000.0,2083000000.0,3115000000.0,3242000000.0
depreciation,2510000000.0,1659000000.0,1721000000.0,1548000000.0
otherCashflowsFromInvestingActivities,-118000000.0,-126000000.0,-232000000.0,-263000000.0
dividendsPaid,-494000000.0,-346000000.0,-127000000.0,-55000000.0
changeToInventory,-125000000.0,-20000000.0,-20000000.0,-70000000.0
changeToAccountReceivables,-607000000.0,309000000.0,-227000000.0,-52000000.0
otherCashflowsFromFinancingActivities,-196000000.0,-322000000.0,-14000000.0,-27000000.0
changeToNetincome,1468000000.0,711000000.0,995000000.0,574000000.0
capitalExpenditures,-3169000000.0,-1602000000.0,-2988000000.0,-3520000000.0
investments,,,624000000.0,704000000.0
annualDilutedAverageShares,246000000.0,165000000.0,167000000.0,171000000.0
