,2021,2020,2019,2018,2022
intangibleAssets,1458000000.0,1653000000.0,2172000000.0,2955000000.0,
totalLiab,31290000000.0,29517000000.0,28048000000.0,31911000000.0,
totalStockholderEquity,9950000000.0,6077000000.0,4909000000.0,807000000.0,
otherCurrentLiab,3526000000.0,3016000000.0,2894000000.0,3978000000.0,
totalAssets,41240000000.0,35594000000.0,32957000000.0,32718000000.0,
otherCurrentAssets,854000000.0,704000000.0,634000000.0,699000000.0,
retainedEarnings,9822000000.0,5284000000.0,4466000000.0,542000000.0,
otherLiab,5210000000.0,5248000000.0,5676000000.0,5157000000.0,
goodWill,7246000000.0,6323000000.0,6282000000.0,6498000000.0,
treasuryStock,128000000.0,207000000.0,100000000.0,265000000.0,
otherAssets,6124000000.0,3911000000.0,3491000000.0,1854000000.0,
cash,7116000000.0,6707000000.0,11839000000.0,11777000000.0,
totalCurrentLiabilities,11951000000.0,8672000000.0,8935000000.0,11389000000.0,
deferredLongTermAssetCharges,1591000000.0,1351000000.0,1196000000.0,936000000.0,
shortLongTermDebt,1544000000.0,,1997000000.0,,
otherStockholderEquity,128000000.0,207000000.0,100000000.0,265000000.0,
propertyPlantEquipment,5072000000.0,4171000000.0,3081000000.0,2975000000.0,
totalCurrentAssets,20075000000.0,18519000000.0,16765000000.0,17384000000.0,
longTermInvestments,1265000000.0,1017000000.0,1166000000.0,1052000000.0,
netTangibleAssets,1246000000.0,-1899000000.0,-3545000000.0,-8646000000.0,
shortTermInvestments,5298000000.0,4507000000.0,421000000.0,311000000.0,
netReceivables,3579000000.0,4003000000.0,2471000000.0,2904000000.0,
longTermDebt,13701000000.0,15226000000.0,13437000000.0,15365000000.0,
inventory,3228000000.0,2598000000.0,1400000000.0,1693000000.0,
accountsPayable,2750000000.0,2248000000.0,1368000000.0,1825000000.0,
commonStock,,586000000.0,343000000.0,,
researchDevelopment,7176000000,5975000000,5398000000,,8194000000
effectOfAccountingCharges,,,,,
incomeBeforeTax,10274000000,5719000000,7481000000,,14998000000
minorityInterest,,,,,
netIncome,9043000000,5198000000,4386000000,,12936000000
sellingGeneralAdministrative,2339000000,2074000000,2195000000,,2570000000
grossProfit,19304000000,14276000000,15674000000,,25565000000
ebit,9789000000,6227000000,8081000000,,15860000000
operatingIncome,9789000000,6227000000,8081000000,,15860000000
otherOperatingExpenses,-1059000000,-1059000000,-1059000000,,-1059000000
interestExpense,-559000000,-602000000,-627000000,,-490000000
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,1231000000,521000000,3095000000,,2012000000
totalRevenue,33566000000,23531000000,24273000000,,44200000000
totalOperatingExpenses,23777000000,17304000000,16192000000,,28340000000
costOfRevenue,14262000000,9255000000,8599000000,,18635000000
totalOtherIncomeExpenseNet,485000000,-508000000,-600000000,,-862000000
discontinuedOperations,-50000000,-50000000,-50000000,,-50000000
netIncomeFromContinuingOps,9043000000,5198000000,4386000000,,12986000000
netIncomeApplicableToCommonShares,9043000000,5198000000,4386000000,,12936000000
investments,-32000000,-3714000000,266000000,3474000000.0,
changeToLiabilities,293000000,661000000,-572000000,-328000000.0,
totalCashflowsFromInvestingActivities,-3356000000,-5263000000,-806000000,2381000000.0,
netBorrowings,1000000,-229000000,-503000000,-5509000000.0,
totalCashFromFinancingActivities,-6798000000,-5707000000,-6386000000,-31500000000.0,
changeToOperatingActivities,-558000000,418000000,-2298000000,1029000000.0,
issuanceOfStock,347000000,329000000,414000000,603000000.0,
changeInCash,409000000,-5132000000,62000000,-25252000000.0,
repurchaseOfStock,-4103000000,-2797000000,-2061000000,-22860000000.0,
effectOfExchangeRate,27000000,24000000,-32000000,-41000000.0,
totalCashFromOperatingActivities,10536000000,5814000000,7286000000,3908000000.0,
depreciation,1582000000,1393000000,1401000000,1561000000.0,
otherCashflowsFromInvestingActivities,-59000000,43000000,67000000,17000000.0,
dividendsPaid,-3008000000,-2882000000,-2968000000,-3466000000.0,
changeToInventory,-622000000,-1157000000,273000000,337000000.0,
changeToAccountReceivables,426000000,-1529000000,1373000000,734000000.0,
otherCashflowsFromFinancingActivities,-35000000,-128000000,-1268000000,-268000000.0,
changeToNetincome,372000000,830000000,2723000000,5539000000.0,
capitalExpenditures,-1888000000,-1407000000,-887000000,-784000000.0,
