,2022,2021,2020,2019
intangibleAssets,674786000.0,611155000.0,808892000.0,408210000.0
totalLiab,2955854000.0,2592045000.0,2268017000.0,1448345000.0
totalStockholderEquity,4553218000.0,4629425000.0,4292665000.0,4359679000.0
otherCurrentLiab,88842000.0,92493000.0,51438000.0,50325000.0
totalAssets,7509072000.0,7221470000.0,6560682000.0,5808024000.0
commonStock,4035849000.0,4244740000.0,4290377000.0,4687455000.0
otherCurrentAssets,67779000.0,48008000.0,32446000.0,29040000.0
retainedEarnings,512137000.0,355036000.0,,-321152000.0
otherLiab,172118000.0,114742000.0,103706000.0,91796000.0
goodWill,2775634000.0,2642708000.0,2614274000.0,2173889000.0
treasuryStock,5232000.0,29649000.0,2288000.0,-6624000.0
otherAssets,250427000.0,119477000.0,100189000.0,76785000.0
cash,972592000.0,1397880000.0,714939000.0,711035000.0
totalCurrentLiabilities,675127000.0,681581000.0,539003000.0,435614000.0
deferredLongTermAssetCharges,36824000.0,59056000.0,45754000.0,30017000.0
shortLongTermDebt,791000.0,5092000.0,6893000.0,80000.0
otherStockholderEquity,5232000.0,29649000.0,2288000.0,-6624000.0
propertyPlantEquipment,1327274000.0,1328956000.0,1324310000.0,1366513000.0
totalCurrentAssets,2449865000.0,2483804000.0,1690502000.0,1684841000.0
longTermInvestments,31086000.0,35370000.0,22515000.0,97786000.0
netTangibleAssets,1102798000.0,1375562000.0,869499000.0,1777580000.0
shortTermInvestments,2906000.0,3802000.0,459000.0,901000.0
netReceivables,601001000.0,484755000.0,387588000.0,406306000.0
longTermDebt,2044517000.0,1740933000.0,1564979000.0,919190000.0
inventory,755748000.0,507787000.0,517198000.0,511793000.0
accountsPayable,327915000.0,313868000.0,246954000.0,233307000.0
researchDevelopment,623636000.0,570395000.0,484414000.0,450482000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1181084000.0,807380000.0,395089000.0,91792000.0
minorityInterest,,,,
netIncome,1033353000.0,733611000.0,334325000.0,133125000.0
sellingGeneralAdministrative,349718000.0,367238000.0,343569000.0,476074000.0
grossProfit,2289768000.0,1883566000.0,1325963000.0,1216529000.0
ebit,1299669000.0,933927000.0,478316000.0,261368000.0
operatingIncome,1299669000.0,933927000.0,478316000.0,261368000.0
otherOperatingExpenses,16745000.0,12006000.0,19664000.0,28605000.0
interestExpense,-63326000.0,-75198000.0,-60392000.0,-43963000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,147731000.0,73769000.0,60764000.0,-41333000.0
totalRevenue,4645714000.0,4015307000.0,3239141000.0,3090325000.0
totalOperatingExpenses,3346045000.0,3081380000.0,2760825000.0,2828957000.0
costOfRevenue,2355946000.0,2131741000.0,1913178000.0,1873796000.0
totalOtherIncomeExpenseNet,-118585000.0,-126547000.0,-83227000.0,-169576000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1033353000.0,733611000.0,334325000.0,133125000.0
netIncomeApplicableToCommonShares,1033353000.0,733611000.0,334325000.0,133125000.0
changeToLiabilities,33950000.0,34201000.0,15425000.0,15167000.0
totalCashflowsFromInvestingActivities,-595956000.0,-218658000.0,-1105742000.0,-247554000.0
netBorrowings,301570000.0,118756000.0,659000000.0,-145330000.0
totalCashFromFinancingActivities,-875510000.0,-401923000.0,165559000.0,-776664000.0
changeToOperatingActivities,-210520000.0,-8597000.0,19008000.0,-1334000.0
issuanceOfStock,38303000.0,42598000.0,50198000.0,41289000.0
changeInCash,-425504000.0,682697000.0,4230000.0,-215020000.0
repurchaseOfStock,-1205669000.0,-553742000.0,-536922000.0,-662909000.0
effectOfExchangeRate,-3281000.0,1425000.0,-1233000.0,-1166000.0
totalCashFromOperatingActivities,1049243000.0,1301853000.0,945646000.0,810364000.0
depreciation,361415000.0,456104000.0,468931000.0,663097000.0
otherCashflowsFromInvestingActivities,6646000.0,15371000.0,4405000.0,-27017000.0
changeToInventory,-236196000.0,9390000.0,10252000.0,-39590000.0
changeToAccountReceivables,-107896000.0,-91275000.0,21029000.0,-32119000.0
otherCashflowsFromFinancingActivities,-9714000.0,-9535000.0,-6717000.0,-9714000.0
changeToNetincome,178276000.0,133801000.0,63741000.0,110224000.0
capitalExpenditures,-213466000.0,-186960000.0,-164104000.0,-220937000.0
investments,,,,400000.0
annualDilutedAverageShares,111546000.0,116016000.0,119293000.0,127356000.0
