,2021,2020,2019,2018
intangibleAssets,434556000.0,444854000.0,488575000.0,502103000.0
capitalSurplus,7557297000.0,5998574000.0,3493959000.0,3420900000.0
totalLiab,27172799000.0,23704518000.0,17586457000.0,16050789000.0
totalStockholderEquity,5085556000.0,8760669000.0,12163846000.0,11105461000.0
otherCurrentLiab,3288103000.0,1841517000.0,3523013000.0,3227313000.0
totalAssets,32258355000.0,32465187000.0,30320284000.0,27698270000.0
commonStock,2827000.0,2652000.0,2365000.0,2358000.0
otherCurrentAssets,47706000.0,69821000.0,21751000.0,19565000.0
retainedEarnings,302276000.0,5562775000.0,11523326000.0,10263282000.0
otherLiab,443101000.0,500912000.0,553642000.0,542787000.0
goodWill,809383000.0,809480000.0,1385644000.0,1378353000.0
treasuryStock,-2776844000.0,-2803332000.0,-2855804000.0,-2581079000.0
otherAssets,964068000.0,1035255000.0,1129063000.0,1086089000.0
cash,2701770000.0,3684474000.0,243738000.0,287852000.0
totalCurrentLiabilities,7285683000.0,4537121000.0,7952896000.0,7112165000.0
shortLongTermDebt,2191661000.0,909912000.0,1153025000.0,1646841000.0
otherStockholderEquity,-710885000.0,-739341000.0,-797713000.0,-627734000.0
propertyPlantEquipment,26450077000.0,25846580000.0,26154363000.0,23466163000.0
totalCurrentAssets,3600271000.0,4311747000.0,1162628000.0,1242044000.0
netTangibleAssets,3841617000.0,7506335000.0,10289627000.0,9225005000.0
netReceivables,408067000.0,284149000.0,305821000.0,324507000.0
longTermDebt,18488484000.0,17941100000.0,8281581000.0,8264893000.0
inventory,150224000.0,118703000.0,162107000.0,153573000.0
accountsPayable,545978000.0,353422000.0,563706000.0,488212000.0
longTermInvestments,,17271000.0,11000.0,23518000.0
minorityInterest,,,569981000.0,542020000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-5305699000,-5790130000,1940200000,1836692000
netIncome,-5260499000,-5797462000,1878887000,1811042000
sellingGeneralAdministrative,1412197000,1268924000,1663347000,1303144000
grossProfit,-1083258000,-486999000,4991990000,4231642000
ebit,-3788333000,-3035177000,2082701000,1894801000
operatingIncome,-3788333000,-3035177000,2082701000,1894801000
otherOperatingExpenses,,,,
interestExpense,-1291753000,-844238000,-408513000,-333672000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-45200000,-15000000,32600000,20900000
totalRevenue,1532133000,2208805000,10950661000,9493849000
totalOperatingExpenses,5320466000,5243982000,8867960000,7599048000
costOfRevenue,2615391000,2695804000,5958671000,5262207000
totalOtherIncomeExpenseNet,-1517366000,-2754953000,-142501000,-58109000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-5260499000,-5775130000,1907600000,1815792000
netIncomeApplicableToCommonShares,-5260499000,-5797462000,1878887000,1811042000
investments,-70228000.0,-100609000.0,-25569000.0,-13957000.0
changeToLiabilities,188518000.0,-133815000.0,75281000.0,91737000.0
totalCashflowsFromInvestingActivities,-2144739000.0,-2178566000.0,-3091406000.0,-4489158000.0
netBorrowings,1756229000.0,8630237000.0,92749000.0,2392065000.0
totalCashFromFinancingActivities,3040577000.0,9349788000.0,-670371000.0,1198073000.0
changeToOperatingActivities,1509328000.0,-1345585000.0,387838000.0,375930000.0
issuanceOfStock,1621860000.0,1431375000.0,1431375000.0,1431375000.0
changeInCash,-982704000.0,3440736000.0,-44114000.0,167740000.0
effectOfExchangeRate,-727000.0,1167000.0,1297000.0,-20314000.0
totalCashFromOperatingActivities,-1877815000.0,-3731653000.0,3716366000.0,3479139000.0
depreciation,1292878000.0,1279254000.0,1245942000.0,1033697000.0
otherCashflowsFromInvestingActivities,-20846000.0,-140622000.0,-41174000.0,100962000.0
changeToInventory,-34527000.0,27077000.0,-8533000.0,-23849000.0
changeToAccountReceivables,-181707000.0,121055000.0,-9898000.0,-9573000.0
otherCashflowsFromFinancingActivities,-337512000.0,-385403000.0,-60864000.0,-91459000.0
changeToNetincome,359639000.0,1961605000.0,83242000.0,147173000.0
capitalExpenditures,-2229704000.0,-1965131000.0,-3024663000.0,-3660028000.0
dividendsPaid,,-326421000.0,-602674000.0,-527494000.0
repurchaseOfStock,,,-99582000.0,-575039000.0
