,2021,2020,2019,2018
intangibleAssets,872289000.0,622053000.0,581863000.0,511573000.0
capitalSurplus,2274431000.0,2245301000.0,2219660000.0,2188777000.0
totalLiab,28046103000.0,22985327000.0,18191126000.0,16890195000.0
totalStockholderEquity,10139180000.0,9726176000.0,9132925000.0,7860797000.0
otherCurrentLiab,4609634000.0,3501359000.0,3056735000.0,2529570000.0
totalAssets,38185283000.0,32711503000.0,27324051000.0,24750992000.0
commonStock,698000.0,696000.0,694000.0,692000.0
otherCurrentAssets,2202459000.0,2135859000.0,1880275000.0,1892267000.0
retainedEarnings,11699836000.0,10567452000.0,10306571000.0,9531433000.0
otherLiab,17618653000.0,17084860000.0,14017471000.0,13484243000.0
treasuryStock,-3835785000.0,-3087273000.0,-3394000000.0,-3860105000.0
otherAssets,1486826000.0,1233045000.0,941463000.0,793073000.0
cash,1440861000.0,801651000.0,808036000.0,656095000.0
totalCurrentLiabilities,7721012000.0,4134783000.0,3369914000.0,2772339000.0
otherStockholderEquity,11523000.0,534899000.0,28152000.0,-462557000.0
propertyPlantEquipment,138942000.0,149125000.0,161435000.0,
totalCurrentAssets,8633081000.0,7182290000.0,6113532000.0,5910362000.0
longTermInvestments,27054145000.0,23524990000.0,19525758000.0,17535984000.0
netTangibleAssets,10139180000.0,9726176000.0,9132925000.0,7860797000.0
shortTermInvestments,1178337000.0,1134950000.0,414706000.0,240987000.0
netReceivables,3295979000.0,2697815000.0,2564799000.0,2777670000.0
longTermDebt,2569574000.0,1600392000.0,633832000.0,633613000.0
accountsPayable,2552014000.0,310154000.0,302328000.0,231538000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1545621000,585349000,1098987000,-242182000
minorityInterest,,,,
netIncome,1379083000,514151000,1009461000,89041000
sellingGeneralAdministrative,67827000,41118000,32966000,30672000
grossProfit,1647910000,662603000,1169106000,-182879000
ebit,1580083000,621485000,1136140000,-213551000
operatingIncome,1580083000,621485000,1136140000,-213551000
otherOperatingExpenses,,,,
interestExpense,-70149000,-36323000,-31693000,-31031000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,166538000,71198000,89526000,-331223000
totalRevenue,11830576000,9597927000,8236629000,7359095000
totalOperatingExpenses,10250493000,8976442000,7100489000,7572646000
costOfRevenue,10182666000,8935324000,7067523000,7541974000
totalOtherIncomeExpenseNet,-34462000,-36136000,-37153000,-28631000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1379083000,514151000,1009461000,89041000
netIncomeApplicableToCommonShares,1360887000,507824000,998182000,88239000
investments,-4126197000,-3993283000,-1697050000,-3381639000
changeToLiabilities,1145512000,404049000,521709000,542023000
totalCashflowsFromInvestingActivities,-3868964000,-3683371000,-1412492000,-279621000
netBorrowings,1177357000,1289417000,1289417000,1289417000
totalCashFromFinancingActivities,674193000,800220000,-275687000,-316594000
changeToOperatingActivities,1816727000,2159060000,184121000,353657000
changeInCash,639210000,-6385000,151941000,21028000
repurchaseOfStock,-242190000,-215928000,-38231000,-92216000
effectOfExchangeRate,639000,3187000,-11882000,7174000
totalCashFromOperatingActivities,3833342000,2873579000,1852002000,610069000
otherCashflowsFromInvestingActivities,257233000,309912000,284558000,3102018000
dividendsPaid,-246699000,-249097000,-234322000,-216221000
changeToAccountReceivables,-648735000,-387123000,-62018000,-382987000
otherCashflowsFromFinancingActivities,-14275000,-24172000,-3134000,-8157000
changeToNetincome,72607000,-56441000,-38750000,273400000
