,2021,2020,2019,2018
intangibleAssets,212707000.0,188799000.0,242822000.0,387069000.0
capitalSurplus,7883458000.0,7792082000.0,7654930000.0,7672517000.0
totalLiab,4682631000.0,4878757000.0,4842292000.0,4494495000.0
totalStockholderEquity,6037371000.0,5984912000.0,6213348000.0,6397970000.0
minorityInterest,72561000.0,73235000.0,76613000.0,52198000.0
deferredLongTermLiab,73189000.0,70434000.0,81485000.0,91834000.0
totalAssets,10792563000.0,10936904000.0,11132253000.0,10944663000.0
commonStock,1712000.0,1697000.0,1676000.0,1679000.0
otherCurrentAssets,48836000.0,54113000.0,66276000.0,81111000.0
otherLiab,483360000.0,491316000.0,540472000.0,603052000.0
goodWill,167095000.0,173868000.0,307434000.0,314143000.0
treasuryStock,-1847799000.0,-1808867000.0,-1443258000.0,-1276226000.0
otherAssets,73189000.0,70434000.0,81485000.0,91834000.0
cash,93097000.0,376073000.0,113020000.0,42532000.0
totalCurrentLiabilities,293482000.0,234676000.0,157843000.0,176231000.0
shortLongTermDebt,17237000.0,,,
otherStockholderEquity,-1825041000.0,-1784431000.0,-1420059000.0,-1256392000.0
propertyPlantEquipment,9606845000.0,9402137000.0,9629016000.0,9333845000.0
totalCurrentAssets,295024000.0,573819000.0,351620000.0,313484000.0
longTermInvestments,437703000.0,527847000.0,519876000.0,504288000.0
netTangibleAssets,5657569000.0,5622245000.0,5663092000.0,5696758000.0
netReceivables,153091000.0,143633000.0,169337000.0,172359000.0
longTermDebt,3704565000.0,3932375000.0,3921059000.0,3715212000.0
accountsPayable,261681000.0,234676000.0,157843000.0,170740000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,367231000.0,46962000.0,244015000.0,253031000.0
netIncome,361411000.0,44889000.0,239430000.0,249127000.0
sellingGeneralAdministrative,78218000.0,75001000.0,74984000.0,65491000.0
grossProfit,877185000.0,734854000.0,858527000.0,854451000.0
ebit,490828000.0,300956000.0,402203000.0,420241000.0
operatingIncome,490828000.0,300956000.0,402203000.0,420241000.0
otherOperatingExpenses,4808000.0,12997000.0,7057000.0,9031000.0
interestExpense,-145794000.0,-158278000.0,-151264000.0,-148456000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,943000.0,-355000.0,757000.0,706000.0
totalRevenue,1203867000.0,1047931000.0,1164672000.0,1160341000.0
totalOperatingExpenses,713039000.0,746975000.0,762469000.0,740100000.0
costOfRevenue,326682000.0,313077000.0,306145000.0,305890000.0
totalOtherIncomeExpenseNet,-123597000.0,-253994000.0,-158188000.0,-163819000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,366288000.0,47317000.0,243258000.0,252325000.0
netIncomeApplicableToCommonShares,361411000.0,44889000.0,239430000.0,249127000.0
investments,76469000.0,-19315000.0,-3228000.0,-59591000.0
changeToLiabilities,6677000.0,997000.0,4175000.0,-760000.0
totalCashflowsFromInvestingActivities,-286352000.0,-25641000.0,-282693000.0,-106024000.0
netBorrowings,-318269000.0,537000.0,183449000.0,113250000.0
totalCashFromFinancingActivities,-656459000.0,-210589000.0,-268206000.0,-508494000.0
changeToOperatingActivities,-2491000.0,-11823000.0,-7518000.0,2017000.0
issuanceOfStock,82606000.0,125877000.0,9000.0,99000.0
changeInCash,-283423000.0,262888000.0,70372000.0,-4191000.0
repurchaseOfStock,-4083000.0,-5512000.0,-38982000.0,-220623000.0
totalCashFromOperatingActivities,659388000.0,499118000.0,621271000.0,610327000.0
depreciation,280395000.0,305360000.0,330416000.0,326358000.0
otherCashflowsFromInvestingActivities,668000.0,1801000.0,5544000.0,14602000.0
dividendsPaid,-403085000.0,-300537000.0,-390598000.0,-375978000.0
changeToAccountReceivables,-24869000.0,16944000.0,-4690000.0,-26374000.0
otherCashflowsFromFinancingActivities,-13628000.0,-30954000.0,-22084000.0,-25242000.0
changeToNetincome,32262000.0,133728000.0,48288000.0,49483000.0
annualDilutedAverageShares,170785107.0,169460000.0,167771000.0,170100000.0
