,2022,2021,2020,2019
totalStockholderEquity,9338000000.0,8245000000.0,7114000000.0,6581000000.0
netTangibleAssets,7407000000.0,7363000000.0,6514000000.0,5970000000.0
intangibleAssets,509000000.0,222000000.0,134000000.0,147000000.0
capitalSurplus,2987000000.0,2088000000.0,2007000000.0,1938000000.0
totalLiab,71519000000.0,53588000000.0,40306000000.0,32187000000.0
minorityInterest,-26000000.0,58000000.0,62000000.0,62000000.0
otherCurrentLiab,1567000000.0,221000000.0,570000000.0,563000000.0
totalAssets,80951000000.0,61891000000.0,47482000000.0,38830000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,340000000.0,288000000.0,250000000.0,310000000.0
retainedEarnings,8843000000.0,7633000000.0,6484000000.0,5874000000.0
otherLiab,51912000000.0,33701000000.0,27639000000.0,22761000000.0
goodWill,1422000000.0,660000000.0,466000000.0,464000000.0
treasuryStock,-2494000000.0,-1478000000.0,-1379000000.0,-1233000000.0
otherAssets,2014000000.0,1532000000.0,1403000000.0,1109000000.0
cash,6178000000.0,7201000000.0,5390000000.0,3957000000.0
totalCurrentLiabilities,15913000000.0,16542000000.0,9389000000.0,6982000000.0
deferredLongTermAssetCharges,630000000.0,305000000.0,262000000.0,231000000.0
otherStockholderEquity,-982000000.0,-41000000.0,11000000.0,-23000000.0
propertyPlantEquipment,983000000.0,945000000.0,856000000.0,527000000.0
totalCurrentAssets,65934000000.0,49902000000.0,36699000000.0,33106000000.0
longTermInvestments,10089000000.0,8630000000.0,7924000000.0,3477000000.0
shortTermInvestments,9185000000.0,11828000000.0,4666000000.0,2605000000.0
netReceivables,48803000000.0,29736000000.0,25459000000.0,25233000000.0
longTermDebt,3329000000.0,2895000000.0,2933000000.0,2444000000.0
accountsPayable,11446000000.0,13991000000.0,6792000000.0,4361000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2022000000.0,1791000000.0,1052000000.0,1375000000.0
netIncome,1509000000.0,1403000000.0,818000000.0,1034000000.0
sellingGeneralAdministrative,7898000000.0,7049000000.0,5915000000.0,5584000000.0
grossProfit,10143000000.0,9254000000.0,7263000000.0,7226000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,1920000000.0,1885000000.0,1098000000.0,1365000000.0
otherOperatingExpenses,325000000.0,320000000.0,250000000.0,277000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,513000000.0,388000000.0,234000000.0,341000000.0
totalRevenue,10801000000.0,9813000000.0,7757000000.0,7693000000.0
totalOperatingExpenses,8881000000.0,7928000000.0,6659000000.0,6328000000.0
costOfRevenue,658000000.0,559000000.0,494000000.0,467000000.0
totalOtherIncomeExpenseNet,102000000.0,-94000000.0,-46000000.0,10000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1509000000.0,1403000000.0,818000000.0,1034000000.0
netIncomeApplicableToCommonShares,1502000000.0,1401000000.0,817000000.0,1032000000.0
changeToLiabilities,-4213000000.0,7306000000.0,2505000000.0,-1231000000.0
investments,-1281000000.0,-1041000000.0,-4295000000.0,-383000000.0
totalCashflowsFromInvestingActivities,-7151000000.0,-5140000000.0,-4985000000.0,-1897000000.0
netBorrowings,58000000.0,-138000000.0,489000000.0,-5000000.0
totalCashFromFinancingActivities,5879000000.0,5232000000.0,4574000000.0,1373000000.0
changeToOperatingActivities,2268000000.0,-1875000000.0,52000000.0,-274000000.0
issuanceOfStock,52000000.0,53000000.0,62000000.0,65000000.0
changeInCash,-1790000000.0,6815000000.0,3663000000.0,30000000.0
repurchaseOfStock,-216000000.0,-150000000.0,-291000000.0,-778000000.0
effectOfExchangeRate,-590000000.0,76000000.0,1000000.0,-23000000.0
totalCashFromOperatingActivities,72000000.0,6647000000.0,4073000000.0,577000000.0
depreciation,83000000.0,72000000.0,65000000.0,63000000.0
otherCashflowsFromInvestingActivities,-218000000.0,-19000000.0,-59000000.0,-1000000.0
dividendsPaid,-277000000.0,-218000000.0,-205000000.0,-191000000.0
changeToAccountReceivables,-203000000.0,-420000000.0,127000000.0,682000000.0
otherCashflowsFromFinancingActivities,6262000000.0,5685000000.0,4519000000.0,2282000000.0
changeToNetincome,566000000.0,99000000.0,452000000.0,254000000.0
capitalExpenditures,-91000000.0,-74000000.0,-124000000.0,-138000000.0
annualDilutedAverageShares,,211200000.0,210300000.0,216000000.0
