,2022,2021,2020,2019
intangibleAssets,102900000.0,121100000.0,141000000.0,163700000.0
capitalSurplus,2748800000.0,2667100000.0,2594400000.0,2493800000.0
totalLiab,5188700000.0,5283100000.0,4586800000.0,2655600000.0
totalStockholderEquity,2536000000.0,2604400000.0,2693100000.0,3287200000.0
deferredLongTermLiab,14900000.0,8700000.0,4900000.0,
otherCurrentLiab,198800000.0,183700000.0,190800000.0,203900000.0
totalAssets,7724700000.0,7887500000.0,7279900000.0,5942800000.0
commonStock,1300000.0,1300000.0,1300000.0,1300000.0
otherCurrentAssets,21000000.0,22100000.0,32400000.0,70900000.0
retainedEarnings,6274900000.0,5872900000.0,5994000000.0,5979100000.0
otherLiab,322700000.0,400400000.0,340700000.0,547900000.0
goodWill,908700000.0,934600000.0,915500000.0,919600000.0
treasuryStock,-6489000000.0,-5936900000.0,-5896600000.0,-5187000000.0
otherAssets,403000000.0,364000000.0,357100000.0,180600000.0
cash,1863800000.0,2579000000.0,1620400000.0,584100000.0
totalCurrentLiabilities,2255700000.0,1584800000.0,2092000000.0,1200100000.0
deferredLongTermAssetCharges,303800000.0,283900000.0,245200000.0,67000000.0
shortLongTermDebt,499800000.0,,299800000.0,
otherStockholderEquity,-180300000.0,-120800000.0,-118200000.0,-103400000.0
propertyPlantEquipment,2080800000.0,2253500000.0,2491100000.0,1039200000.0
totalCurrentAssets,4217300000.0,4208000000.0,3375200000.0,3594800000.0
longTermInvestments,12000000.0,6300000.0,,44900000.0
netTangibleAssets,1524400000.0,1548700000.0,1636600000.0,2203900000.0
shortTermInvestments,734600000.0,197500000.0,495900000.0,1403400000.0
netReceivables,542800000.0,571900000.0,415400000.0,607100000.0
longTermDebt,1136500000.0,1632900000.0,396400000.0,695000000.0
inventory,977800000.0,764000000.0,736400000.0,817800000.0
accountsPayable,448700000.0,355900000.0,246800000.0,202300000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,754600000,-74800000,326400000,582500000
minorityInterest,,,,
netIncome,600100000,-121100000,384300000,430900000
sellingGeneralAdministrative,3261400000,2666800000,3081400000,3144400000
grossProfit,4147500000,2890700000,3812800000,3893200000
ebit,826100000,199400000,602100000,706700000
operatingIncome,826100000,199400000,602100000,706700000
otherOperatingExpenses,18200000,11400000,29600000,18200000
interestExpense,-54000000,-48500000,-17600000,-20700000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,154500000,46300000,-57900000,151600000
totalRevenue,6218500000,4400800000,6159800000,6313000000
totalOperatingExpenses,5392400000,4201400000,5557700000,5606300000
costOfRevenue,2071000000,1510100000,2347000000,2419800000
totalOtherIncomeExpenseNet,-71500000,-274200000,-275700000,-124200000
discontinuedOperations,,,,
netIncomeFromContinuingOps,600100000,-121100000,384300000,430900000
netIncomeApplicableToCommonShares,600100000,-121100000,384300000,430900000
investments,-546000000.0,302600000.0,950700000.0,-673300000.0
changeToLiabilities,194600000.0,293600000.0,-64300000.0,-21200000.0
totalCashflowsFromInvestingActivities,-717900000.0,195000000.0,702100000.0,-879300000.0
netBorrowings,-23100000.0,453000000.0,461400000.0,68600000.0
totalCashFromFinancingActivities,-665700000.0,356800000.0,-438200000.0,-605700000.0
changeToOperatingActivities,-65000000.0,-40600000.0,50800000.0,-4800000.0
changeInCash,-716000000.0,958200000.0,1003300000.0,-729000000.0
repurchaseOfStock,-492600000.0,-37700000.0,-694800000.0,-502600000.0
effectOfExchangeRate,-48300000.0,25500000.0,-15200000.0,-27800000.0
totalCashFromOperatingActivities,715900000.0,380900000.0,754600000.0,783800000.0
depreciation,229700000.0,247600000.0,269500000.0,267200000.0
otherCashflowsFromInvestingActivities,-5000000.0,200000.0,900000.0,-28300000.0
dividendsPaid,-150000000.0,-49800000.0,-203900000.0,-190700000.0
changeToInventory,-269300000.0,3700000.0,72300000.0,-83600000.0
changeToAccountReceivables,32400000.0,-143000000.0,57600000.0,10100000.0
changeToNetincome,55700000.0,178500000.0,26900000.0,155500000.0
capitalExpenditures,-166900000.0,-107800000.0,-270300000.0,-197700000.0
otherCashflowsFromFinancingActivities,,-8700000.0,-900000.0,-2800000.0
issuanceOfStock,,,,21800000.0
