,2022,2021,2020,2019
intangibleAssets,345944000.0,392582000.0,448168000.0,521950000.0
capitalSurplus,1682432000.0,1622199000.0,1570694000.0,1511473000.0
totalLiab,1735102000.0,1842446000.0,2090349000.0,2035489000.0
totalStockholderEquity,3360751000.0,2885679000.0,2497027000.0,2072193000.0
otherCurrentLiab,179449000.0,439606000.0,191151000.0,230167000.0
totalAssets,5095853000.0,4728125000.0,4587376000.0,4107682000.0
commonStock,586000.0,583000.0,580000.0,575000.0
otherCurrentAssets,107291000.0,6952000.0,93484000.0,
retainedEarnings,3613736000.0,3079640000.0,2832991000.0,2436410000.0
otherLiab,160025000.0,172550000.0,221575000.0,220637000.0
goodWill,1936442000.0,1927901000.0,1890324000.0,1856449000.0
treasuryStock,-1936003000.0,-1816743000.0,-1907238000.0,-1876265000.0
otherAssets,202286000.0,200664000.0,145600000.0,144354000.0
cash,273710000.0,295278000.0,463156000.0,147128000.0
totalCurrentLiabilities,689299000.0,911766000.0,602761000.0,555991000.0
deferredLongTermAssetCharges,79746000.0,79904000.0,41065000.0,45478000.0
shortLongTermDebt,9916000.0,12000000.0,11987000.0,11992000.0
otherStockholderEquity,-312747000.0,-193487000.0,-283982000.0,-253009000.0
propertyPlantEquipment,630495000.0,592065000.0,535683000.0,387460000.0
totalCurrentAssets,1931478000.0,1574757000.0,1523459000.0,1145366000.0
longTermInvestments,49208000.0,40156000.0,44142000.0,52103000.0
netTangibleAssets,1078365000.0,565196000.0,158535000.0,-306206000.0
netReceivables,601642000.0,625185000.0,484095000.0,538318000.0
longTermDebt,765325000.0,643351000.0,1164133000.0,1258861000.0
inventory,743910000.0,457033000.0,416915000.0,349641000.0
accountsPayable,159245000.0,138008000.0,135786000.0,115725000.0
researchDevelopment,253575000.0,225284000.0,201946000.0,180651000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,960483000.0,883662000.0,733088000.0,518847000.0
minorityInterest,,,,
netIncome,779437000.0,474505000.0,621674000.0,404592000.0
sellingGeneralAdministrative,739372000.0,670387000.0,676689000.0,645010000.0
grossProfit,2063961000.0,1889459000.0,1767389000.0,1536585000.0
ebit,1000286000.0,917583000.0,809059000.0,635986000.0
operatingIncome,1000286000.0,917583000.0,809059000.0,635986000.0
otherOperatingExpenses,,,,
interestExpense,-22312000.0,-23627000.0,-39356000.0,-36156000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,181046000.0,409157000.0,111414000.0,114255000.0
totalRevenue,3578127000.0,3196825000.0,2957013000.0,2606572000.0
totalOperatingExpenses,2577841000.0,2279242000.0,2147954000.0,1970586000.0
costOfRevenue,1514166000.0,1307366000.0,1189624000.0,1069987000.0
totalOtherIncomeExpenseNet,-39803000.0,-33921000.0,-75971000.0,-117139000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,779437000.0,474505000.0,621674000.0,404592000.0
netIncomeApplicableToCommonShares,779437000.0,474505000.0,621674000.0,404592000.0
investments,-13922000.0,-21788000.0,-31616000.0,-46717000.0
changeToLiabilities,-247632000.0,210708000.0,-23424000.0,-27278000.0
totalCashflowsFromInvestingActivities,-229918000.0,-158462000.0,-179861000.0,-1075706000.0
netBorrowings,122000000.0,-522000000.0,-94012000.0,807485000.0
totalCashFromFinancingActivities,-128363000.0,-764632000.0,-317286000.0,580643000.0
changeToOperatingActivities,-168109000.0,-58154000.0,-58999000.0,-47575000.0
issuanceOfStock,47384000.0,37790000.0,48182000.0,36727000.0
changeInCash,-21568000.0,-167878000.0,316028000.0,-41573000.0
repurchaseOfStock,-52406000.0,-50209000.0,-46061000.0,-50948000.0
effectOfExchangeRate,-14434000.0,18498000.0,10920000.0,-5561000.0
totalCashFromOperatingActivities,351147000.0,736718000.0,802255000.0,459051000.0
depreciation,158296000.0,146186000.0,140354000.0,116872000.0
otherCashflowsFromInvestingActivities,-17176000.0,19219000.0,-14397000.0,-264000.0
dividendsPaid,-245341000.0,-226713000.0,-225093000.0,-211712000.0
changeToInventory,-311681000.0,-21954000.0,-69881000.0,-84188000.0
changeToAccountReceivables,19346000.0,-129195000.0,54383000.0,-18013000.0
changeToNetincome,85945000.0,74390000.0,97129000.0,80718000.0
capitalExpenditures,-134835000.0,-102712000.0,-95330000.0,-68710000.0
otherCashflowsFromFinancingActivities,,-3500000.0,-302000.0,-909000.0
annualDilutedAverageShares,147043000.0,146451000.0,145652000.0,144484000.0
