,2021,2020,2019,2018
intangibleAssets,484784000.0,467270000.0,386784000.0,243258000.0
capitalSurplus,105629000.0,101757000.0,89413000.0,85386000.0
totalLiab,898822000.0,904540000.0,928626000.0,382216000.0
totalStockholderEquity,1082048000.0,941360000.0,815750000.0,711908000.0
otherCurrentLiab,218328000.0,194793000.0,183800000.0,166411000.0
totalAssets,1980870000.0,1845900000.0,1744376000.0,1094124000.0
commonStock,491911000.0,491612000.0,491146000.0,327308000.0
otherCurrentAssets,39722000.0,35404000.0,51002000.0,32278000.0
retainedEarnings,500919000.0,358888000.0,256300000.0,370292000.0
otherLiab,98890000.0,105320000.0,103940000.0,83187000.0
goodWill,721819000.0,653176000.0,572847000.0,368481000.0
treasuryStock,-16411000.0,-10897000.0,-21109000.0,-71078000.0
otherAssets,82046000.0,68783000.0,78698000.0,59479000.0
cash,105301000.0,98477000.0,94276000.0,115485000.0
totalCurrentLiabilities,491162000.0,472511000.0,410035000.0,299029000.0
deferredLongTermAssetCharges,2948000.0,2222000.0,2180000.0,6915000.0
shortLongTermDebt,18750000.0,17188000.0,12500000.0,
otherStockholderEquity,-16411000.0,-10897000.0,-21109000.0,-71078000.0
propertyPlantEquipment,339841000.0,341894000.0,396260000.0,136885000.0
totalCurrentAssets,352380000.0,314777000.0,309787000.0,286021000.0
netTangibleAssets,-124555000.0,-179086000.0,-143881000.0,100169000.0
shortTermInvestments,12700000.0,,,
netReceivables,165731000.0,150053000.0,145033000.0,122470000.0
longTermDebt,136250000.0,185812000.0,279000000.0,
inventory,28926000.0,30843000.0,19476000.0,15788000.0
accountsPayable,44568000.0,64596000.0,35234000.0,27168000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,474838000,354720000,261160000,310733000
minorityInterest,,,,
netIncome,350687000,260824000,203347000,231663000
sellingGeneralAdministrative,727489000,656207000,623379000,550698000
grossProfit,1261683000,1112628000,1021884000,927128000
ebit,439989000,368092000,317394000,309638000
operatingIncome,439989000,368092000,317394000,309638000
otherOperatingExpenses,,,,
interestExpense,-830000,-5082000,-6917000,-6917000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,124151000,93896000,57813000,79070000
totalRevenue,2424300000,2161220000,2015477000,1821565000
totalOperatingExpenses,1984311000,1793128000,1698083000,1511927000
costOfRevenue,1162617000,1048592000,993593000,894437000
totalOtherIncomeExpenseNet,34849000,-13372000,-56234000,1095000
discontinuedOperations,,,,
netIncomeFromContinuingOps,350687000,260824000,203347000,231663000
netIncomeApplicableToCommonShares,350687000,260824000,203347000,231663000
changeToLiabilities,13355000,57337000,11035000,-5790000
totalCashflowsFromInvestingActivities,-98965000,-162395000,-455107000,-101375000
netBorrowings,-48000000,-88500000,291500000,291500000
totalCashFromFinancingActivities,-290159000,-281273000,111686000,-175412000
changeToOperatingActivities,-32770000,13277000,-25010000,-13184000
changeInCash,6824000,4201000,-21209000,8435000
repurchaseOfStock,-10694000,-8275000,-10009000,-9541000
effectOfExchangeRate,-5857000,12084000,2639000,-14179000
totalCashFromOperatingActivities,401805000,435785000,319573000,299401000
depreciation,94205000,88329000,81111000,66792000
otherCashflowsFromInvestingActivities,-111000,747000,839000,390000
dividendsPaid,-154809000,-116717818,-138948645,-123179032
changeToInventory,2644000,-10706000,-2151000,-374000
changeToAccountReceivables,-22439000,-12045000,-20151000,-12549000
otherCashflowsFromFinancingActivities,-22809000,-24011000,-15969000,-13129000
changeToNetincome,-3877000,38769000,71392000,32843000
capitalExpenditures,-27194000,-23229000,-27146000,-27179000
