,2021,2020,2019,2018
intangibleAssets,6588500000,7168200000,4667700000,3842100000
capitalSurplus,2307800000,2097500000,1903900000,1751500000
totalLiab,12150100000,13545000000,8617000000,7511000000
totalStockholderEquity,11563800000,10479800000,9491900000,7738500000
otherCurrentLiab,1545000000,1245300000,1132600000,869100000
totalAssets,23713900000,24024800000,18108900000,15249500000
commonStock,1100000,1100000,1100000,1100000
otherCurrentAssets,931100000,438500000,97600000,163600000
retainedEarnings,9455600000,8546200000,7818000000,6247700000
otherLiab,1724800000,1846400000,1326500000,1122600000
goodWill,14094500000,13966000000,10815400000,9346800000
treasuryStock,-200700000,-165000000,-231100000,-261800000
otherAssets,286000000,778400000,219500000,321200000
cash,351500000,308300000,709700000,364400000
totalCurrentLiabilities,3121800000,2444400000,2397400000,1448200000
deferredLongTermAssetCharges,101100000,103200000,95600000,52200000
shortLongTermDebt,799200000,499400000,602200000,1500000
otherStockholderEquity,-183100000,-147000000,-212800000,-243300000
propertyPlantEquipment,323800000,359900000,406800000,128700000
totalCurrentAssets,2421100000,1752300000,1999500000,1610700000
netTangibleAssets,-9119200000,-10654400000,-5991200000,-5450400000
netReceivables,962400000,840400000,993600000,891900000
longTermDebt,7122600000,9061400000,4673100000,4940200000
inventory,176100000,165100000,198600000,190800000
accountsPayable,150800000,127100000,162000000,165300000
researchDevelopment,528400000,423600000,379700000,376900000
effectOfAccountingCharges,,,,
incomeBeforeTax,1271000000,1051400000,2057400000,1198400000
minorityInterest,,,,
netIncome,1152600000,949700000,1767900000,944400000
sellingGeneralAdministrative,1809300000,1560100000,1432100000,1506200000
grossProfit,3917400000,3270800000,3140100000,3279500000
ebit,1579700000,1287100000,1328300000,1396400000
operatingIncome,1579700000,1287100000,1328300000,1396400000
otherOperatingExpenses,,,,
interestExpense,-234100000,-218500000,-186200000,-182100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,288400000,225900000,417400000,254000000
totalRevenue,5777800000,4854200000,4727700000,5191200000
totalOperatingExpenses,4198100000,3567100000,3399400000,3794800000
costOfRevenue,1860400000,1583400000,1587600000,1911700000
totalOtherIncomeExpenseNet,-308700000,-235700000,729100000,-198000000
discontinuedOperations,170000000,124200000,127900000,127900000
netIncomeFromContinuingOps,982600000,825500000,1640000000,944400000
netIncomeApplicableToCommonShares,1152600000,949700000,1767900000,944400000
changeToLiabilities,230800000,153400000,107200000,155400000
totalCashflowsFromInvestingActivities,-142900000,-6073900000,-1296000000,-1335100000
netBorrowings,-1650000000,4320000000,335000000,-205000000
totalCashFromFinancingActivities,-1813500000,4136900000,177000000,-388100000
issuanceOfStock,79400000,74900000,41700000,16000000
changeInCash,43200000,-401400000,345300000,-306900000
effectOfExchangeRate,-12300000,10500000,2500000,-13800000
totalCashFromOperatingActivities,2011900000,1525100000,1461800000,1430100000
depreciation,634100000,512900000,408800000,367000000
otherCashflowsFromInvestingActivities,109600000,-5500000,-12300000,-700000
dividendsPaid,-236400000,-214100000,-191700000,-170100000
changeToInventory,-13900000,100000,-14100000,-21800000
changeToAccountReceivables,-119600000,55200000,-24400000,-97500000
otherCashflowsFromFinancingActivities,-6500000,-43900000,-8000000,-29000000
changeToNetincome,114400000,-157100000,-790900000,397900000
capitalExpenditures,-32900000,-28300000,-43000000,-49100000
