,2022,2021,2020,2019
capitalSurplus,1717530000.0,1579824000.0,1458307000.0,1375965000.0
totalLiab,9580206000.0,9427227000.0,5989118000.0,2767945000.0
totalStockholderEquity,4060050000.0,3290640000.0,3359249000.0,3305746000.0
otherCurrentLiab,30549000.0,75880000.0,35325000.0,57549000.0
totalAssets,13640256000.0,12717867000.0,9348367000.0,6073691000.0
commonStock,3517000.0,3565000.0,3568000.0,3682000.0
otherCurrentAssets,11403000.0,85711000.0,10235000.0,11802000.0
retainedEarnings,2874898000.0,2185801000.0,2330702000.0,2298762000.0
otherLiab,373655000.0,390425000.0,363765000.0,446021000.0
treasuryStock,-535895000.0,-478550000.0,-433328000.0,-372663000.0
otherAssets,241281000.0,230061000.0,208321000.0,194471000.0
cash,4922365000.0,4819293000.0,1351205000.0,1412912000.0
totalCurrentLiabilities,4214929000.0,3967033000.0,2701934000.0,2009484000.0
propertyPlantEquipment,5925799000.0,5795315000.0,5707218000.0,2475201000.0
totalCurrentAssets,7473176000.0,6692491000.0,3432828000.0,3404019000.0
netTangibleAssets,4060050000.0,3290640000.0,3359249000.0,3305746000.0
netReceivables,129747000.0,125767000.0,112936000.0,106911000.0
longTermDebt,2452325000.0,2448175000.0,312891000.0,312440000.0
inventory,2262273000.0,1508982000.0,1832339000.0,1750442000.0
accountsPayable,2372302000.0,2256928000.0,1296482000.0,1177104000.0
shortLongTermDebt,,64910000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2258540000.0,106297000.0,2164288000.0,2050876000.0
minorityInterest,,,,
netIncome,1722589000.0,85382000.0,1660928000.0,1587457000.0
sellingGeneralAdministrative,3755768000.0,3104656000.0,3170687000.0,2786350000.0
grossProfit,6088636000.0,3534366000.0,5316869000.0,4827064000.0
ebit,2332868000.0,429710000.0,2146182000.0,2040714000.0
operatingIncome,2332868000.0,429710000.0,2146182000.0,2040714000.0
otherOperatingExpenses,,,,
interestExpense,-75161000.0,-88064000.0,-9740000.0,-16407000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,535951000.0,20915000.0,503360000.0,463419000.0
totalRevenue,18916244000.0,12531565000.0,16039073000.0,14983541000.0
totalOperatingExpenses,16583376000.0,12101855000.0,13892891000.0,12942827000.0
costOfRevenue,12827608000.0,8997199000.0,10722204000.0,10156477000.0
totalOtherIncomeExpenseNet,-74328000.0,-323413000.0,18106000.0,10162000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1722589000.0,85382000.0,1660928000.0,1587457000.0
netIncomeApplicableToCommonShares,1722589000.0,85382000.0,1660928000.0,1587457000.0
changeToLiabilities,135311000.0,938837000.0,114153000.0,110483000.0
totalCashflowsFromInvestingActivities,-557840000.0,-405433000.0,-554966000.0,-410409000.0
netBorrowings,-65000000.0,2190106000.0,2190106000.0,-85000000.0
totalCashFromFinancingActivities,-1152396000.0,1701859000.0,-1683249000.0,-1531461000.0
changeToOperatingActivities,168163000.0,180597000.0,35262000.0,16019000.0
issuanceOfStock,25069000.0,23534000.0,22209000.0,20112000.0
changeInCash,28613000.0,3542359000.0,-66669000.0,124807000.0
repurchaseOfStock,-707342000.0,-177689000.0,-1335665000.0,-1129384000.0
totalCashFromOperatingActivities,1738849000.0,2245933000.0,2171546000.0,2066677000.0
depreciation,360664000.0,364245000.0,350892000.0,330357000.0
dividendsPaid,-405123000.0,-101404000.0,-369793000.0,-337189000.0
changeToInventory,-753291000.0,323357000.0,-81897000.0,-108707000.0
changeToNetincome,149992000.0,313709000.0,127447000.0,127362000.0
capitalExpenditures,-557840000.0,-405433000.0,-555483000.0,-413898000.0
otherCashflowsFromFinancingActivities,,-232688000.0,-232688000.0,-232688000.0
investments,,,517000.0,3489000.0
annualDilutedAverageShares,353734000.0,354619000.0,361182000.0,372678000.0
