,2021,2020,2019,2018
intangibleAssets,259500000.0,173100000.0,133900000.0,106500000.0
capitalSurplus,2789500000.0,2741400000.0,4994800000.0,4924900000.0
totalLiab,15975300000.0,14945200000.0,14562900000.0,13687500000.0
totalStockholderEquity,8978900000.0,8483900000.0,8118200000.0,7927100000.0
minorityInterest,800000.0,4900000.0,2700000.0,2400000.0
deferredLongTermLiab,128600000.0,114500000.0,118100000.0,93400000.0
otherCurrentLiab,527200000.0,481100000.0,465200000.0,459700000.0
totalAssets,24955000000.0,23434000000.0,22683800000.0,21617000000.0
commonStock,3200000.0,3200000.0,3500000.0,3500000.0
otherCurrentAssets,15900000.0,18500000.0,20400000.0,14700000.0
retainedEarnings,6475600000.0,5751800000.0,5317300000.0,4750500000.0
otherLiab,3723800000.0,3587500000.0,3504200000.0,3322100000.0
goodWill,12826000000.0,12046400000.0,11633400000.0,11400100000.0
treasuryStock,-289400000.0,-12500000.0,-2197400000.0,-1751800000.0
otherAssets,524000000.0,528500000.0,582000000.0,440100000.0
cash,29000000.0,38200000.0,47100000.0,70500000.0
totalCurrentLiabilities,2415600000.0,2282000000.0,3064600000.0,2718600000.0
otherStockholderEquity,-14600000.0,-12400000.0,2200000.0,30800000.0
propertyPlantEquipment,9487400000.0,8945000000.0,8627100000.0,8020100000.0
totalCurrentAssets,1710800000.0,1521800000.0,1606000000.0,1564400000.0
longTermInvestments,147300000.0,219200000.0,101400000.0,85800000.0
netTangibleAssets,-4106600000.0,-3735600000.0,-3649100000.0,-3579500000.0
netReceivables,1508400000.0,1328300000.0,1402600000.0,1350500000.0
longTermDebt,9355700000.0,8668400000.0,7671200000.0,7537300000.0
inventory,72200000.0,59100000.0,56800000.0,53100000.0
accountsPayable,910000000.0,779000000.0,777900000.0,761500000.0
shortLongTermDebt,,162300000.0,935900000.0,690700000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1575100000,1142700000,1295800000,1320900000
netIncome,1290400000,967200000,1073300000,1036900000
sellingGeneralAdministrative,1263200000,1139000000,1091900000,1059500000
grossProfit,4648000000,4128300000,4001000000,3890900000
ebit,2116600000,1830500000,1786700000,1717300000
operatingIncome,2116600000,1830500000,1786700000,1717300000
otherOperatingExpenses,82700000,82900000,81900000,80700000
interestExpense,-314600000,-355600000,-392000000,-389200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,282800000,173100000,222000000,283300000
totalRevenue,11295000000,10153600000,10299400000,10040900000
totalOperatingExpenses,9178400000,8323100000,8512700000,8323600000
costOfRevenue,6647000000,6025300000,6298400000,6150000000
totalOtherIncomeExpenseNet,-541500000,-687800000,-490900000,-396400000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1292300000,969600000,1073800000,1037600000
netIncomeApplicableToCommonShares,1290400000,967200000,1073300000,1036900000
changeToLiabilities,113800000.0,-46700000.0,6400000.0,85900000.0
totalCashflowsFromInvestingActivities,-2466100000.0,-1922800000.0,-1719000000.0,-1229100000.0
netBorrowings,542100000.0,120200000.0,309700000.0,128700000.0
totalCashFromFinancingActivities,-329200000.0,-612000000.0,-589000000.0,-1059500000.0
changeToOperatingActivities,-72400000.0,-108400000.0,-181500000.0,-215100000.0
changeInCash,-8600000.0,-63200000.0,44100000.0,-45800000.0
repurchaseOfStock,-252200000.0,-98800000.0,-399400000.0,-736900000.0
totalCashFromOperatingActivities,2786700000.0,2471600000.0,2352100000.0,2242800000.0
depreciation,1227700000.0,1120000000.0,1122400000.0,1114100000.0
otherCashflowsFromInvestingActivities,6100000.0,-21700000.0,-1300000.0,-800000.0
dividendsPaid,-552600000.0,-522500000.0,-491200000.0,-461800000.0
changeToAccountReceivables,-135400000.0,13800000.0,-38300000.0,-29600000.0
otherCashflowsFromFinancingActivities,-66500000.0,-114800000.0,-17400000.0,-12700000.0
changeToNetincome,322100000.0,486900000.0,369800000.0,250600000.0
capitalExpenditures,-1316300000.0,-1194600000.0,-1207100000.0,-1071800000.0
issuanceOfStock,,3900000.0,9300000.0,23200000.0
