,2021,2020,2019,2018
intangibleAssets,38516000000.0,40539000000.0,24473000000.0,26424000000.0
totalLiab,86705000000.0,88269000000.0,95289000000.0,93492000000.0
totalStockholderEquity,73068000000.0,72163000000.0,41774000000.0,38446000000.0
minorityInterest,1631000000.0,1721000000.0,2552000000.0,2273000000.0
deferredLongTermLiab,1974000000.0,1981000000.0,1519000000.0,914000000.0
otherCurrentLiab,14020000000.0,13892000000.0,23739000000.0,7102000000.0
totalAssets,161404000000.0,162153000000.0,139615000000.0,134211000000.0
commonStock,37483000000.0,36930000000.0,23019000000.0,22514000000.0
otherCurrentAssets,4018000000.0,5978000000.0,34388000000.0,1511000000.0
retainedEarnings,50265000000.0,49423000000.0,61594000000.0,57823000000.0
otherLiab,18272000000.0,19879000000.0,9901000000.0,20932000000.0
goodWill,54436000000.0,54285000000.0,36609000000.0,48112000000.0
treasuryStock,-14680000000.0,-14190000000.0,-42839000000.0,-41891000000.0
otherAssets,6624000000.0,3967000000.0,1919000000.0,8852000000.0
cash,7832000000.0,8802000000.0,4937000000.0,6152000000.0
totalCurrentLiabilities,35449000000.0,35848000000.0,46594000000.0,31368000000.0
shortLongTermDebt,24000000.0,550000000.0,3258000000.0,2876000000.0
otherStockholderEquity,-1953000000.0,-3783000000.0,-10213000000.0,-9409000000.0
propertyPlantEquipment,16930000000.0,16842000000.0,11574000000.0,12297000000.0
totalCurrentAssets,42050000000.0,43376000000.0,61577000000.0,35503000000.0
netTangibleAssets,-19884000000.0,-22661000000.0,-19308000000.0,-36090000000.0
netReceivables,21022000000.0,19185000000.0,13205000000.0,17757000000.0
longTermDebt,31226000000.0,30962000000.0,37625000000.0,41120000000.0
inventory,9178000000.0,9411000000.0,9047000000.0,10083000000.0
accountsPayable,8751000000.0,8639000000.0,7816000000.0,11080000000.0
deferredLongTermAssetCharges,,,,1646000000.0
researchDevelopment,2732000000.0,2582000000.0,2452000000.0,1878000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,4931000000.0,-2353000000.0,4152000000.0,2504000000.0
netIncome,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
sellingGeneralAdministrative,3154000000.0,4496000000.0,2980000000.0,2093000000.0
grossProfit,12525000000.0,8620000000.0,10932000000.0,7236000000.0
ebit,6817000000.0,1770000000.0,5735000000.0,3648000000.0
operatingIncome,6817000000.0,1770000000.0,5735000000.0,3648000000.0
otherOperatingExpenses,-178000000.0,-228000000.0,-235000000.0,-383000000.0
interestExpense,-1358000000.0,-1408000000.0,-1711000000.0,-1182000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,786000000.0,575000000.0,421000000.0,1098000000.0
totalRevenue,64388000000.0,56587000000.0,45349000000.0,34701000000.0
totalOperatingExpenses,57571000000.0,54817000000.0,39614000000.0,31053000000.0
costOfRevenue,51863000000.0,47967000000.0,34417000000.0,27465000000.0
totalOtherIncomeExpenseNet,-1886000000.0,-4123000000.0,-1583000000.0,-1144000000.0
discontinuedOperations,-33000000.0,-410000000.0,2027000000.0,4053000000.0
netIncomeFromContinuingOps,4145000000.0,-2928000000.0,3731000000.0,1406000000.0
netIncomeApplicableToCommonShares,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
changeToLiabilities,2289000000.0,-537000000.0,2345000000.0,3063000000.0
totalCashflowsFromInvestingActivities,-1364000000.0,3102000000.0,-3092000000.0,-16973000000.0
netBorrowings,-305000000.0,-16119000000.0,-1816000000.0,10447000000.0
totalCashFromFinancingActivities,-6685000000.0,-5274000000.0,-4564000000.0,7965000000.0
changeToOperatingActivities,-566000000.0,-445000000.0,-984000000.0,-645000000.0
issuanceOfStock,7000000.0,15000000.0,27000000.0,36000000.0
changeInCash,-979000000.0,1412000000.0,1208000000.0,-2806000000.0
repurchaseOfStock,-2327000000.0,-47000000.0,-151000000.0,-325000000.0
effectOfExchangeRate,-1000000.0,-22000000.0,-19000000.0,-120000000.0
totalCashFromOperatingActivities,7071000000.0,3606000000.0,8883000000.0,6322000000.0
depreciation,4557000000.0,4156000000.0,2708000000.0,1896000000.0
otherCashflowsFromInvestingActivities,9000000.0,-364000000.0,-339000000.0,243000000.0
dividendsPaid,-2957000000.0,-2732000000.0,-2442000000.0,-2170000000.0
changeToInventory,163000000.0,412000000.0,-1267000000.0,-417000000.0
changeToAccountReceivables,-2164000000.0,1381000000.0,-591000000.0,-1798000000.0
otherCashflowsFromFinancingActivities,-1103000000.0,13609000000.0,-182000000.0,-23000000.0
changeToNetincome,-1072000000.0,2158000000.0,1135000000.0,-1046000000.0
capitalExpenditures,-2134000000.0,-1795000000.0,-1868000000.0,-1467000000.0
annualDilutedAverageShares,1508500000.0,1357800000.0,864000000.0,810000000.0
