,2021,2020,2019,2018
intangibleAssets,2803247000.0,3156150000.0,3626773000.0,3331465000.0
capitalSurplus,2681347000.0,2586130000.0,2461335000.0,2270326000.0
totalLiab,15067853000.0,13967206000.0,13410896000.0,10590530000.0
totalStockholderEquity,-5283404000.0,-4824382000.0,-3667007000.0,-3376823000.0
minorityInterest,17250000.0,15194000.0,16052000.0,
deferredLongTermLiab,6345000.0,4788000.0,4865000.0,27020000.0
otherCurrentLiab,209897000.0,133487000.0,145124000.0,130243000.0
totalAssets,9801699000.0,9158018000.0,9759941000.0,7213707000.0
commonStock,1089000.0,1098000.0,1118000.0,1124000.0
otherCurrentAssets,96374000.0,55546000.0,67524000.0,84412000.0
retainedEarnings,-7203531000.0,-6604028000.0,-5560695000.0,-5136368000.0
otherLiab,191475000.0,186246000.0,180587000.0,387426000.0
treasuryStock,-762309000.0,-807582000.0,-568765000.0,-511905000.0
otherAssets,467431000.0,408294000.0,371240000.0,722033000.0
cash,367278000.0,308560000.0,108309000.0,143444000.0
totalCurrentLiabilities,616331000.0,614801000.0,1048293000.0,1206279000.0
deferredLongTermAssetCharges,51918000.0,53722000.0,4342000.0,18330000.0
shortLongTermDebt,24000000.0,24000000.0,522090000.0,941728000.0
otherStockholderEquity,-762309000.0,-807582000.0,-568765000.0,-511905000.0
propertyPlantEquipment,5808362000.0,5050886000.0,5366819000.0,2786355000.0
totalCurrentAssets,614446000.0,472990000.0,334271000.0,373854000.0
longTermInvestments,108213000.0,69698000.0,60838000.0,
netTangibleAssets,-8086651000.0,-7980532000.0,-7293780000.0,-6708288000.0
netReceivables,150794000.0,108884000.0,158438000.0,145998000.0
longTermDebt,12278694000.0,11071796000.0,9902616000.0,8996825000.0
accountsPayable,34066000.0,109969000.0,31846000.0,34308000.0
inventory,,,,23785000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,252564000.0,-17749000.0,186889000.0,51684000.0
netIncome,237624000.0,24104000.0,146991000.0,47451000.0
sellingGeneralAdministrative,219122000.0,193366000.0,192717000.0,142526000.0
grossProfit,1735729000.0,1590028000.0,1506386000.0,1385939000.0
ebit,813657000.0,672702000.0,613437000.0,569311000.0
operatingIncome,813657000.0,672702000.0,613437000.0,569311000.0
otherOperatingExpenses,2789000.0,1990000.0,3154000.0,1989000.0
interestExpense,-419593000.0,-412802000.0,-415695000.0,-399146000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,14940000.0,-41796000.0,39605000.0,4233000.0
totalRevenue,2308834000.0,2083138000.0,2014645000.0,1865695000.0
totalOperatingExpenses,1495177000.0,1410436000.0,1401208000.0,1296384000.0
costOfRevenue,573105000.0,493110000.0,508259000.0,479756000.0
totalOtherIncomeExpenseNet,-561093000.0,-690451000.0,-426548000.0,-517627000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,237624000.0,24047000.0,147284000.0,47451000.0
netIncomeApplicableToCommonShares,237624000.0,24104000.0,146991000.0,47451000.0
investments,-634000.0,-49499000.0,-13156000.0,-6093000.0
changeToLiabilities,-473000.0,13173000.0,-5951000.0,-3021000.0
totalCashflowsFromInvestingActivities,-1423260000.0,-446366000.0,-947158000.0,-618347000.0
netBorrowings,1173469000.0,746236000.0,397458000.0,591684000.0
totalCashFromFinancingActivities,339264000.0,-469017000.0,-62314000.0,-148537000.0
changeToOperatingActivities,3581000.0,-2655000.0,13626000.0,-14459000.0
issuanceOfStock,86688000.0,99129000.0,130290000.0,59880000.0
changeInCash,92818000.0,201688000.0,-37180000.0,74005000.0
repurchaseOfStock,-654482000.0,-904415000.0,-481070000.0,-795581000.0
effectOfExchangeRate,-13082000.0,-8962000.0,2247000.0,-9729000.0
totalCashFromOperatingActivities,1189896000.0,1126033000.0,970045000.0,850618000.0
depreciation,700161000.0,721970000.0,697078000.0,672113000.0
otherCashflowsFromInvestingActivities,-31228000.0,3117000.0,-5809000.0,-10613000.0
dividendsPaid,-253580000.0,-207689000.0,-83387000.0,-83387000.0
changeToAccountReceivables,-38237000.0,38195000.0,-12146000.0,-29427000.0
otherCashflowsFromFinancingActivities,-12831000.0,-202278000.0,-25605000.0,-4520000.0
changeToNetincome,267651000.0,311188000.0,110089000.0,157672000.0
capitalExpenditures,-133694000.0,-128566000.0,-154236000.0,-149812000.0
annualDilutedAverageShares,111177000.0,113465000.0,114693000.0,116515000.0
