,2021,2020,2019,2018
capitalSurplus,3763810000.0,2583514000.0,1871571000.0,1862896000.0
totalLiab,110604809000.0,68061435000.0,45846611000.0,42957676000.0
totalStockholderEquity,7840611000.0,5826902000.0,4745198000.0,4407140000.0
totalAssets,118445427000.0,73888344000.0,50591809000.0,47364816000.0
commonStock,606000.0,555000.0,554000.0,554000.0
otherCurrentAssets,693592000.0,685164000.0,887820000.0,627134000.0
retainedEarnings,4298527000.0,3548260000.0,3172273000.0,2730899000.0
otherLiab,1600000.0,29400000.0,1400000.0,929000.0
treasuryStock,-222332000.0,-305427000.0,-299200000.0,-187209000.0
otherAssets,65447567000.0,49099529000.0,39525691000.0,36835091000.0
cash,29620671000.0,12348331000.0,340132000.0,317255000.0
totalCurrentLiabilities,109619057000.0,64098848000.0,41004361000.0,37728573000.0
shortLongTermDebt,2605507000.0,150000000.0,150000000.0,150000000.0
otherStockholderEquity,-222332000.0,-72896000.0,-65630000.0,-144529000.0
propertyPlantEquipment,318220000.0,317681000.0,283997000.0,59051000.0
totalCurrentAssets,30338938000.0,13103055000.0,1282666000.0,999617000.0
longTermInvestments,22340702000.0,11368079000.0,9499455000.0,9471057000.0
netTangibleAssets,7840611000.0,5826902000.0,4745198000.0,4407140000.0
longTermDebt,753966000.0,3667833000.0,4598263000.0,5228174000.0
inventory,5658000.0,34466000.0,46829000.0,51599000.0
accountsPayable,106132794000.0,63315323000.0,40383207000.0,36378773000.0
deferredLongTermAssetCharges,,,,9430000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1247774000.0,732192000.0,821403000.0,700740000.0
minorityInterest,,,,
netIncome,918441000.0,528359000.0,586486000.0,506434000.0
sellingGeneralAdministrative,679057000.0,600312000.0,516837000.0,461022000.0
grossProfit,1951374000.0,1346246000.0,1350672000.0,1187018000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,1272317000.0,745934000.0,833835000.0,725996000.0
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,329333000.0,203833000.0,234917000.0,194306000.0
totalRevenue,1951374000.0,1346246000.0,1350672000.0,1187018000.0
totalOperatingExpenses,679057000.0,600312000.0,516837000.0,461022000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-24543000.0,-13742000.0,-12432000.0,-25256000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,918441000.0,528359000.0,586486000.0,506434000.0
netIncomeApplicableToCommonShares,879482000.0,526634000.0,584573000.0,505520000.0
investments,-10876290000.0,-2124022000.0,50512000.0,-297913000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-27121197000.0,-11878559000.0,-2634356000.0,-4289134000.0
netBorrowings,-460000000.0,-927898000.0,-1297856000.0,805000000.0
totalCashFromFinancingActivities,43513895000.0,22532698000.0,2328509000.0,3619360000.0
changeToOperatingActivities,136531000.0,147090000.0,-111755000.0,32362000.0
issuanceOfStock,1363289000.0,1363289000.0,1363289000.0,1363289000.0
changeInCash,17272340000.0,11558499000.0,472577000.0,-18211000.0
repurchaseOfStock,-38691000.0,-59440000.0,-255049000.0,-62569000.0
totalCashFromOperatingActivities,879642000.0,904363000.0,778224000.0,651563000.0
depreciation,49005000.0,45584000.0,20147000.0,14007000.0
otherCashflowsFromInvestingActivities,4981000.0,59661000.0,33538000.0,-36957000.0
dividendsPaid,-168170000.0,-120078000.0,-122777000.0,-62005000.0
otherCashflowsFromFinancingActivities,42817467000.0,22932096000.0,4004191000.0,2938934000.0
changeToNetincome,-195309000.0,313604000.0,289044000.0,123519000.0
capitalExpenditures,-32196000.0,-35042000.0,-32937000.0,-11487000.0
annualDilutedAverageShares,58508000.0,52899000.0,54011000.0,54666000.0
