,2022,2021,2020,2019,2018
intangibleAssets,155900000.0,349900000.0,552100000.0,781800000.0,1042200000.0
capitalSurplus,205300000.0,846100000.0,373900000.0,41100000.0,41100000.0
totalLiab,36677100000.0,36707100000.0,37173900000.0,25450600000.0,22980600000.0
totalStockholderEquity,-8706600000.0,-5321200000.0,-7805100000.0,-6232200000.0,1169500000.0
minorityInterest,7900000.0,6700000.0,5700000.0,1200000.0,6300000.0
otherCurrentLiab,3255500000.0,3362900000.0,2231900000.0,3750300000.0,2936500000.0
totalAssets,27978400000.0,31392600000.0,29374500000.0,19219600000.0,24156400000.0
commonStock,1100000.0,1200000.0,1200000.0,1200000.0,1300000.0
otherCurrentAssets,75100000.0,147600000.0,15600000.0,12600000.0,24500000.0
retainedEarnings,-8449800000.0,-6315700000.0,-7815600000.0,-5771200000.0,1457400000.0
otherLiab,6856200000.0,7199500000.0,7436500000.0,8112300000.0,8173700000.0
goodWill,3283500000.0,3677300000.0,3597200000.0,3490800000.0,3541600000.0
treasuryStock,-463200000.0,147200000.0,-364600000.0,-503300000.0,-330300000.0
otherAssets,2353900000.0,2430600000.0,2312700000.0,2227100000.0,546900000.0
cash,2818400000.0,6455700000.0,4350900000.0,2686600000.0,8756300000.0
totalCurrentLiabilities,9151800000.0,8151400000.0,7346800000.0,6168700000.0,5684200000.0
deferredLongTermAssetCharges,1799700000.0,1874800000.0,1789900000.0,1765800000.0,134700000.0
shortLongTermDebt,1761000000.0,998900000.0,1249900000.0,,349900000.0
otherStockholderEquity,-463200000.0,147200000.0,-364600000.0,-503300000.0,-330300000.0
propertyPlantEquipment,14576100000.0,14605500000.0,14375500000.0,6431700000.0,5929100000.0
totalCurrentAssets,7018700000.0,9756400000.0,7806400000.0,5653900000.0,12494200000.0
longTermInvestments,590300000.0,572900000.0,730600000.0,634300000.0,602400000.0
netTangibleAssets,-12146000000.0,-9348400000.0,-11954400000.0,-10504800000.0,-3414300000.0
shortTermInvestments,364500000.0,162200000.0,281200000.0,70500000.0,181500000.0
netReceivables,1272600000.0,1133100000.0,1395400000.0,1020300000.0,1648500000.0
longTermDebt,13153900000.0,13618200000.0,14728900000.0,11169600000.0,9122700000.0
inventory,2176600000.0,1603900000.0,1551400000.0,1529400000.0,1400500000.0
accountsPayable,1441400000.0,1211600000.0,997900000.0,1189700000.0,1179300000.0
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,4231900000,5356900000.0,1164400000.0,4466200000.0,5780000000.0
netIncome,3281600000,4199300000.0,928300000.0,3599200000.0,4518300000.0
sellingGeneralAdministrative,2032000000,1932600000.0,1679600000.0,1824100000.0,1704600000.0
grossProfit,8385400000,8435400000.0,5141100000.0,7488100000.0,7316600000.0
ebit,4444000000,4701600000.0,1599900000.0,3915700000.0,3810100000.0
operatingIncome,4444000000,4701600000.0,1599900000.0,3915700000.0,3810100000.0
otherOperatingExpenses,461500000,359500000.0,430300000.0,371000000.0,554900000.0
interestExpense,-482900000,-473400000.0,-437000000.0,-331000000.0,-170300000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,948500000,1156600000.0,239700000.0,871600000.0,1262000000.0
totalRevenue,32250300000,29060600000.0,23518000000.0,26508600000.0,24719500000.0
totalOperatingExpenses,27806300000,24359000000.0,21918100000.0,22592900000.0,20909400000.0
costOfRevenue,23864900000,20625200000.0,18376900000.0,19020500000.0,17402900000.0
totalOtherIncomeExpenseNet,-212100000,655300000.0,-435500000.0,550500000.0,1969900000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,3283400000,4200300000.0,924700000.0,3594600000.0,4518000000.0
netIncomeApplicableToCommonShares,3281600000,4199300000.0,928300000.0,3599200000.0,4518300000.0
investments,-238000000,56700000.0,-183500000.0,167700000.0,312400000.0
changeToLiabilities,269700000,183800000.0,-179800000.0,1400000.0,7501000000.0
totalCashflowsFromInvestingActivities,-2146300000,-319500000.0,-1711500000.0,-1010800000.0,-2361500000.0
netBorrowings,673100000,-1681200000.0,5166500000.0,1646000000.0,5584100000.0
totalCashFromFinancingActivities,-5638000000,-3651000000.0,1713300000.0,-10056900000.0,-3242800000.0
changeToOperatingActivities,-1286000000,-878300000.0,-1268400000.0,780900000.0,-823100000.0
issuanceOfStock,101600000,246200000.0,298800000.0,409800000.0,153900000.0
changeInCash,-3637300000,2104800000.0,1664300000.0,-6069700000.0,6294000000.0
repurchaseOfStock,-4140200000,-97000000.0,-1790800000.0,-10333900000.0,-7196200000.0
effectOfExchangeRate,-250300000,86200000.0,64700000.0,-49000000.0,-39500000.0
totalCashFromOperatingActivities,4397300000,5989100000.0,1597800000.0,5047000000.0,11937800000.0
depreciation,1529400000,1524100000.0,1503200000.0,1449300000.0,1305900000.0
otherCashflowsFromInvestingActivities,-126300000,-81200000.0,-44400000.0,-56200000.0,5600000.0
dividendsPaid,-2263300000,-2119000000.0,-1923500000.0,-1761300000.0,-1743400000.0
changeToInventory,-641000000,-49800000.0,-10900000.0,-173000000.0,-41200000.0
changeToAccountReceivables,-326100000,-43000000.0,-2700000.0,-197700000.0,131000000.0
changeToNetincome,1719300000,766900000.0,1842700000.0,-1650200000.0,-800100000.0
capitalExpenditures,-1841300000,-1470000000.0,-1483600000.0,-1806600000.0,-1976400000.0
otherCashflowsFromFinancingActivities,-9200000,-9200000.0,-37700000.0,-17500000.0,-41200000.0
annualDilutedAverageShares,,1185500000.0,1181800000.0,1233200000.0,
