,2021,2020,2019,2018
intangibleAssets,9379000000,9991000000,128000000,152000000
capitalSurplus,26741000000,26515000000,4656000000,4499000000
totalLiab,611009000000,492949000000,272260000000,275812000000
totalStockholderEquity,46307000000,48327000000,18952000000,17877000000
deferredLongTermLiab,344000000,303000000,281000000,250000000
otherCurrentLiab,443778000000,358022000000,220094000000,231423000000
totalAssets,667270000000,549009000000,294005000000,296482000000
commonStock,21000000,21000000,15000000,15000000
otherCurrentAssets,999000000,300000000,1204000000,3885000000
retainedEarnings,25992000000,21975000000,19960000000,17329000000
otherLiab,2166000000,4008000000,468000000,189000000
goodWill,11952000000,11952000000,1227000000,1227000000
treasuryStock,-6447000000,-184000000,-5679000000,-3966000000
otherAssets,1522000000,980000000,580000000,470000000
cash,62975000000,40348000000,29345000000,27938000000
totalCurrentLiabilities,589188000000,474276000000,263712000000,268745000000
otherStockholderEquity,-1109000000,5394000000,88000000,-252000000
propertyPlantEquipment,4284000000,3820000000,2705000000,1769000000
totalCurrentAssets,250017000000,184367000000,93843000000,85734000000
longTermInvestments,390116000000,337899000000,195522000000,207130000000
netTangibleAssets,24976000000,26384000000,17597000000,16498000000
shortTermInvestments,56115000000,51959000000,21936000000,14203000000
netReceivables,129928000000,91760000000,41358000000,39708000000
longTermDebt,18914000000,13632000000,7430000000,6826000000
accountsPayable,125671000000,104201000000,39220000000,32726000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7713000000,4300000000,4848000000,4562000000
minorityInterest,,,,
netIncome,5855000000,3299000000,3704000000,3507000000
sellingGeneralAdministrative,7726000000,5596000000,4984000000,4709000000
grossProfit,17933000000,11338000000,10468000000,9890000000
ebit,0,0,0,0
operatingIncome,8167000000,4723000000,4874000000,4562000000
otherOperatingExpenses,876000000,415000000,261000000,313000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1858000000,1001000000,1144000000,1055000000
totalRevenue,18520000000,11691000000,10721000000,10132000000
totalOperatingExpenses,10353000000,6968000000,5847000000,5570000000
costOfRevenue,587000000,353000000,253000000,242000000
totalOtherIncomeExpenseNet,-454000000,-423000000,-26000000,0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5855000000,3299000000,3704000000,3507000000
netIncomeApplicableToCommonShares,5360000000,3043000000,3526000000,3329000000
investments,-63514000000.0,-134123000000.0,14461000000.0,-40133000000.0
changeToLiabilities,21470000000.0,22909000000.0,6494000000.0,1483000000.0
totalCashflowsFromInvestingActivities,-75663000000.0,-125851000000.0,11964000000.0,-40555000000.0
netBorrowings,10066000000.0,2370000000.0,593000000.0,-12885000000.0
totalCashFromFinancingActivities,96323000000.0,143982000000.0,-13939000000.0,47166000000.0
changeToOperatingActivities,-3228000000.0,-7352000000.0,-1927000000.0,7527000000.0
issuanceOfStock,221000000.0,79000000.0,118000000.0,125000000.0
changeInCash,22778000000.0,24983000000.0,7350000000.0,19067000000.0
totalCashFromOperatingActivities,2118000000.0,6852000000.0,9325000000.0,12456000000.0
depreciation,1164000000.0,604000000.0,349000000.0,306000000.0
otherCashflowsFromInvestingActivities,-388000000.0,-170000000.0,-59000000.0,277000000.0
dividendsPaid,-1822000000.0,-1280000000.0,-1060000000.0,-787000000.0
changeToAccountReceivables,-26168000000.0,-14609000000.0,-125000000.0,-1100000000.0
otherCashflowsFromFinancingActivities,85652000000.0,137873000000.0,-11370000000.0,61713000000.0
changeToNetincome,3025000000.0,2001000000.0,830000000.0,733000000.0
capitalExpenditures,-916000000.0,-631000000.0,-708000000.0,-570000000.0
repurchaseOfStock,,,-2220000000.0,-1000000000.0
