,2021,2020,2019,2018
intangibleAssets,152600000.0,171000000.0,182100000.0,101700000.0
capitalSurplus,2123400000.0,2093000000.0,2073500000.0,2049600000.0
totalLiab,5980600000.0,5911300000.0,5961400000.0,5398800000.0
totalStockholderEquity,248700000.0,172500000.0,-196200000.0,-348600000.0
otherCurrentLiab,32900000.0,32100000.0,41800000.0,57000000.0
totalAssets,6229300000.0,6083800000.0,5765200000.0,5050200000.0
commonStock,23200000.0,23200000.0,23200000.0,23200000.0
otherCurrentAssets,3700000.0,7600000.0,4500000.0,2700000.0
retainedEarnings,2790700000.0,2400700000.0,1998500000.0,1835500000.0
otherLiab,709200000.0,759300000.0,760900000.0,673700000.0
goodWill,2189400000.0,2222600000.0,2216900000.0,1947600000.0
treasuryStock,-4688600000.0,-4344400000.0,-4291400000.0,-4256900000.0
otherAssets,445400000.0,481900000.0,522900000.0,409900000.0
cash,561000000.0,548700000.0,262400000.0,271700000.0
totalCurrentLiabilities,2007300000.0,1367400000.0,1436200000.0,1488600000.0
deferredLongTermAssetCharges,138400000.0,187100000.0,238600000.0,170500000.0
shortLongTermDebt,477000000.0,11800000.0,6300000.0,4900000.0
otherStockholderEquity,-933900000.0,-963500000.0,-909000000.0,-920400000.0
propertyPlantEquipment,1326500000.0,1301400000.0,1271800000.0,1036200000.0
totalCurrentAssets,2069600000.0,1881500000.0,1564000000.0,1554800000.0
longTermInvestments,45800000.0,25400000.0,7500000.0,
netTangibleAssets,-2093300000.0,-2221100000.0,-2595200000.0,-2397900000.0
netReceivables,734000000.0,683100000.0,669600000.0,613100000.0
longTermDebt,3200400000.0,3707500000.0,3669900000.0,3236500000.0
inventory,725700000.0,596700000.0,570300000.0,544900000.0
accountsPayable,959900000.0,754200000.0,738500000.0,765000000.0
shortTermInvestments,,,13200000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,716200000,626200000,370300000,457800000
minorityInterest,,,,
netIncome,506800000,502900000,263000000,193100000
sellingGeneralAdministrative,768000000,772500000,850000000,778400000
grossProfit,1680900000,1609300000,1564800000,1502100000
ebit,874100000,799300000,685900000,708000000
operatingIncome,874100000,799300000,685900000,708000000
otherOperatingExpenses,,,,
interestExpense,-174700000,-184600000,-196000000,-193000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,225000000,142100000,76600000,307500000
totalRevenue,5533800000,4903200000,4791100000,4732700000
totalOperatingExpenses,4659700000,4103900000,4105200000,4024700000
costOfRevenue,3852900000,3293900000,3226300000,3230600000
totalOtherIncomeExpenseNet,-157900000,-173100000,-315600000,-250200000
discontinuedOperations,15600000,18800000,-30700000,42800000
netIncomeFromContinuingOps,491200000,484100000,293700000,150300000
netIncomeApplicableToCommonShares,506800000,502700000,262500000,192200000
investments,-18000000,5700000,-12500000,-7500000
changeToLiabilities,206100000,800000,-37000000,42600000
totalCashflowsFromInvestingActivities,-125700000,-159800000,-665600000,-266700000
netBorrowings,-25300000,-116200000,333100000,222400000
totalCashFromFinancingActivities,-575800000,-261700000,139900000,-478300000
changeToOperatingActivities,-43600000,-44500000,-7100000,88500000
changeInCash,12300000,286300000,-9300000,-322300000
repurchaseOfStock,-417900000,-44600000,-78100000,-590500000
effectOfExchangeRate,4100000,-29200000,5300000,-5300000
totalCashFromOperatingActivities,709700000,737000000,511100000,428000000
depreciation,186400000,174200000,150800000,131200000
otherCashflowsFromInvestingActivities,16100000,2000000,-8200000,-13700000
dividendsPaid,-115600000,-100400000,-99100000,-104100000
changeToInventory,-165700000,-25200000,12400000,-61200000
changeToAccountReceivables,-110900000,27400000,38100000,-900000
otherCashflowsFromFinancingActivities,-17000000,-500000,-16000000,-6100000
changeToNetincome,84900000,132700000,70000000,51100000
capitalExpenditures,-213100000,-181100000,-189700000,-168600000
