,2021,2020,2019,2018
intangibleAssets,4001500000.0,4471200000.0,4734500000.0,5201600000.0
totalLiab,18229500000.0,16790800000.0,16372900000.0,15403600000.0
totalStockholderEquity,2437200000.0,3610800000.0,4123300000.0,3730700000.0
otherCurrentLiab,563000000.0,681700000.0,230600000.0,325200000.0
totalAssets,20666700000.0,20401600000.0,20496200000.0,19134300000.0
commonStock,90800000.0,89900000.0,119400000.0,118400000.0
otherCurrentAssets,547500000.0,430600000.0,491400000.0,354900000.0
retainedEarnings,2121700000.0,844300000.0,7366900000.0,6246500000.0
otherLiab,2448400000.0,2495400000.0,2429600000.0,2397800000.0
goodWill,7134600000.0,7049100000.0,7004800000.0,6956700000.0
treasuryStock,224700000.0,2676600000.0,-3363000000.0,-2634200000.0
otherAssets,433200000.0,496100000.0,428200000.0,673500000.0
cash,165700000.0,226600000.0,161800000.0,155500000.0
totalCurrentLiabilities,5719500000.0,4594400000.0,4521900000.0,4297700000.0
shortLongTermDebt,260600000.0,25100000.0,429800000.0,307200000.0
otherStockholderEquity,3094600000.0,2773100000.0,2473500000.0,2266500000.0
propertyPlantEquipment,3687900000.0,3595600000.0,3520800000.0,1776800000.0
totalCurrentAssets,5053700000.0,4591400000.0,4631700000.0,4344500000.0
longTermInvestments,355800000.0,198200000.0,176200000.0,181200000.0
netTangibleAssets,-8698900000.0,-7909500000.0,-7616000000.0,-8427600000.0
netReceivables,2413300000.0,2130100000.0,2088900000.0,2018800000.0
longTermDebt,8590900000.0,8266900000.0,8050700000.0,8708100000.0
inventory,1927200000.0,1804100000.0,1889600000.0,1815300000.0
accountsPayable,2403000000.0,2117800000.0,1876300000.0,1799400000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2248600000.0,2519200000.0,1981800000.0,1359700000.0
minorityInterest,,,,
netIncome,1864400000.0,2030400000.0,1541300000.0,1108700000.0
sellingGeneralAdministrative,5576900000.0,5482800000.0,5315300000.0,5054700000.0
grossProfit,8542700000.0,8682600000.0,8036100000.0,7418600000.0
ebit,2660300000.0,2849300000.0,2385000000.0,1869500000.0
operatingIncome,2660300000.0,2849300000.0,2385000000.0,1869500000.0
otherOperatingExpenses,-4000000.0,37100000.0,23000000.0,176300000.0
interestExpense,-334700000.0,-340400000.0,-349300000.0,-366700000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,384200000.0,488800000.0,440500000.0,251000000.0
totalRevenue,19944600000.0,18361700000.0,17900800000.0,17534500000.0
totalOperatingExpenses,17284300000.0,15512400000.0,15515800000.0,15665000000.0
costOfRevenue,11401900000.0,9679100000.0,9864700000.0,10115900000.0
totalOtherIncomeExpenseNet,-411700000.0,-330100000.0,-403200000.0,-509800000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1864400000.0,2030400000.0,1541300000.0,1108700000.0
netIncomeApplicableToCommonShares,1864400000.0,2030400000.0,1541300000.0,1108700000.0
changeToLiabilities,346100000.0,227200000.0,36200000.0,113800000.0
totalCashflowsFromInvestingActivities,-476400000.0,-322400000.0,-462600000.0,-251600000.0
netBorrowings,1324300000.0,-420300000.0,-679400000.0,-933400000.0
totalCashFromFinancingActivities,-1834000000.0,-3020100000.0,-1846400000.0,-1746700000.0
changeToOperatingActivities,-530300000.0,-140800000.0,-301900000.0,94200000.0
issuanceOfStock,204500000.0,365100000.0,154600000.0,90700000.0
changeInCash,-60900000.0,64800000.0,6300000.0,-48700000.0
repurchaseOfStock,-2752300000.0,-2446300000.0,-778800000.0,-613300000.0
effectOfExchangeRate,4900000.0,-1300000.0,-6000000.0,5900000.0
totalCashFromOperatingActivities,2244600000.0,3408600000.0,2321300000.0,1943700000.0
depreciation,572600000.0,581400000.0,574900000.0,596300000.0
otherCashflowsFromInvestingActivities,-30800000.0,-79300000.0,-63300000.0,-63300000.0
dividendsPaid,-587100000.0,-488000000.0,-420800000.0,-322900000.0
changeToInventory,-228100000.0,84400000.0,-75500000.0,-119500000.0
changeToAccountReceivables,-287800000.0,10300000.0,-73200000.0,18400000.0
otherCashflowsFromFinancingActivities,-23400000.0,-30600000.0,-122000000.0,32200000.0
changeToNetincome,572500000.0,468700000.0,653000000.0,96900000.0
capitalExpenditures,-372000000.0,-303800000.0,-328900000.0,-251000000.0
investments,,,,-39000000.0
annualDilutedAverageShares,267100000.0,275827869.0,280340526.0,284964210.0
