,2022,2021,2020,2019
intangibleAssets,5652200000.0,6041200000.0,6429000000.0,6718800000.0
capitalSurplus,5457900000.0,5527600000.0,5794100000.0,5755800000.0
totalLiab,7914900000.0,8159400000.0,8779500000.0,8740800000.0
totalStockholderEquity,8140100000.0,8124800000.0,8190900000.0,7970500000.0
otherCurrentLiab,252400000.0,215100000.0,251100000.0,249200000.0
totalAssets,16055000000.0,16284200000.0,16970400000.0,16711300000.0
commonStock,26600000.0,27100000.0,29000000.0,28900000.0
otherCurrentAssets,226200000.0,113800000.0,134900000.0,109800000.0
retainedEarnings,2893000000.0,2847500000.0,2746800000.0,2367600000.0
otherLiab,1572800000.0,1659800000.0,1695600000.0,1713000000.0
goodWill,6015800000.0,6023600000.0,6304500000.0,6310900000.0
treasuryStock,-237400000.0,-277400000.0,-379000000.0,-181800000.0
otherAssets,112100000.0,103200000.0,107800000.0,103100000.0
cash,169900000.0,334300000.0,391100000.0,101300000.0
totalCurrentLiabilities,1952800000.0,2867500000.0,1587100000.0,2341500000.0
otherStockholderEquity,-237400000.0,-277400000.0,-379000000.0,-181800000.0
propertyPlantEquipment,2238200000.0,2143500000.0,2117800000.0,1912400000.0
totalCurrentAssets,2010100000.0,1941700000.0,1972700000.0,1625200000.0
longTermInvestments,26600000.0,31000000.0,38600000.0,40900000.0
netTangibleAssets,-3527900000.0,-3940000000.0,-4542600000.0,-5059200000.0
netReceivables,524700000.0,533700000.0,551400000.0,503800000.0
longTermDebt,4310600000.0,3516800000.0,5373300000.0,4686300000.0
inventory,1089300000.0,959900000.0,895300000.0,910300000.0
accountsPayable,1193300000.0,1034100000.0,782000000.0,591000000.0
shortLongTermDebt,,1152900000.0,,847600000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,843800000.0,1171900000.0,1026700000.0,701600000.0
minorityInterest,,,,
netIncome,631700000.0,876300000.0,779500000.0,514400000.0
sellingGeneralAdministrative,1375300000.0,1539800000.0,1481800000.0,1523000000.0
grossProfit,2721200000.0,3142100000.0,3002000000.0,2915700000.0
ebit,1178100000.0,1372700000.0,1284500000.0,1155700000.0
operatingIncome,1178100000.0,1372700000.0,1284500000.0,1155700000.0
otherOperatingExpenses,-55800000.0,-3400000.0,-600000.0,-3300000.0
interestExpense,-160900000.0,-177100000.0,-189200000.0,-207900000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,212100000.0,295600000.0,247200000.0,187200000.0
totalRevenue,7998900000.0,8002700000.0,7801000000.0,7838000000.0
totalOperatingExpenses,6820800000.0,6630000000.0,6516500000.0,6682300000.0
costOfRevenue,5277700000.0,4860600000.0,4799000000.0,4922300000.0
totalOtherIncomeExpenseNet,-334300000.0,-200800000.0,-257800000.0,-454100000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,631700000.0,876300000.0,779500000.0,514400000.0
netIncomeApplicableToCommonShares,629900000.0,872600000.0,775100000.0,514400000.0
changeToLiabilities,149500000.0,260900000.0,181600000.0,43700000.0
totalCashflowsFromInvestingActivities,-355500000.0,311100000.0,-271500000.0,-1924200000.0
netBorrowings,-261800000.0,-866400000.0,-287600000.0,1082000000.0
totalCashFromFinancingActivities,-944500000.0,-1943900000.0,-688700000.0,699000000.0
changeToOperatingActivities,-102700000.0,46700000.0,14100000.0,55200000.0
issuanceOfStock,16300000.0,4500000.0,7100000.0,7100000.0
changeInCash,-164400000.0,-56800000.0,289800000.0,-91300000.0
repurchaseOfStock,-270400000.0,-678400000.0,-4200000.0,-5400000.0
effectOfExchangeRate,-700000.0,11000000.0,-4800000.0,-7300000.0
totalCashFromOperatingActivities,1136300000.0,1565000000.0,1254800000.0,1141200000.0
depreciation,459100000.0,452500000.0,446500000.0,446300000.0
otherCashflowsFromInvestingActivities,-68000000.0,53800000.0,-2200000.0,-30900000.0
dividendsPaid,-418100000.0,-403200000.0,-396800000.0,-377900000.0
changeToInventory,-178700000.0,-110400000.0,12600000.0,-5300000.0
changeToAccountReceivables,7500000.0,22000000.0,-49100000.0,-53000000.0
otherCashflowsFromFinancingActivities,-10500000.0,-400000.0,-7200000.0,300000.0
changeToNetincome,157100000.0,34600000.0,-136900000.0,88100000.0
capitalExpenditures,-417500000.0,-306700000.0,-269300000.0,-359800000.0
annualDilutedAverageShares,108400000.0,112400000.0,114000000.0,113700000.0
