,2021,2020,2019,2018
intangibleAssets,3365000000.0,3772000000.0,11381000000.0,13529000000.0
totalLiab,26225000000.0,29945000000.0,32136000000.0,33921000000.0
totalStockholderEquity,15004000000.0,12071000000.0,23760000000.0,36162000000.0
minorityInterest,282000000.0,418000000.0,416000000.0,424000000.0
otherCurrentLiab,4682000000.0,4980000000.0,6139000000.0,5526000000.0
totalAssets,41511000000.0,42434000000.0,56312000000.0,70507000000.0
commonStock,12608000000.0,12970000000.0,13078000000.0,13132000000.0
otherCurrentAssets,928000000.0,1312000000.0,1486000000.0,1063000000.0
retainedEarnings,8199000000.0,7018000000.0,18751000000.0,31658000000.0
otherLiab,1952000000.0,2618000000.0,3468000000.0,4591000000.0
goodWill,12990000000.0,12980000000.0,16042000000.0,24931000000.0
treasuryStock,-5803000000.0,-7917000000.0,-8069000000.0,-8628000000.0
otherAssets,1690000000.0,1453000000.0,1224000000.0,1299000000.0
cash,1757000000.0,844000000.0,1137000000.0,1433000000.0
totalCurrentLiabilities,10359000000.0,10491000000.0,13098000000.0,13486000000.0
shortLongTermDebt,909000000.0,850000000.0,,
otherStockholderEquity,-3570000000.0,-4884000000.0,-4438000000.0,-4622000000.0
propertyPlantEquipment,6982000000.0,7536000000.0,10570000000.0,13479000000.0
totalCurrentAssets,12654000000.0,12919000000.0,15530000000.0,15731000000.0
longTermInvestments,3830000000.0,3774000000.0,1565000000.0,1538000000.0
netTangibleAssets,-1351000000.0,-4681000000.0,-3663000000.0,-2298000000.0
shortTermInvestments,1382000000.0,2162000000.0,1030000000.0,1344000000.0
netReceivables,5315000000.0,5247000000.0,7747000000.0,7881000000.0
longTermDebt,13286000000.0,16036000000.0,14770000000.0,14644000000.0
inventory,3272000000.0,3354000000.0,4130000000.0,4010000000.0
accountsPayable,3205000000.0,2937000000.0,4790000000.0,4709000000.0
researchDevelopment,554000000.0,580000000.0,717000000.0,702000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2374000000.0,-11298000000.0,-10418000000.0,2624000000.0
netIncome,1881000000.0,-10518000000.0,-10137000000.0,2138000000.0
sellingGeneralAdministrative,339000000.0,365000000.0,511000000.0,444000000.0
grossProfit,3658000000.0,2601000000.0,4197000000.0,4337000000.0
ebit,2765000000.0,1656000000.0,2969000000.0,3191000000.0
operatingIncome,2765000000.0,1656000000.0,2969000000.0,3191000000.0
otherOperatingExpenses,,,,
interestExpense,-539000000.0,-563000000.0,-609000000.0,-575000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,446000000.0,-812000000.0,-311000000.0,447000000.0
totalRevenue,22929000000.0,23601000000.0,32917000000.0,32815000000.0
totalOperatingExpenses,20164000000.0,21945000000.0,29948000000.0,29624000000.0
costOfRevenue,19271000000.0,21000000000.0,28720000000.0,28478000000.0
totalOtherIncomeExpenseNet,-391000000.0,-12954000000.0,-13387000000.0,-567000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1928000000.0,-10486000000.0,-10107000000.0,2177000000.0
netIncomeApplicableToCommonShares,1881000000.0,-10518000000.0,-10137000000.0,2138000000.0
investments,896000000.0,-1141000000.0,555000000.0,1943000000.0
changeToLiabilities,160000000.0,-3330000000.0,-161000000.0,-824000000.0
totalCashflowsFromInvestingActivities,-919000000.0,-2353000000.0,-2011000000.0,-1040000000.0
netBorrowings,-2147000000.0,830000000.0,-839000000.0,-2048000000.0
totalCashFromFinancingActivities,-2824000000.0,-873000000.0,-3718000000.0,-5020000000.0
changeToOperatingActivities,320000000.0,328000000.0,-25000000.0,377000000.0
issuanceOfStock,137000000.0,146000000.0,219000000.0,261000000.0
changeInCash,913000000.0,-293000000.0,-296000000.0,-366000000.0
effectOfExchangeRate,5000000.0,-11000000.0,2000000.0,-19000000.0
totalCashFromOperatingActivities,4651000000.0,2944000000.0,5431000000.0,5713000000.0
depreciation,1704000000.0,1996000000.0,2594000000.0,3556000000.0
otherCashflowsFromInvestingActivities,-58000000.0,-93000000.0,-155000000.0,-29000000.0
dividendsPaid,-699000000.0,-1734000000.0,-2769000000.0,-2770000000.0
changeToInventory,75000000.0,86000000.0,-314000000.0,-10000000.0
changeToAccountReceivables,-36000000.0,2345000000.0,142000000.0,430000000.0
otherCashflowsFromFinancingActivities,-115000000.0,-89000000.0,-51000000.0,-63000000.0
changeToNetincome,590000000.0,12064000000.0,13062000000.0,149000000.0
capitalExpenditures,-1615000000.0,-1419000000.0,-2505000000.0,-3141000000.0
repurchaseOfStock,,-26000000.0,-278000000.0,-400000000.0
annualDilutedAverageShares,1427000000.0,1390000000.0,1385000000.0,1393000000.0
