,2021,2020,2019,2018
intangibleAssets,445000000.0,487000000.0,536000000.0,613000000.0
capitalSurplus,11950000000.0,11834000000.0,11734000000.0,11094000000.0
totalLiab,94967000000.0,90410000000.0,86650000000.0,87584000000.0
totalStockholderEquity,27874000000.0,27972000000.0,27505000000.0,24723000000.0
minorityInterest,4693000000.0,4553000000.0,4545000000.0,4607000000.0
deferredLongTermLiab,13779000000.0,14101000000.0,13068000000.0,10888000000.0
otherCurrentLiab,2532000000.0,2578000000.0,2458000000.0,2471000000.0
totalAssets,127534000000.0,122935000000.0,118700000000.0,116914000000.0
commonStock,5279000000.0,5268000000.0,5257000000.0,5164000000.0
otherCurrentAssets,1520000000.0,1453000000.0,1731000000.0,1416000000.0
retainedEarnings,10929000000.0,11311000000.0,10877000000.0,8706000000.0
otherLiab,32394000000.0,31647000000.0,30690000000.0,32562000000.0
goodWill,5280000000.0,5280000000.0,5280000000.0,5315000000.0
treasuryStock,-284000000.0,-441000000.0,-363000000.0,-241000000.0
otherAssets,18905000000.0,18153000000.0,17344000000.0,19632000000.0
cash,1798000000.0,1065000000.0,1975000000.0,1396000000.0
totalCurrentLiabilities,10921000000.0,12079000000.0,12546000000.0,14286000000.0
shortLongTermDebt,2141000000.0,3490000000.0,2991000000.0,3217000000.0
otherStockholderEquity,-237000000.0,-395000000.0,-321000000.0,-203000000.0
propertyPlantEquipment,92638000000.0,89016000000.0,84420000000.0,80191000000.0
totalCurrentAssets,8965000000.0,8617000000.0,9817000000.0,9583000000.0
longTermInvestments,1301000000.0,1382000000.0,1303000000.0,1580000000.0
netTangibleAssets,22149000000.0,22205000000.0,21689000000.0,18795000000.0
netReceivables,2962000000.0,3335000000.0,3409000000.0,3945000000.0
longTermDebt,49950000000.0,44859000000.0,41594000000.0,40539000000.0
inventory,2355000000.0,2488000000.0,2388000000.0,2394000000.0
accountsPayable,2169000000.0,2806000000.0,2557000000.0,3436000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2561000000.0,3481000000.0,6527000000.0,2733000000.0
netIncome,2393000000.0,3119000000.0,4739000000.0,2226000000.0
sellingGeneralAdministrative,-569000000.0,-415000000.0,-267000000.0,-235000000.0
grossProfit,10061000000.0,9897000000.0,9603000000.0,9616000000.0
ebit,4083000000.0,5235000000.0,5602000000.0,4345000000.0
operatingIncome,4083000000.0,5235000000.0,5602000000.0,4345000000.0
otherOperatingExpenses,2982000000.0,1559000000.0,1230000000.0,2375000000.0
interestExpense,-1852000000.0,-1836000000.0,-1751000000.0,-1858000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,267000000.0,393000000.0,1798000000.0,449000000.0
totalRevenue,23113000000.0,20375000000.0,21419000000.0,23495000000.0
totalOperatingExpenses,19030000000.0,15140000000.0,15817000000.0,19150000000.0
costOfRevenue,13052000000.0,10478000000.0,11816000000.0,13879000000.0
totalOtherIncomeExpenseNet,-1522000000.0,-1754000000.0,925000000.0,-1612000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2294000000.0,3088000000.0,4729000000.0,2284000000.0
netIncomeApplicableToCommonShares,2393000000.0,3119000000.0,4739000000.0,2226000000.0
changeToLiabilities,-8000000.0,-27000000.0,-693000000.0,291000000.0
totalCashflowsFromInvestingActivities,-7353000000.0,-7030000000.0,-3392000000.0,-5760000000.0
netBorrowings,4765000000.0,2268000000.0,13000000.0,-2579000000.0
totalCashFromFinancingActivities,1945000000.0,-576000000.0,-1930000000.0,-1813000000.0
changeToOperatingActivities,-510000000.0,-225000000.0,127000000.0,197000000.0
issuanceOfStock,73000000.0,74000000.0,844000000.0,1090000000.0
changeInCash,761000000.0,-910000000.0,459000000.0,-628000000.0
totalCashFromOperatingActivities,6169000000.0,6696000000.0,5781000000.0,6945000000.0
depreciation,3973000000.0,3905000000.0,3331000000.0,3549000000.0
otherCashflowsFromInvestingActivities,-497000000.0,-346000000.0,-675000000.0,-350000000.0
dividendsPaid,-2777000000.0,-2685000000.0,-2570000000.0,-2425000000.0
changeToInventory,-130000000.0,-157000000.0,-17000000.0,-53000000.0
changeToAccountReceivables,-81000000.0,-222000000.0,630000000.0,-426000000.0
otherCashflowsFromFinancingActivities,-116000000.0,-233000000.0,-217000000.0,2101000000.0
changeToNetincome,586000000.0,61000000.0,-2453000000.0,894000000.0
capitalExpenditures,-7240000000.0,-7441000000.0,-7555000000.0,-8001000000.0
investments,,,,-114000000.0
annualDilutedAverageShares,1061000000.0,1058000000.0,1053000000.0,1033788000.0
