,2021,2020,2019,2018
intangibleAssets,1328000000.0,1411000000.0,1507000000.0,1624000000.0
capitalSurplus,1031000000.0,946000000.0,903000000.0,833000000.0
totalLiab,9490000000.0,9185000000.0,8544000000.0,7137000000.0
totalStockholderEquity,2032000000.0,509000000.0,479000000.0,628000000.0
minorityInterest,3504000000.0,2843000000.0,2325000000.0,1676000000.0
otherCurrentLiab,2907000000.0,2703000000.0,2345000000.0,2065000000.0
totalAssets,15026000000.0,12537000000.0,11348000000.0,9441000000.0
commonStock,294000000.0,294000000.0,294000000.0,294000000.0
otherCurrentAssets,341000000.0,39000000.0,21000000.0,49000000.0
retainedEarnings,15017000000.0,13367000000.0,12205000000.0,11284000000.0
otherLiab,799000000.0,944000000.0,883000000.0,845000000.0
goodWill,3506000000.0,3735000000.0,3575000000.0,3535000000.0
treasuryStock,-14310000000.0,-14098000000.0,-12923000000.0,-11783000000.0
otherAssets,715000000.0,625000000.0,558000000.0,425000000.0
cash,6497000000.0,4108000000.0,2866000000.0,1917000000.0
totalCurrentLiabilities,3815000000.0,3587000000.0,3093000000.0,2630000000.0
deferredLongTermAssetCharges,56000000.0,67000000.0,52000000.0,52000000.0
otherStockholderEquity,-841000000.0,-637000000.0,-624000000.0,-742000000.0
propertyPlantEquipment,667000000.0,778000000.0,996000000.0,270000000.0
totalCurrentAssets,8810000000.0,5988000000.0,4712000000.0,3587000000.0
netTangibleAssets,-2802000000.0,-4637000000.0,-4603000000.0,-4531000000.0
shortTermInvestments,11000000.0,9000000.0,28000000.0,18000000.0
netReceivables,1650000000.0,1593000000.0,1577000000.0,1449000000.0
longTermDebt,4384000000.0,4110000000.0,3948000000.0,3662000000.0
accountsPayable,205000000.0,233000000.0,190000000.0,211000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4164000000.0,3228000000.0,2930000000.0,2681000000.0
netIncome,3024000000.0,2339000000.0,2123000000.0,1958000000.0
sellingGeneralAdministrative,1392000000.0,1272000000.0,1247000000.0,1253000000.0
grossProfit,6102000000.0,5348000000.0,4723000000.0,4420000000.0
ebit,4532000000.0,3870000000.0,3272000000.0,2961000000.0
operatingIncome,4532000000.0,3870000000.0,3272000000.0,2961000000.0
otherOperatingExpenses,,,,
interestExpense,-119000000.0,-141000000.0,-141000000.0,-134000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,901000000.0,694000000.0,627000000.0,560000000.0
totalRevenue,8297000000.0,7442000000.0,6699000000.0,6258000000.0
totalOperatingExpenses,3765000000.0,3572000000.0,3427000000.0,3297000000.0
costOfRevenue,2195000000.0,2094000000.0,1976000000.0,1838000000.0
totalOtherIncomeExpenseNet,-368000000.0,-642000000.0,-342000000.0,-280000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,3263000000.0,2534000000.0,2303000000.0,2121000000.0
netIncomeApplicableToCommonShares,3024000000.0,2339000000.0,2123000000.0,1958000000.0
investments,-2000000.0,19000000.0,-10000000.0,-5000000.0
changeToLiabilities,236000000.0,352000000.0,329000000.0,-36000000.0
totalCashflowsFromInvestingActivities,-120000000.0,-240000000.0,-131000000.0,-513000000.0
totalCashFromFinancingActivities,-1013000000.0,-2166000000.0,-1751000000.0,-2288000000.0
changeToOperatingActivities,-126000000.0,-121000000.0,-155000000.0,-305000000.0
issuanceOfStock,13000000.0,16000000.0,40000000.0,34000000.0
changeInCash,2383000000.0,1236000000.0,928000000.0,-821000000.0
repurchaseOfStock,-56000000.0,-1225000000.0,-1306000000.0,-1726000000.0
effectOfExchangeRate,-82000000.0,75000000.0,34000000.0,-84000000.0
totalCashFromOperatingActivities,3598000000.0,3567000000.0,2776000000.0,2064000000.0
depreciation,178000000.0,206000000.0,204000000.0,206000000.0
dividendsPaid,-743000000.0,-645000000.0,-560000000.0,-503000000.0
changeToAccountReceivables,-144000000.0,18000000.0,-135000000.0,-164000000.0
otherCashflowsFromFinancingActivities,-227000000.0,-194000000.0,-143000000.0,-179000000.0
changeToNetincome,466000000.0,775000000.0,451000000.0,412000000.0
capitalExpenditures,-35000000.0,-76000000.0,-115000000.0,-113000000.0
netBorrowings,,-118000000.0,218000000.0,86000000.0
annualDilutedAverageShares,241800000.0,242100000.0,246900000.0,253200000.0
