,2021,2020,2019,2018
intangibleAssets,370000000.0,202000000.0,213000000.0,224000000.0
totalLiab,44626000000.0,41689000000.0,43860000000.0,41390000000.0
totalStockholderEquity,25092000000.0,20226000000.0,17671000000.0,14880000000.0
minorityInterest,1438000000.0,1561000000.0,1876000000.0,2110000000.0
deferredLongTermLiab,2011000000.0,1822000000.0,1930000000.0,1589000000.0
otherCurrentLiab,4252000000.0,2540000000.0,2346000000.0,2252000000.0
totalAssets,72045000000.0,66623000000.0,65665000000.0,60638000000.0
commonStock,11862000000.0,7053000000.0,7480000000.0,5540000000.0
otherCurrentAssets,593000000.0,914000000.0,933000000.0,1651000000.0
retainedEarnings,13548000000.0,13673000000.0,11130000000.0,10104000000.0
otherLiab,12634000000.0,12270000000.0,13146000000.0,12780000000.0
goodWill,1602000000.0,1602000000.0,1602000000.0,1602000000.0
treasuryStock,-318000000.0,-500000000.0,-939000000.0,-764000000.0
otherAssets,6732000000.0,5933000000.0,9843000000.0,8756000000.0
cash,559000000.0,960000000.0,108000000.0,102000000.0
totalCurrentLiabilities,10035000000.0,6839000000.0,9150000000.0,7523000000.0
deferredLongTermAssetCharges,151000000.0,136000000.0,155000000.0,141000000.0
shortLongTermDebt,70000000.0,1521000000.0,1511000000.0,1647000000.0
otherStockholderEquity,-318000000.0,-500000000.0,-939000000.0,-764000000.0
propertyPlantEquipment,44488000000.0,40546000000.0,37043000000.0,34439000000.0
totalCurrentAssets,4375000000.0,4511000000.0,3339000000.0,3645000000.0
longTermInvestments,14478000000.0,13829000000.0,13625000000.0,11972000000.0
netTangibleAssets,23120000000.0,18422000000.0,15856000000.0,13054000000.0
netReceivables,2574000000.0,2114000000.0,1860000000.0,1632000000.0
longTermDebt,20195000000.0,20879000000.0,19856000000.0,19674000000.0
inventory,389000000.0,308000000.0,277000000.0,258000000.0
accountsPayable,1671000000.0,1359000000.0,1234000000.0,1160000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1561000000.0,2503000000.0,2313000000.0,888000000.0
netIncome,1317000000.0,3932000000.0,2197000000.0,1049000000.0
sellingGeneralAdministrative,67000000.0,102000000.0,132000000.0,157000000.0
grossProfit,4705000000.0,4499000000.0,4196000000.0,3679000000.0
ebit,2783000000.0,2731000000.0,2495000000.0,2031000000.0
operatingIncome,2783000000.0,2731000000.0,2495000000.0,2031000000.0
otherOperatingExpenses,,,,
interestExpense,-1199000000.0,-1082000000.0,-1078000000.0,-887000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,99000000.0,249000000.0,315000000.0,-49000000.0
totalRevenue,12857000000.0,11370000000.0,10829000000.0,10102000000.0
totalOperatingExpenses,10074000000.0,8639000000.0,8334000000.0,8071000000.0
costOfRevenue,8152000000.0,6871000000.0,6633000000.0,6423000000.0
totalOtherIncomeExpenseNet,-1222000000.0,-228000000.0,-182000000.0,-1143000000.0
discontinuedOperations,,1850000000.0,363000000.0,188000000.0
netIncomeFromContinuingOps,1462000000.0,2254000000.0,1998000000.0,937000000.0
netIncomeApplicableToCommonShares,1254000000.0,3764000000.0,2055000000.0,924000000.0
investments,-603000000.0,-737000000.0,-1810000000.0,-10255000000.0
changeToLiabilities,263000000.0,74000000.0,17000000.0,96000000.0
totalCashflowsFromInvestingActivities,-5508000000.0,553000000.0,-4593000000.0,-12470000000.0
netBorrowings,237000000.0,-1508000000.0,1440000000.0,5501000000.0
totalCashFromFinancingActivities,1260000000.0,-2373000000.0,1475000000.0,8850000000.0
changeToOperatingActivities,1985000000.0,728000000.0,-670000000.0,263000000.0
issuanceOfStock,5000000.0,11000000.0,1830000000.0,2272000000.0
changeInCash,-404000000.0,768000000.0,-29000000.0,-118000000.0
repurchaseOfStock,-339000000.0,-566000000.0,-26000000.0,-21000000.0
effectOfExchangeRate,2000000.0,-3000000.0,1000000.0,-14000000.0
totalCashFromOperatingActivities,3842000000.0,2591000000.0,3088000000.0,3516000000.0
depreciation,1855000000.0,1657000000.0,1562000000.0,1486000000.0
otherCashflowsFromInvestingActivities,72000000.0,5947000000.0,26000000.0,-246000000.0
dividendsPaid,-1430000000.0,-1331000000.0,-1135000000.0,-966000000.0
changeToInventory,-87000000.0,-35000000.0,-22000000.0,32000000.0
changeToAccountReceivables,-599000000.0,-328000000.0,-97000000.0,-145000000.0
otherCashflowsFromFinancingActivities,2787000000.0,130000000.0,-634000000.0,-194000000.0
changeToNetincome,-854000000.0,-3352000000.0,260000000.0,642000000.0
capitalExpenditures,-5015000000.0,-4676000000.0,-3708000000.0,-3549000000.0
annualDilutedAverageShares,313036000.0,292252000.0,282033000.0,269852000.0
