,2022,2021,2020,2019
intangibleAssets,3328537000.0,898406000.0,565473000.0,604614000.0
totalLiab,4878957000.0,2683003000.0,2022657000.0,1887273000.0
totalStockholderEquity,6532356000.0,3880990000.0,3405362000.0,3177810000.0
minorityInterest,12281000.0,10478000.0,12848000.0,7988000.0
otherCurrentLiab,241357000.0,165955000.0,135522000.0,139304000.0
totalAssets,11423594000.0,6574471000.0,5440867000.0,5073071000.0
commonStock,4742920000.0,2002825000.0,1982164000.0,1998564000.0
otherCurrentAssets,2780000.0,57000.0,124000.0,552000.0
retainedEarnings,1999244000.0,1939408000.0,1658661000.0,1339024000.0
otherLiab,856198000.0,324870000.0,254415000.0,238850000.0
goodWill,4404343000.0,3026049000.0,2356085000.0,2322928000.0
treasuryStock,-209808000.0,-61243000.0,-235463000.0,-159778000.0
otherAssets,70661000.0,52720000.0,51581000.0,60212000.0
cash,348320000.0,220531000.0,319581000.0,220633000.0
totalCurrentLiabilities,922222000.0,577920000.0,503607000.0,465196000.0
shortLongTermDebt,142875000.0,,,
otherStockholderEquity,-209808000.0,-61243000.0,-235463000.0,-159778000.0
propertyPlantEquipment,1741056000.0,1385542000.0,1243692000.0,1031582000.0
totalCurrentAssets,1878997000.0,1211754000.0,1224036000.0,1053735000.0
netTangibleAssets,-1200524000.0,-43465000.0,483804000.0,250268000.0
netReceivables,799041000.0,609406000.0,586481000.0,564830000.0
longTermDebt,2945481000.0,1650540000.0,1150521000.0,1183227000.0
inventory,574999000.0,315067000.0,263544000.0,208243000.0
accountsPayable,225737000.0,156950000.0,149341000.0,152913000.0
researchDevelopment,87944000,66326000,65546000,63038000
effectOfAccountingCharges,,,,
incomeBeforeTax,314503000,517533000,498754000,369029000
netIncome,243888000,397400000,407659000,303721000
sellingGeneralAdministrative,1296964000,695686000,708506000,644787000
grossProfit,2016362000,1343100000,1319996000,1174986000
ebit,631454000,581088000,545944000,467161000
operatingIncome,631454000,581088000,545944000,467161000
otherOperatingExpenses,,,,
interestExpense,-89593000,-37180000,-40279000,-45015000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,71633000,120663000,90895000,64283000
totalRevenue,4585064000,3107519000,3030895000,2782170000
totalOperatingExpenses,3953610000,2526431000,2484951000,2315009000
costOfRevenue,2568702000,1764419000,1710899000,1607184000
totalOtherIncomeExpenseNet,-316951000,-63555000,-47190000,-98132000
discontinuedOperations,,,,
netIncomeFromContinuingOps,242870000,396870000,407859000,304746000
netIncomeApplicableToCommonShares,243888000,397400000,407659000,303721000
changeToLiabilities,14887000.0,-7213000.0,-2779000.0,21244000.0
totalCashflowsFromInvestingActivities,-666559000.0,-1154159000.0,-319735000.0,-213224000.0
netBorrowings,372181000.0,484539000.0,-26500000.0,-112087000.0
totalCashFromFinancingActivities,115830000.0,345620000.0,-163146000.0,-294792000.0
changeToOperatingActivities,-9272000.0,10374000.0,9975000.0,51756000.0
issuanceOfStock,10071000.0,26726000.0,34731000.0,13362000.0
changeInCash,127789000.0,-99050000.0,98948000.0,19099000.0
repurchaseOfStock,-55777000.0,-14646000.0,-51241000.0,-81494000.0
effectOfExchangeRate,-6293000.0,19849000.0,-8730000.0,-12390000.0
totalCashFromOperatingActivities,684811000.0,689640000.0,590559000.0,539505000.0
depreciation,553104000.0,219237000.0,197235000.0,225921000.0
dividendsPaid,-163169000.0,-133837000.0,-123034000.0,-112503000.0
changeToInventory,-102922000.0,3769000.0,-39140000.0,-14176000.0
changeToAccountReceivables,-51969000.0,12076000.0,-17866000.0,-48486000.0
otherCashflowsFromFinancingActivities,-47476000.0,-17162000.0,2898000.0,-2070000.0
changeToNetincome,37095000.0,53997000.0,35475000.0,-475000.0
capitalExpenditures,-287563000.0,-239262000.0,-214516000.0,-189715000.0
investments,,-4400000.0,-4400000.0,-4955000.0
otherCashflowsFromInvestingActivities,,-2392000.0,-2392000.0,-13286000.0
