,2021,2020,2019,2018
intangibleAssets,1816000000.0,1827000000.0,2030000000.0,2369000000.0
totalLiab,287261000000.0,288506000000.0,221179000000.0,219859000000.0
totalStockholderEquity,25387000000.0,23729000000.0,21469000000.0,21047000000.0
totalAssets,314624000000.0,314706000000.0,245610000000.0,244596000000.0
commonStock,504000000.0,504000000.0,504000000.0,504000000.0
otherCurrentAssets,2348000000.0,3676000000.0,1729000000.0,5146000000.0
retainedEarnings,25238000000.0,23442000000.0,21918000000.0,20553000000.0
otherLiab,45000000.0,73000000.0,98000000.0,123000000.0
goodWill,7621000000.0,7683000000.0,7556000000.0,7446000000.0
treasuryStock,-355000000.0,-217000000.0,-953000000.0,-10000000.0
otherAssets,59253000000.0,50314000000.0,49332000000.0,49567000000.0
cash,3631000000.0,3467000000.0,3302000000.0,3212000000.0
totalCurrentLiabilities,273281000000.0,275428000000.0,210263000000.0,208643000000.0
deferredLongTermAssetCharges,254000000.0,233000000.0,216000000.0,113000000.0
otherStockholderEquity,9654000000.0,10392000000.0,9256000000.0,8705000000.0
propertyPlantEquipment,2803000000.0,2874000000.0,3140000000.0,2214000000.0
totalCurrentAssets,124140000000.0,137637000000.0,85056000000.0,93056000000.0
longTermInvestments,118991000000.0,114371000000.0,98496000000.0,89944000000.0
netTangibleAssets,15950000000.0,14219000000.0,11883000000.0,11232000000.0
shortTermInvestments,109370000000.0,120066000000.0,70452000000.0,77719000000.0
netReceivables,3313000000.0,3426000000.0,3511000000.0,437000000.0
longTermDebt,13311000000.0,12197000000.0,10682000000.0,10903000000.0
accountsPayable,255035000000.0,239798000000.0,181872000000.0,180360000000.0
otherCurrentLiab,,4000000.0,5000000.0,
shortLongTermDebt,,1505000000.0,1691000000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3171000000.0,2899000000.0,2712000000.0,3101000000.0
minorityInterest,,,,
netIncome,2693000000.0,2420000000.0,2242000000.0,2593000000.0
sellingGeneralAdministrative,6735000000.0,6433000000.0,6480000000.0,6419000000.0
grossProfit,12060000000.0,11615000000.0,11746000000.0,12116000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,3478000000.0,3316000000.0,3135000000.0,3651000000.0
otherOperatingExpenses,1847000000.0,1866000000.0,2131000000.0,2046000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,478000000.0,479000000.0,470000000.0,508000000.0
totalRevenue,12060000000.0,11615000000.0,11746000000.0,12116000000.0
totalOperatingExpenses,8582000000.0,8299000000.0,8611000000.0,8465000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-307000000.0,-417000000.0,-423000000.0,-550000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2693000000.0,2420000000.0,2242000000.0,2593000000.0
netIncomeApplicableToCommonShares,2572000000.0,2257000000.0,2009000000.0,2404000000.0
investments,3338000000.0,-64694000000.0,-2043000000.0,1093000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-2172000000.0,-65534000000.0,-2626000000.0,-4496000000.0
netBorrowings,-5797000000.0,6224000000.0,-1140000000.0,-278000000.0
totalCashFromFinancingActivities,9046000000.0,62167000000.0,-2974000000.0,-4471000000.0
changeToOperatingActivities,-10993000000.0,-875000000.0,1902000000.0,5862000000.0
issuanceOfStock,1900000000.0,1900000000.0,1900000000.0,1150000000.0
changeInCash,164000000.0,165000000.0,90000000.0,1208000000.0
repurchaseOfStock,-939000000.0,-593000000.0,-1666000000.0,-474000000.0
totalCashFromOperatingActivities,-6710000000.0,3532000000.0,5690000000.0,10175000000.0
depreciation,1104000000.0,1092000000.0,1078000000.0,825000000.0
otherCashflowsFromInvestingActivities,241000000.0,1335000000.0,720000000.0,76000000.0
dividendsPaid,-866000000.0,-889000000.0,-930000000.0,-828000000.0
otherCashflowsFromFinancingActivities,15248000000.0,57925000000.0,1512000000.0,-4536000000.0
changeToNetincome,602000000.0,669000000.0,550000000.0,636000000.0
capitalExpenditures,-811000000.0,-560000000.0,-730000000.0,-609000000.0
annualDilutedAverageShares,357962000.0,357106000.0,373666000.0,376476000.0
