,2022,2021,2020,2019
intangibleAssets,9000000.0,29000000.0,58000000.0,111000000.0
capitalSurplus,68000000.0,23000000000.0,6757000000.0,6545000000.0
totalLiab,8835000000.0,8044000000.0,7143000000.0,6723000000.0
totalStockholderEquity,109000000.0,631000000.0,1787000000.0,2162000000.0
otherCurrentLiab,179000000.0,171000000.0,238000000.0,263000000.0
totalAssets,8944000000.0,8675000000.0,8930000000.0,8885000000.0
retainedEarnings,17772000000.0,-4416000000.0,-4904000000.0,-4349000000.0
otherLiab,252000000.0,258000000.0,216000000.0,238000000.0
goodWill,1237000000.0,1237000000.0,1237000000.0,1237000000.0
treasuryStock,-17731000000.0,-17953000000.0,-66000000.0,-34000000.0
otherAssets,1159000000.0,1139000000.0,1271000000.0,1184000000.0
cash,615000000.0,1209000000.0,1722000000.0,2220000000.0
totalCurrentLiabilities,3485000000.0,2853000000.0,2722000000.0,2232000000.0
deferredLongTermAssetCharges,1132000000.0,1117000000.0,1120000000.0,1114000000.0
shortLongTermDebt,584000000.0,245000000.0,46000000.0,
otherStockholderEquity,-17731000000.0,-17953000000.0,-66000000.0,-34000000.0
propertyPlantEquipment,2337000000.0,2282000000.0,2232000000.0,1869000000.0
totalCurrentAssets,4029000000.0,3775000000.0,4114000000.0,4363000000.0
longTermInvestments,173000000.0,213000000.0,18000000.0,121000000.0
netTangibleAssets,-1137000000.0,-635000000.0,492000000.0,814000000.0
netReceivables,1776000000.0,1326000000.0,1115000000.0,989000000.0
longTermDebt,5062000000.0,4894000000.0,4156000000.0,4253000000.0
inventory,1565000000.0,1204000000.0,1142000000.0,970000000.0
accountsPayable,2058000000.0,1725000000.0,1808000000.0,1420000000.0
otherCurrentAssets,,,133000000.0,184000000.0
shortTermInvestments,,,2000000.0,
commonStock,,,,2162000000.0
researchDevelopment,941000000,903000000,973000000,991000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1679000000,1348000000,1032000000,1372000000
minorityInterest,,,,
netIncome,1649000000,1314000000,1004000000,2012000000
sellingGeneralAdministrative,559000000,502000000,473000000,453000000
grossProfit,3469000000,2917000000,2842000000,2932000000
ebit,1958000000,1500000000,1382000000,1465000000
operatingIncome,1958000000,1500000000,1382000000,1465000000
otherOperatingExpenses,,,,
interestExpense,-249000000,-220000000,-201000000,-224000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,30000000,34000000,28000000,-640000000
totalRevenue,11661000000,10681000000,10509000000,10390000000
totalOperatingExpenses,9703000000,9181000000,9127000000,8925000000
costOfRevenue,8192000000,7764000000,7667000000,7458000000
totalOtherIncomeExpenseNet,-279000000,-152000000,-350000000,-93000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1649000000,1314000000,1004000000,2012000000
netIncomeApplicableToCommonShares,1649000000,1314000000,1004000000,2012000000
investments,29000000.0,28000000.0,-51000000.0,1275000000.0
changeToLiabilities,228000000.0,-14000000.0,394000000.0,-268000000.0
totalCashflowsFromInvestingActivities,-352000000.0,-466000000.0,-635000000.0,846000000.0
netBorrowings,499000000.0,967000000.0,-143000000.0,-574000000.0
totalCashFromFinancingActivities,-1899000000.0,-1673000000.0,-1605000000.0,-2212000000.0
changeToOperatingActivities,-136000000.0,-24000000.0,17000000.0,-120000000.0
issuanceOfStock,68000000.0,108000000.0,103000000.0,69000000.0
changeInCash,-594000000.0,-513000000.0,-527000000.0,394000000.0
repurchaseOfStock,-1850000000.0,-2080000000.0,-890000000.0,-994000000.0
totalCashFromOperatingActivities,1657000000.0,1626000000.0,1714000000.0,1761000000.0
depreciation,451000000.0,397000000.0,379000000.0,541000000.0
dividendsPaid,-610000000.0,-649000000.0,-673000000.0,-713000000.0
changeToInventory,-361000000.0,-64000000.0,-166000000.0,80000000.0
changeToAccountReceivables,-374000000.0,-42000000.0,-127000000.0,204000000.0
otherCashflowsFromFinancingActivities,-6000000.0,-19000000.0,-2000000.0,-2000000.0
changeToNetincome,200000000.0,59000000.0,213000000.0,-688000000.0
capitalExpenditures,-381000000.0,-498000000.0,-585000000.0,-602000000.0
effectOfExchangeRate,,,-1000000.0,-1000000.0
otherCashflowsFromInvestingActivities,,,,29000000.0
