,2022,2021,2020,2019
intangibleAssets,2755200000,2732100000,2718900000,3198100000
capitalSurplus,1808900000,1604200000,1514600000,1410800000
totalLiab,13808000000,13175700000,14848900000,16394300000
totalStockholderEquity,11731900000,13598900000,12131800000,12551000000
minorityInterest,315900000,330200000,342500000,286200000
otherCurrentLiab,232600000,205800000,234800000,238800000
totalAssets,25855800000,27104800000,27323200000,29231500000
commonStock,2200000,2200000,2200000,2200000
otherCurrentAssets,183800000,128300000,775100000,144000000
retainedEarnings,14505400000,15117800000,13695300000,14276200000
otherLiab,1163700000,1022400000,842700000,1470700000
goodWill,7862400000,7793500000,7757100000,8088800000
treasuryStock,-4584600000,-3125300000,-3080300000,-3138200000
otherAssets,2489900000,2628700000,3337700000,2293000000
cash,199400000,460600000,81400000,93600000
totalCurrentLiabilities,2698800000,1269100000,2311800000,3163800000
deferredLongTermAssetCharges,2351500000,2492500000,2656300000,2183300000
shortLongTermDebt,599000000,24600000,724000000,1065200000
otherStockholderEquity,-412700000,-335500000,-266300000,-353900000
propertyPlantEquipment,6538500000,6299500000,5814400000,5267300000
totalCurrentAssets,3329700000,3044500000,3484100000,3684000000
longTermInvestments,2880100000,4606500000,4211000000,6700300000
netTangibleAssets,1114300000,3073300000,1655800000,1264100000
netReceivables,1119200000,1088500000,1215200000,1267900000
longTermDebt,9474600000,10402200000,11197200000,11759800000
inventory,1573200000,1291100000,1373600000,2130400000
accountsPayable,899200000,460000000,557600000,616700000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,310400000,2542900000,-945200000,4145000000
netIncome,-40400000,1998000000,-11800000,3435900000
sellingGeneralAdministrative,1701000000,1632500000,1564900000,1482100000
grossProfit,4711000000,4574300000,4285500000,4103400000
ebit,3010000000,2941800000,2720600000,2631400000
operatingIncome,3010000000,2941800000,2720600000,2631400000
otherOperatingExpenses,,,,-10100000.0
interestExpense,-356400000,-385700000,-428700000,-367100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,309400000,511100000,-966600000,685900000
totalRevenue,8820700000,8614900000,8343500000,8116000000
totalOperatingExpenses,5810700000,5673100000,5622900000,5484600000
costOfRevenue,4109700000,4040600000,4058000000,4012600000
totalOtherIncomeExpenseNet,-2699600000,-398900000,-3665800000,1513600000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1000000,2031800000,21400000,3459100000
netIncomeApplicableToCommonShares,-40400000,1998000000,-11800000,3435900000
investments,37800000,-222400000,-46700000,-3971300000
changeToLiabilities,331700000,-95700000,18200000,21400000
totalCashflowsFromInvestingActivities,-1035800000,-87900000,-531000000,-4831800000
netBorrowings,-46700000,-1765500000,-1456600000,3640300000
totalCashFromFinancingActivities,-1929500000,-2346600000,-2031400000,2593300000
changeToOperatingActivities,-142000000,-9300000,-50400000,-125100000
issuanceOfStock,177600000,58900000,78200000,63200000
changeInCash,-261200000,379200000,-12200000,3300000
repurchaseOfStock,-1400300000,-7700000,-64300000,-517900000
effectOfExchangeRate,-1300000,7200000,-900000,-4500000
totalCashFromOperatingActivities,2705400000,2806500000,2551100000,2246300000
depreciation,342400000,299000000,324600000,330200000
otherCashflowsFromInvestingActivities,-2000000,600000,400000,-900000
dividendsPaid,-573000000,-575000000,-569200000,-557700000
changeToInventory,-261300000,193700000,-29500000,-61900000
changeToAccountReceivables,-114000000,59600000,-22000000,-71900000
otherCashflowsFromFinancingActivities,-87100000,-57300000,-19500000,-34600000
changeToNetincome,2549100000,336900000,2305900000,-1311700000
capitalExpenditures,-1026800000,-864600000,-726500000,-886300000
