,2022,2021,2020,2019,2018
intangibleAssets,1444700000.0,1698600000.0,53500000.0,107900000.0,143700000.0
capitalSurplus,11900000.0,79600000.0,3403700000.0,3188000000.0,3061000000.0
totalLiab,3404800000.0,3293600000.0,942500000.0,717300000.0,731900000.0
totalStockholderEquity,5469000000.0,5297100000.0,4164200000.0,4122300000.0,4097000000.0
otherCurrentLiab,320700000.0,254200000.0,79800000.0,107500000.0,74600000.0
totalAssets,8873800000.0,8590700000.0,5106700000.0,4839600000.0,4828900000.0
commonStock,40000000.0,41300000.0,41400000.0,42500000.0,44400000.0
otherCurrentAssets,95200000.0,97400000.0,178300000.0,105000000.0,88800000.0
retainedEarnings,5421900000.0,5185800000.0,4820400000.0,4312600000.0,3732900000.0
otherLiab,281100000.0,255000000.0,343400000.0,343300000.0,342200000.0
goodWill,2176700000.0,2176700000.0,1189800000.0,1189800000.0,1189800000.0
treasuryStock,-4800000.0,-9600000.0,-4101300000.0,-3420800000.0,-2741300000.0
otherAssets,194200000.0,175200000.0,123200000.0,74100000.0,69500000.0
cash,566000000.0,882900000.0,566700000.0,851300000.0,733300000.0
totalCurrentLiabilities,1226900000.0,658500000.0,448400000.0,374000000.0,389700000.0
deferredLongTermAssetCharges,52700000.0,119500000.0,55300000.0,40800000.0,36500000.0
otherStockholderEquity,-4800000.0,-7900000.0,-7800000.0,-7900000.0,-8800000.0
propertyPlantEquipment,1827800000.0,1667700000.0,1417400000.0,1205600000.0,1140900000.0
totalCurrentAssets,3229900000.0,2865400000.0,2317600000.0,2234600000.0,2262200000.0
longTermInvestments,500000.0,7100000.0,5200000.0,27600000.0,22800000.0
netTangibleAssets,1847600000.0,1421800000.0,2920900000.0,2824600000.0,2763500000.0
shortTermInvestments,20300000.0,137200000.0,408100000.0,203300000.0,294100000.0
netReceivables,1094000000.0,756200000.0,358500000.0,465300000.0,655800000.0
longTermDebt,1689900000.0,2235600000.0,,,
inventory,1212100000.0,885000000.0,806000000.0,609700000.0,490200000.0
accountsPayable,274200000.0,236000000.0,226900000.0,190500000.0,229900000.0
researchDevelopment,617900000,532300000.0,464100000.0,424100000.0,404500000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,1476600000,1598700000.0,891700000.0,961000000.0,1332100000.0
minorityInterest,,,,,
netIncome,1275200000,1498300000.0,814800000.0,853600000.0,918400000.0
sellingGeneralAdministrative,329800000,281800000.0,231400000.0,198300000.0,207800000.0
grossProfit,2604300000,2512400000.0,1612900000.0,1603800000.0,1950700000.0
ebit,1557700000,1662300000.0,905600000.0,958800000.0,1320100000.0
operatingIncome,1557700000,1662300000.0,905600000.0,958800000.0,1320100000.0
otherOperatingExpenses,,,,,
interestExpense,-47900000,-13400000.0,-13400000.0,-13400000.0,-13400000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,201400000,100400000.0,76900000.0,107400000.0,413700000.0
totalRevenue,5485500000,5109100000.0,3355700000.0,3376800000.0,3868000000.0
totalOperatingExpenses,3927800000,3446800000.0,2450100000.0,2418000000.0,2547900000.0
costOfRevenue,2881200000,2596700000.0,1742800000.0,1773000000.0,1917300000.0
totalOtherIncomeExpenseNet,-81100000,-63600000.0,-13900000.0,2200000.0,12000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,1275200000,1498300000.0,814800000.0,853600000.0,918400000.0
netIncomeApplicableToCommonShares,1275200000,1498300000.0,814800000.0,853600000.0,918400000.0
investments,123100000.0,269900000.0,-182900000.0,86500000.0,-315500000.0
changeToLiabilities,31300000.0,59600000.0,61100000.0,-33000000.0,-126000000.0
totalCashflowsFromInvestingActivities,-378900000.0,-3133200000.0,-581400000.0,-336900000.0,-1150400000.0
netBorrowings,-50000000.0,2238200000.0,2238200000.0,2238200000.0,2238200000.0
totalCashFromFinancingActivities,-1362600000.0,1677400000.0,-907700000.0,-912500000.0,-993700000.0
changeToOperatingActivities,-183700000.0,75500000.0,-80900000.0,-21700000.0,228400000.0
issuanceOfStock,35800000.0,36400000.0,79900000.0,41800000.0,57000000.0
changeInCash,-316900000.0,316200000.0,-284600000.0,118000000.0,-883500000.0
repurchaseOfStock,-975300000.0,-250800000.0,-680600000.0,-680400000.0,-807500000.0
totalCashFromOperatingActivities,1424600000.0,1772000000.0,1204500000.0,1367400000.0,1260600000.0
depreciation,493300000.0,368200000.0,330100000.0,337500000.0,290800000.0
dividendsPaid,-373100000.0,-340600000.0,-307000000.0,-273900000.0,-243200000.0
changeToInventory,-337300000.0,-41200000.0,-190400000.0,-119600000.0,11900000.0
changeToAccountReceivables,-337800000.0,-397700000.0,76800000.0,228800000.0,-193800000.0
otherCashflowsFromFinancingActivities,,-5800000.0,-5800000.0,-5800000.0,-5800000.0
changeToNetincome,479600000.0,208200000.0,193000000.0,121800000.0,130900000.0
capitalExpenditures,-489400000.0,-637800000.0,-389400000.0,-398400000.0,-422300000.0
annualDilutedAverageShares,,167000000.0,169900000.0,174500000.0,
shortLongTermDebt,499200000.0,,,,
