,2021,2020,2019,2018
intangibleAssets,1168000000.0,1125000000.0,1265000000.0,1137000000.0
capitalSurplus,9669000000.0,9570000000.0,9537000000.0,9482000000.0
totalLiab,82093000000.0,83247000000.0,89738000000.0,92114000000.0
totalStockholderEquity,12921000000.0,11967000000.0,14354000000.0,14678000000.0
totalAssets,95748000000.0,95948000000.0,104826000000.0,106792000000.0
commonStock,1000000.0,1000000.0,1000000.0,1000000.0
otherCurrentAssets,4710000000.0,86000000.0,1225000000.0,980000000.0
retainedEarnings,14245000000.0,10621000000.0,12117000000.0,8986000000.0
otherLiab,228000000.0,234000000.0,210000000.0,176000000.0
goodWill,1105000000.0,1078000000.0,1078000000.0,1024000000.0
treasuryStock,-10994000000.0,-8225000000.0,-7301000000.0,-3791000000.0
otherAssets,77720000000.0,77556000000.0,85922000000.0,90491000000.0
cash,8337000000.0,11524000000.0,12147000000.0,9396000000.0
totalCurrentLiabilities,68107000000.0,68735000000.0,70412000000.0,67942000000.0
shortLongTermDebt,749000000.0,1497000000.0,750000000.0,
otherStockholderEquity,-69000000.0,-51000000.0,-58000000.0,-62000000.0
totalCurrentAssets,13047000000.0,11610000000.0,13372000000.0,10376000000.0
longTermInvestments,2708000000.0,4579000000.0,3189000000.0,3764000000.0
netTangibleAssets,10648000000.0,9764000000.0,12011000000.0,12517000000.0
longTermDebt,13758000000.0,14278000000.0,19116000000.0,23996000000.0
accountsPayable,62270000000.0,62782000000.0,65154000000.0,64019000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5503000000,1797000000,4887000000,3644000000
minorityInterest,,,,
netIncome,4221000000,1385000000,3747000000,2790000000
sellingGeneralAdministrative,3319000000,3038000000,3356000000,3187000000
grossProfit,9466000000,5852000000,9132000000,7739000000
ebit,0,0,0,0
operatingIncome,5607000000,2172000000,5160000000,3883000000
otherOperatingExpenses,540000000,642000000,616000000,669000000
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1282000000,412000000,1140000000,854000000
totalRevenue,9466000000,5852000000,9132000000,7739000000
totalOperatingExpenses,3859000000,3680000000,3972000000,3856000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,-104000000,-375000000,-273000000,-239000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4221000000,1385000000,3747000000,2790000000
netIncomeApplicableToCommonShares,4179000000,1343000000,3747000000,2790000000
investments,2090000000,-1530000000,229000000,-1603000000
changeToLiabilities,0,0,0,0
totalCashflowsFromInvestingActivities,-4814000000,-498000000,-261000000,-19036000000
netBorrowings,-1281000000,-4108000000,-4147000000,3180000000
totalCashFromFinancingActivities,-5204000000,-8031000000,-6458000000,8253000000
changeToOperatingActivities,597000000,-48000000,456000000,437000000
changeInCash,-2919000000,-1042000000,2271000000,-1441000000
repurchaseOfStock,-2876000000,-985000000,-3618000000,-1868000000
totalCashFromOperatingActivities,7099000000,7487000000,8990000000,9342000000
depreciation,390000000,383000000,367000000,302000000
otherCashflowsFromInvestingActivities,-549000000,-390000000,-660000000,-802000000
dividendsPaid,-542000000,-562000000,-581000000,-534000000
otherCashflowsFromFinancingActivities,-505000000,-2376000000,1154000000,7475000000
changeToNetincome,1467000000,5428000000,4811000000,6093000000
