,2021,2020,2019,2018
intangibleAssets,4840000000.0,5554000000.0,4227000000.0,4163000000.0
capitalSurplus,1890000000.0,1741000000.0,1628000000.0,1559000000.0
totalLiab,19754000000.0,21246000000.0,17360000000.0,15499000000.0
totalStockholderEquity,14877000000.0,13084000000.0,12807000000.0,11730000000.0
otherCurrentLiab,622000000.0,710000000.0,499000000.0,370000000.0
totalAssets,34631000000.0,34330000000.0,30167000000.0,27229000000.0
commonStock,38000000.0,38000000.0,37000000.0,37000000.0
otherCurrentAssets,146000000.0,16000000.0,185000000.0,43000000.0
retainedEarnings,13480000000.0,12462000000.0,11748000000.0,10765000000.0
otherLiab,2423000000.0,2650000000.0,2428000000.0,2206000000.0
goodWill,12918000000.0,12778000000.0,9069000000.0,8563000000.0
treasuryStock,-531000000.0,-1157000000.0,-606000000.0,-631000000.0
otherAssets,3604000000.0,3116000000.0,2862000000.0,2479000000.0
cash,2944000000.0,2943000000.0,4337000000.0,3616000000.0
totalCurrentLiabilities,4549000000.0,5041000000.0,4400000000.0,4807000000.0
deferredLongTermAssetCharges,1760000000.0,1530000000.0,1575000000.0,1678000000.0
shortLongTermDebt,7000000.0,761000000.0,859000000.0,1373000000.0
otherStockholderEquity,-531000000.0,-1157000000.0,-606000000.0,-631000000.0
propertyPlantEquipment,3252000000.0,3175000000.0,2951000000.0,2291000000.0
totalCurrentAssets,10017000000.0,9707000000.0,11058000000.0,9733000000.0
netTangibleAssets,-2881000000.0,-5248000000.0,-489000000.0,-996000000.0
shortTermInvestments,75000000.0,81000000.0,88000000.0,83000000.0
netReceivables,3022000000.0,2701000000.0,2893000000.0,2332000000.0
longTermDebt,12472000000.0,13230000000.0,10231000000.0,8486000000.0
inventory,3314000000.0,3494000000.0,2980000000.0,2955000000.0
accountsPayable,1129000000.0,810000000.0,675000000.0,646000000.0
researchDevelopment,1235000000.0,984000000.0,971000000.0,862000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2281000000.0,1954000000.0,2562000000.0,2356000000.0
minorityInterest,,,,
netIncome,1994000000.0,1599000000.0,2083000000.0,3553000000.0
sellingGeneralAdministrative,5753000000.0,4759000000.0,4968000000.0,4808000000.0
grossProfit,11262000000.0,9158000000.0,9801000000.0,8981000000.0
ebit,3655000000.0,2943000000.0,3398000000.0,2894000000.0
operatingIncome,3655000000.0,2943000000.0,3398000000.0,2894000000.0
otherOperatingExpenses,,,,
interestExpense,-337000000.0,-315000000.0,-287000000.0,-264000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,287000000.0,355000000.0,479000000.0,-1197000000.0
totalRevenue,17108000000.0,14351000000.0,14884000000.0,13601000000.0
totalOperatingExpenses,13453000000.0,11408000000.0,11486000000.0,10707000000.0
costOfRevenue,5846000000.0,5193000000.0,5083000000.0,4620000000.0
totalOtherIncomeExpenseNet,-1374000000.0,-989000000.0,-836000000.0,-538000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1994000000.0,1599000000.0,2083000000.0,3553000000.0
netIncomeApplicableToCommonShares,1994000000.0,1599000000.0,2083000000.0,3553000000.0
investments,6000000.0,7000000.0,-5000000.0,168000000.0
changeToLiabilities,329000000.0,100000000.0,63000000.0,116000000.0
totalCashflowsFromInvestingActivities,-859000000.0,-4701000000.0,-1455000000.0,-2857000000.0
netBorrowings,-1153000000.0,989000000.0,1293000000.0,2456000000.0
totalCashFromFinancingActivities,-2365000000.0,-11000000.0,3000000.0,1329000000.0
changeToOperatingActivities,47000000.0,-69000000.0,-193000000.0,229000000.0
changeInCash,1000000.0,-1394000000.0,721000000.0,1074000000.0
repurchaseOfStock,-114000000.0,-110000000.0,-443000000.0,-420000000.0
effectOfExchangeRate,-38000000.0,41000000.0,-18000000.0,-8000000.0
totalCashFromOperatingActivities,3263000000.0,3277000000.0,2191000000.0,2610000000.0
depreciation,990000000.0,812000000.0,778000000.0,723000000.0
otherCashflowsFromInvestingActivities,-1000000.0,1000000.0,1000000.0,-2000000.0
dividendsPaid,-950000000.0,-863000000.0,-778000000.0,-703000000.0
changeToInventory,-189000000.0,27000000.0,-400000000.0,-385000000.0
changeToAccountReceivables,-377000000.0,354000000.0,-563000000.0,-60000000.0
otherCashflowsFromFinancingActivities,-148000000.0,-27000000.0,-69000000.0,-4000000.0
changeToNetincome,567000000.0,470000000.0,528000000.0,-1410000000.0
capitalExpenditures,-525000000.0,-487000000.0,-649000000.0,-572000000.0
annualDilutedAverageShares,382300000.0,380300000.0,379900000.0,380300000.0
