,2021,2020,2019,2018
intangibleAssets,13286800000.0,13556100000.0,13656000000.0,13776400000.0
capitalSurplus,6970900000.0,6937800000.0,6773600000.0,6773100000.0
totalLiab,13954900000.0,14709800000.0,15186700000.0,16374000000.0
totalStockholderEquity,13417100000.0,12365000000.0,13419400000.0,13507400000.0
minorityInterest,247000000.0,256300000.0,253700000.0,228400000.0
otherCurrentLiab,318400000.0,424500000.0,387700000.0,385100000.0
totalAssets,27619000000.0,27331100000.0,28859800000.0,30109800000.0
commonStock,522100000.0,522200000.0,662400000.0,662800000.0
otherCurrentAssets,457200000.0,297300000.0,224800000.0,245600000.0
retainedEarnings,7401500000.0,6544200000.0,7617000000.0,7692900000.0
otherLiab,3494600000.0,3311800000.0,3150700000.0,3084900000.0
goodWill,6152600000.0,6151000000.0,7631400000.0,8260800000.0
treasuryStock,-1477400000.0,-1639200000.0,-1633600000.0,-1621400000.0
otherAssets,1089400000.0,818700000.0,687000000.0,698000000.0
cash,637400000.0,770100000.0,523400000.0,1057900000.0
totalCurrentLiabilities,3622200000.0,3909600000.0,3695500000.0,4300900000.0
deferredLongTermAssetCharges,180200000.0,105700000.0,,
shortLongTermDebt,571100000.0,1049700000.0,886800000.0,1583100000.0
otherStockholderEquity,-1006000000.0,-1167800000.0,-1162200000.0,-1150000000.0
propertyPlantEquipment,4311500000.0,4386500000.0,4701000000.0,4608300000.0
totalCurrentAssets,2778700000.0,2418800000.0,2184400000.0,2766300000.0
netTangibleAssets,-6022300000.0,-7342100000.0,-7868000000.0,-8529800000.0
netReceivables,879400000.0,687100000.0,820300000.0,871000000.0
longTermDebt,6687700000.0,7322100000.0,8161000000.0,8906100000.0
inventory,804700000.0,664300000.0,615900000.0,591800000.0
accountsPayable,2098100000.0,1732700000.0,1686800000.0,1616800000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1239000000,-643900000,479900000,1359800000
netIncome,1005700000,-949000000,241700000,1116500000
sellingGeneralAdministrative,2290100000,2186700000,2478900000,2725700000
grossProfit,4053400000,3768300000,4201200000,4184800000
ebit,1545300000,1361600000,1501100000,1459100000
operatingIncome,1545300000,1361600000,1501100000,1459100000
otherOperatingExpenses,,,,
interestExpense,-260300000,-274600000,-280900000,-306200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,230500000,301800000,233700000,225200000
totalRevenue,10279700000,9654000000,10579400000,10769600000
totalOperatingExpenses,8734400000,8292400000,9078300000,9310500000
costOfRevenue,6226300000,5885700000,6378200000,6584800000
totalOtherIncomeExpenseNet,-306300000,-2005500000,-1021200000,-99300000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1008500000,-945700000,246200000,1134600000
netIncomeApplicableToCommonShares,1005700000,-949000000,241700000,1116500000
changeToLiabilities,285500000,-50100000,-53000000,27600000
totalCashflowsFromInvestingActivities,-509900000,-413600000,-433300000,-669100000
netBorrowings,-1005200000,-917400000,-1587900000,-694100000
totalCashFromFinancingActivities,-1172200000,-1070400000,-2007000000,-1008900000
changeToOperatingActivities,-40100000,11600000,4500000,-132700000
issuanceOfStock,4600000,4100000,1600000,16000000
changeInCash,-132700000,246700000,-534500000,639300000
effectOfExchangeRate,-24100000,35000000,8500000,-14000000
totalCashFromOperatingActivities,1573500000,1695700000,1897300000,2331300000
depreciation,770700000,809700000,827300000,826800000
otherCashflowsFromInvestingActivities,-13300000,2400000,44600000,-49900000
dividendsPaid,-147800000,-125300000,-424400000,-354200000
changeToInventory,-143900000,-46200000,-17700000,-10600000
changeToAccountReceivables,-137600000,160800000,38500000,-38400000
otherCashflowsFromFinancingActivities,-23800000,-31800000,3700000,23400000
changeToNetincome,-173500000,1750800000,842400000,529400000
capitalExpenditures,-522600000,-574800000,-593800000,-651700000
