,2022,2021,2020,2019,2018
intangibleAssets,2741600000.0,2741600000.0,409700000.0,430800000.0,344300000.0
capitalSurplus,4317100000.0,4317100000.0,389900000.0,360500000.0,343700000.0
totalLiab,6808300000.0,6808300000.0,1856200000.0,1865100000.0,1579600000.0
totalStockholderEquity,7622000000.0,7622000000.0,3228600000.0,2714700000.0,2229700000.0
otherCurrentLiab,189300000.0,189300000.0,161300000.0,127000000.0,122600000.0
totalAssets,14430300000.0,14430300000.0,5084800000.0,4579800000.0,3809300000.0
commonStock,500000.0,500000.0,400000.0,400000.0,400000.0
otherCurrentAssets,8600000.0,8600000.0,10100000.0,5500000.0,
retainedEarnings,3773200000.0,3773200000.0,3327900000.0,2926000000.0,2523700000.0
otherLiab,1072400000.0,1072400000.0,412600000.0,351900000.0,248700000.0
goodWill,7986700000.0,7986700000.0,2150000000.0,2050500000.0,1735200000.0
treasuryStock,-468800000.0,-468800000.0,-489600000.0,-572200000.0,-638100000.0
otherAssets,300600000.0,300600000.0,313200000.0,296600000.0,172800000.0
cash,474700000.0,474700000.0,673100000.0,199500000.0,142500000.0
totalCurrentLiabilities,1498400000.0,1498400000.0,760900000.0,763200000.0,720800000.0
shortLongTermDebt,1200000.0,1200000.0,99100000.0,100600000.0,137400000.0
otherStockholderEquity,-430000000.0,-430000000.0,-430100000.0,-475800000.0,-493200000.0
propertyPlantEquipment,972000000.0,972000000.0,489300000.0,487900000.0,442600000.0
totalCurrentAssets,2429400000.0,2429400000.0,1722600000.0,1313700000.0,1114400000.0
netTangibleAssets,-3106300000.0,-3106300000.0,668900000.0,233400000.0,150200000.0
netReceivables,1083800000.0,1083800000.0,624100000.0,660900000.0,561800000.0
longTermDebt,4099500000.0,4099500000.0,682700000.0,750000000.0,610100000.0
inventory,752900000.0,752900000.0,347300000.0,393400000.0,364300000.0
accountsPayable,469500000.0,469500000.0,229100000.0,271100000.0,227800000.0
longTermInvestments,,,,300000.0,
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,533800000.0,533800000.0,469700000,473700000.0,393900000.0
minorityInterest,,,,,
netIncome,445300000.0,445300000.0,401900000,402300000.0,333800000.0
sellingGeneralAdministrative,1032600000.0,1032600000.0,639400000,704700000.0,677800000.0
grossProfit,1843800000.0,1843800000.0,1191200000,1244100000.0,1115700000.0
ebit,661900000.0,661900000.0,513000000,502900000.0,437900000.0
operatingIncome,661900000.0,661900000.0,513000000,502900000.0,437900000.0
otherOperatingExpenses,,,,,
interestExpense,-60200000.0,-60200000.0,-15800000,-22000000.0,-29200000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,88500000.0,88500000.0,67800000,71400000.0,60100000.0
totalRevenue,4614300000.0,4614300000.0,3086200000,3163600000.0,2901800000.0
totalOperatingExpenses,3952400000.0,3952400000.0,2573200000,2660700000.0,2463900000.0
costOfRevenue,2770500000.0,2770500000.0,1895000000,1919500000.0,1786100000.0
totalOtherIncomeExpenseNet,-128100000.0,-128100000.0,-43300000,-29200000.0,-44000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,445300000.0,445300000.0,401900000,402300000.0,333800000.0
netIncomeApplicableToCommonShares,445300000.0,445300000.0,401900000,402300000.0,333800000.0
changeToLiabilities,77700000.0,77700000.0,-75100000,-24200000.0,13500000.0
totalCashflowsFromInvestingActivities,-3824300000.0,-3824300000.0,-99400000,-571900000.0,-88600000.0
netBorrowings,2834200000.0,2834200000.0,-98100000,108800000.0,-306500000.0
totalCashFromFinancingActivities,2807100000.0,2807100000.0,-61800000,141700000.0,-271300000.0
changeToOperatingActivities,6100000.0,6100000.0,43500000,12500000.0,16600000.0
issuanceOfStock,25400000.0,25400000.0,36300000,34600000.0,37200000.0
changeInCash,-198400000.0,-198400000.0,473600000,57000000.0,71600000.0
effectOfExchangeRate,-5800000.0,-5800000.0,15900000,5100000.0,-15400000.0
totalCashFromOperatingActivities,824600000.0,824600000.0,618900000,482100000.0,446900000.0
depreciation,371800000.0,371800000.0,116200000,111900000.0,113000000.0
otherCashflowsFromInvestingActivities,600000.0,600000.0,1000000,500000.0,1300000.0
changeToInventory,7000000.0,7000000.0,54300000,12200000.0,-1700000.0
changeToAccountReceivables,-158900000.0,-158900000.0,47800000,-58800000.0,-66700000.0
otherCashflowsFromFinancingActivities,-52500000.0,-52500000.0,-52500000,-1700000.0,-2000000.0
changeToNetincome,75600000.0,75600000.0,30300000,26200000.0,38400000.0
capitalExpenditures,-101600000.0,-101600000.0,-71400000,-88400000.0,-86800000.0
annualDilutedAverageShares,,46692296.0,37900000,37500000.0,37000000.0
