,2022,2021,2020,2019,2018
intangibleAssets,1288000000.0,1549000000.0,1593000000.0,1596000000.0,1704000000.0
totalLiab,9885000000.0,10714000000.0,9747000000.0,9124000000.0,9555000000.0
totalStockholderEquity,10802000000.0,10634000000.0,9383000000.0,10570000000.0,10831000000.0
minorityInterest,95000000.0,114000000.0,112000000.0,,
otherCurrentLiab,1436000000.0,1355000000.0,1108000000.0,1127000000.0,1300000000.0
totalAssets,20782000000.0,21462000000.0,19242000000.0,19694000000.0,20386000000.0
commonStock,146000000.0,148000000.0,149000000.0,154000000.0,157000000.0
otherCurrentAssets,57000000.0,26000000.0,42000000.0,27000000.0,472000000.0
retainedEarnings,12832000000.0,11709000000.0,10348000000.0,12256000000.0,12114000000.0
otherLiab,1653000000.0,2097000000.0,2169000000.0,2154000000.0,2008000000.0
goodWill,5258000000.0,5590000000.0,5224000000.0,5740000000.0,5684000000.0
treasuryStock,-2176000000.0,-1223000000.0,-1114000000.0,-1840000000.0,-1440000000.0
otherAssets,2977000000.0,2838000000.0,2538000000.0,3230000000.0,3302000000.0
cash,1088000000.0,1203000000.0,945000000.0,927000000.0,848000000.0
totalCurrentLiabilities,4632000000.0,4656000000.0,3690000000.0,3540000000.0,4410000000.0
deferredLongTermAssetCharges,2498000000.0,2499000000.0,2178000000.0,2776000000.0,2144000000.0
shortLongTermDebt,914000000.0,554000000.0,700000000.0,570000000.0,963000000.0
otherStockholderEquity,-495000000.0,-168000000.0,-445000000.0,-503000000.0,-306000000.0
propertyPlantEquipment,3991000000.0,4222000000.0,4103000000.0,3574000000.0,3497000000.0
totalCurrentAssets,7268000000.0,7263000000.0,5784000000.0,5554000000.0,6199000000.0
netTangibleAssets,4256000000.0,3495000000.0,2566000000.0,3234000000.0,3443000000.0
netReceivables,2865000000.0,2928000000.0,2377000000.0,2320000000.0,2361000000.0
longTermDebt,3292000000.0,3627000000.0,3541000000.0,3430000000.0,3137000000.0
inventory,2676000000.0,2511000000.0,1950000000.0,1836000000.0,1857000000.0
accountsPayable,1593000000.0,1911000000.0,1276000000.0,1357000000.0,1548000000.0
researchDevelopment,718000000,677000000.0,613000000.0,644000000.0,680000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,2733000000,2378000000.0,524000000.0,1931000000.0,2240000000.0
netIncome,2428000000,2261000000.0,-241000000.0,1844000000.0,2565000000.0
sellingGeneralAdministrative,1562000000,1498000000.0,1377000000.0,1490000000.0,1591000000.0
grossProfit,5244000000,4887000000.0,3735000000.0,4394000000.0,4745000000.0
ebit,2964000000,2708000000.0,1745000000.0,2260000000.0,2486000000.0
operatingIncome,2964000000,2708000000.0,1745000000.0,2260000000.0,2486000000.0
otherOperatingExpenses,,4000000.0,4000000.0,4000000.0,-12000000.0
interestExpense,-66000000,-56000000.0,-48000000.0,-68000000.0,-107000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,306000000,123000000.0,783000000.0,-15000000.0,-344000000.0
totalRevenue,16281000000,14923000000.0,12172000000.0,13448000000.0,13988000000.0
totalOperatingExpenses,13317000000,12215000000.0,10427000000.0,11188000000.0,11502000000.0
costOfRevenue,11037000000,10036000000.0,8437000000.0,9054000000.0,9243000000.0
totalOtherIncomeExpenseNet,-231000000,-330000000.0,-1221000000.0,-329000000.0,-246000000.0
discontinuedOperations,1000000,6000000.0,18000000.0,-102000000.0,-19000000.0
netIncomeFromContinuingOps,2427000000,2255000000.0,-259000000.0,1946000000.0,2584000000.0
netIncomeApplicableToCommonShares,2428000000,2261000000.0,-241000000.0,1844000000.0,2565000000.0
changeToLiabilities,-396000000,560000000.0,-80000000.0,-178000000.0,201000000.0
totalCashflowsFromInvestingActivities,-878000000,-1037000000.0,-865000000.0,-692000000.0,-1094000000.0
netBorrowings,400000000,-47000000.0,22000000.0,4000000.0,-319000000.0
totalCashFromFinancingActivities,-1684000000,-1386000000.0,-1105000000.0,-1643000000.0,-1722000000.0
changeToOperatingActivities,-735000000,215000000.0,95000000.0,85000000.0,-28000000.0
issuanceOfStock,54000000,167000000.0,55000000.0,85000000.0,100000000.0
changeInCash,-115000000,258000000.0,18000000.0,79000000.0,-370000000.0
repurchaseOfStock,-1412000000,-831000000.0,-523000000.0,-1091000000.0,-879000000.0
effectOfExchangeRate,-21000000,5000000.0,-4000000.0,-8000000.0,-5000000.0
totalCashFromOperatingActivities,2468000000,2676000000.0,1992000000.0,2422000000.0,2451000000.0
depreciation,785000000,769000000.0,711000000.0,690000000.0,667000000.0
otherCashflowsFromInvestingActivities,4000000,-10000000.0,17000000.0,17000000.0,-29000000.0
dividendsPaid,-685000000,-647000000.0,-625000000.0,-608000000.0,-588000000.0
changeToInventory,-41000000,-556000000.0,-89000000.0,64000000.0,-247000000.0
changeToAccountReceivables,200000000,-518000000.0,-63000000.0,31000000.0,-269000000.0
otherCashflowsFromFinancingActivities,-41000000,-28000000.0,-34000000.0,-33000000.0,-36000000.0
changeToNetincome,195000000,-161000000.0,1668000000.0,21000000.0,-492000000.0
capitalExpenditures,-768000000,-690000000.0,-560000000.0,-749000000.0,-935000000.0
annualDilutedAverageShares,,333000000.0,332000000.0,340000000.0,
