,2021,2020,2019,2018
intangibleAssets,75635000.0,100939000.0,125480000.0,125482000.0
capitalSurplus,1811545000.0,1765323000.0,1720129000.0,1671645000.0
totalLiab,1246981000.0,1445328000.0,1306856000.0,1184252000.0
totalStockholderEquity,2562444000.0,2207018000.0,1480158000.0,1522354000.0
otherCurrentLiab,259551000.0,232023000.0,167178000.0,156670000.0
totalAssets,3809425000.0,3652346000.0,2787014000.0,2706606000.0
commonStock,20281000.0,20765000.0,20801000.0,21940000.0
otherCurrentAssets,374022000.0,221627000.0,155824000.0,140028000.0
retainedEarnings,736566000.0,387414000.0,-241918000.0,-158191000.0
otherLiab,296439000.0,325616000.0,327291000.0,327984000.0
goodWill,426024000.0,453859000.0,416431000.0,381850000.0
treasuryStock,-5948000.0,33516000.0,-18854000.0,-13040000.0
otherAssets,141634000.0,114765000.0,103974000.0,99240000.0
cash,1122199000.0,914121000.0,773924000.0,926752000.0
totalCurrentLiabilities,805120000.0,700871000.0,539029000.0,476287000.0
deferredLongTermAssetCharges,102428000.0,87913000.0,75185000.0,70848000.0
shortLongTermDebt,19182000.0,33343000.0,,
otherStockholderEquity,-5948000.0,33516000.0,-18854000.0,-13040000.0
propertyPlantEquipment,456047000.0,449369000.0,377755000.0,279821000.0
totalCurrentAssets,2576227000.0,2415434000.0,1658884000.0,1732482000.0
longTermInvestments,133858000.0,117980000.0,104490000.0,87731000.0
netTangibleAssets,2060785000.0,1652220000.0,938247000.0,1015022000.0
shortTermInvestments,244231000.0,522280000.0,137303000.0,190096000.0
netReceivables,550749000.0,497506000.0,362368000.0,291267000.0
longTermDebt,89244000.0,376768000.0,394687000.0,379981000.0
inventory,243330000.0,222189000.0,196691000.0,153541000.0
accountsPayable,153133000.0,133663000.0,126617000.0,100688000.0
researchDevelopment,427609000,374964000,322824000,301505000
effectOfAccountingCharges,,,,
incomeBeforeTax,1160955000,901015000,525772000,467801000
minorityInterest,,,,
netIncome,1014589000,784147000,467468000,451779000
sellingGeneralAdministrative,546614000,476013000,446351000,387945000
grossProfit,2206656000,1785741000,1339829000,1220394000
ebit,1196135000,902190000,529743000,490522000
operatingIncome,1196135000,902190000,529743000,490522000
otherOperatingExpenses,14842000,1771000,764000,1231000
interestExpense,-17820000,-24182000,-22224000,-21780000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146366000,116868000,58304000,16022000
totalRevenue,3702881000,3121469000,2294965000,2100802000
totalOperatingExpenses,2506746000,2219279000,1765222000,1610280000
costOfRevenue,1496225000,1335728000,955136000,880408000
totalOtherIncomeExpenseNet,-35180000,-1175000,-3971000,-22721000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1014589000,784147000,467468000,451779000
netIncomeApplicableToCommonShares,1014589000,784147000,467468000,451779000
investments,264833000.0,-385512000.0,39870000.0,1197817000.0
changeToLiabilities,139372000.0,113141000.0,88592000.0,27072000.0
totalCashflowsFromInvestingActivities,120361000.0,-569794000.0,-156660000.0,923010000.0
netBorrowings,-342990000.0,-342990000.0,-342990000.0,-342990000.0
totalCashFromFinancingActivities,-1008584000.0,-158286000.0,-574349000.0,-903421000.0
changeToOperatingActivities,-181251000.0,-69800000.0,-28870000.0,-62736000.0
issuanceOfStock,32686000.0,28527000.0,29312000.0,20973000.0
changeInCash,208078000.0,140197000.0,-152828000.0,496909000.0
repurchaseOfStock,-632303000.0,-111479000.0,-514741000.0,-843501000.0
effectOfExchangeRate,-2065000.0,-658000.0,-569000.0,439000.0
totalCashFromOperatingActivities,1098366000.0,868935000.0,578750000.0,476881000.0
depreciation,125485000.0,126743000.0,120655000.0,113224000.0
dividendsPaid,-65977000.0,-66482000.0,-61305000.0,-67322000.0
changeToInventory,6495000.0,-8438000.0,-27408000.0,-29498000.0
changeToAccountReceivables,-57778000.0,-129451000.0,-70440000.0,-17938000.0
changeToNetincome,57058000.0,27424000.0,42337000.0,75407000.0
capitalExpenditures,-132472000.0,-184977000.0,-134642000.0,-114379000.0
otherCashflowsFromInvestingActivities,,546000.0,2912000.0,9046000.0
otherCashflowsFromFinancingActivities,,-8852000.0,-27615000.0,-13571000.0
