,2021,2020,2019,2018
intangibleAssets,6041000000.0,5007000000.0,5772000000.0,1880000000.0
capitalSurplus,34565000000.0,35843000000.0,35609000000.0,6849000000.0
totalLiab,471970000000.0,438316000000.0,406520000000.0,195519000000.0
totalStockholderEquity,62598000000.0,62759000000.0,61282000000.0,27069000000.0
totalAssets,541241000000.0,509228000000.0,473078000000.0,225697000000.0
commonStock,6639000000.0,6745000000.0,6711000000.0,3817000000.0
otherCurrentAssets,6603000000.0,7993000000.0,10180000000.0,1733000000.0
retainedEarnings,22998000000.0,19455000000.0,19806000000.0,18118000000.0
otherLiab,12091000000.0,9099000000.0,9749000000.0,5186000000.0
goodWill,26098000000.0,24447000000.0,24154000000.0,9818000000.0
treasuryStock,-1604000000.0,716000000.0,-844000000.0,-1715000000.0
otherAssets,298984000000.0,305787000000.0,311721000000.0,153561000000.0
cash,20295000000.0,18868000000.0,19065000000.0,3844000000.0
totalCurrentLiabilities,422690000000.0,387724000000.0,353701000000.0,166624000000.0
otherStockholderEquity,-1604000000.0,716000000.0,-844000000.0,-1715000000.0
propertyPlantEquipment,6960000000.0,7013000000.0,7432000000.0,3493000000.0
totalCurrentAssets,41166000000.0,39447000000.0,42243000000.0,8141000000.0
longTermInvestments,161992000000.0,127527000000.0,81756000000.0,48804000000.0
netTangibleAssets,33092000000.0,35328000000.0,33986000000.0,16493000000.0
shortTermInvestments,4028000000.0,1745000000.0,1417000000.0,143000000.0
netReceivables,2244000000.0,1833000000.0,2418000000.0,1116000000.0
longTermDebt,35887000000.0,39555000000.0,41216000000.0,23709000000.0
inventory,51000000.0,52000000.0,123000000.0,63000000.0
accountsPayable,416488000000.0,381077000000.0,334727000000.0,161199000000.0
minorityInterest,,105000000.0,174000000.0,56000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7993000000.0,5473000000.0,4019000000.0,4060000000.0
netIncome,6440000000.0,4482000000.0,3224000000.0,3237000000.0
sellingGeneralAdministrative,12750000000.0,12179000000.0,6664000000.0,5930000000.0
grossProfit,23109000000.0,20370000000.0,11953000000.0,10992000000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,9552000000.0,7378000000.0,4624000000.0,4471000000.0
otherOperatingExpenses,807000000.0,813000000.0,665000000.0,591000000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1556000000.0,981000000.0,782000000.0,803000000.0
totalRevenue,23109000000.0,20370000000.0,11953000000.0,10992000000.0
totalOperatingExpenses,13557000000.0,12992000000.0,7329000000.0,6521000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-1559000000.0,-1905000000.0,-605000000.0,-411000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6437000000.0,4492000000.0,3237000000.0,3257000000.0
netIncomeApplicableToCommonShares,6033000000.0,4184000000.0,3028000000.0,3063000000.0
investments,-36659000000.0,-42905000000.0,1430000000.0,1777000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-32056000000.0,-43652000000.0,8348000000.0,-4963000000.0
netBorrowings,-4031000000.0,-13758000000.0,4112000000.0,476000000.0
totalCashFromFinancingActivities,25591000000.0,36018000000.0,5353000000.0,1502000000.0
changeToOperatingActivities,-90000000.0,732000000.0,-3234000000.0,202000000.0
changeInCash,1427000000.0,-197000000.0,15221000000.0,888000000.0
repurchaseOfStock,-1616000000.0,-1616000000.0,-1616000000.0,-1205000000.0
totalCashFromOperatingActivities,7892000000.0,7437000000.0,1520000000.0,4349000000.0
depreciation,1384000000.0,1608000000.0,630000000.0,555000000.0
otherCashflowsFromInvestingActivities,-3104000000.0,-106000000.0,230000000.0,185000000.0
dividendsPaid,-2852000000.0,-2725000000.0,-1459000000.0,-1343270000.0
otherCashflowsFromFinancingActivities,35505000000.0,49552000000.0,2742000000.0,3609000000.0
changeToNetincome,-587000000.0,1444000000.0,844000000.0,198000000.0
capitalExpenditures,-442000000.0,-815000000.0,-224000000.0,-363000000.0
annualDilutedAverageShares,1349378000.0,1358289000.0,815204000.0,783484000.0
