,2021,2020,2019,2018
intangibleAssets,2289067000.0,2519746000.0,2156285000.0,2325052000.0
capitalSurplus,693090000.0,652305000.0,616980000.0,574761000.0
totalLiab,3116974000.0,3816102000.0,3330500000.0,3738013000.0
totalStockholderEquity,3754748000.0,3336457000.0,2979320000.0,2539978000.0
otherCurrentLiab,119646000.0,50484000.0,168429000.0,180870000.0
totalAssets,6871722000.0,7152559000.0,6309820000.0,6277991000.0
commonStock,47929000.0,47812000.0,47536000.0,47248000.0
otherCurrentAssets,2013000.0,1752000.0,1851000.0,1322000.0
retainedEarnings,3517954000.0,3096228000.0,2824916000.0,2427599000.0
otherLiab,580720000.0,777965000.0,807130000.0,1075564000.0
goodWill,2504202000.0,2585966000.0,2245305000.0,2246579000.0
treasuryStock,-504225000.0,-459888000.0,-510112000.0,-509630000.0
otherAssets,66364000.0,49875000.0,44953000.0,37425000.0
cash,445084000.0,375880000.0,301083000.0,357161000.0
totalCurrentLiabilities,680119000.0,540027000.0,563055000.0,582456000.0
deferredLongTermAssetCharges,6820000.0,8073000.0,5572000.0,2446000.0
shortLongTermDebt,110000000.0,100500000.0,50000000.0,86625000.0
otherStockholderEquity,-346959000.0,-297298000.0,-344392000.0,-341085000.0
propertyPlantEquipment,573411000.0,574547000.0,543879000.0,432766000.0
totalCurrentAssets,1429118000.0,1422425000.0,1306332000.0,1236169000.0
longTermInvestments,9560000.0,,13066000.0,
netTangibleAssets,-1038521000.0,-1769255000.0,-1422270000.0,-2031653000.0
netReceivables,383569000.0,395071000.0,418673000.0,366286000.0
longTermDebt,1740102000.0,2412013000.0,1858943000.0,2079993000.0
inventory,477643000.0,513196000.0,476557000.0,427778000.0
accountsPayable,118236000.0,102520000.0,102916000.0,106709000.0
researchDevelopment,130841000.0,119747000.0,113857000.0,106208000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,559468000.0,357732000.0,339903000.0,219628000.0
minorityInterest,,,,
netIncome,485374000.0,335324000.0,461466000.0,200802000.0
sellingGeneralAdministrative,851610000.0,781732000.0,797851000.0,744085000.0
grossProfit,1552902000.0,1324874000.0,1409005000.0,1302816000.0
ebit,570451000.0,423395000.0,497297000.0,452523000.0
operatingIncome,570451000.0,423395000.0,497297000.0,452523000.0
otherOperatingExpenses,,,,
interestExpense,-56969000.0,-66494000.0,-80270000.0,-103020000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,74349000.0,21931000.0,-122078000.0,23196000.0
totalRevenue,2809563000.0,2537156000.0,2595362000.0,2448383000.0
totalOperatingExpenses,2239112000.0,2113761000.0,2098065000.0,1995860000.0
costOfRevenue,1256661000.0,1212282000.0,1186357000.0,1145567000.0
totalOtherIncomeExpenseNet,-10983000.0,-65663000.0,-157394000.0,-232895000.0
discontinuedOperations,255000.0,-477000.0,-515000.0,4370000.0
netIncomeFromContinuingOps,485119000.0,335801000.0,461981000.0,196432000.0
netIncomeApplicableToCommonShares,485374000.0,335324000.0,461466000.0,200802000.0
investments,-11118000.0,-11118000.0,-11118000.0,-11118000.0
changeToLiabilities,94020000.0,646000.0,36021000.0,62404000.0
totalCashflowsFromInvestingActivities,156737000.0,-837783000.0,-73481000.0,-196394000.0
netBorrowings,-634500000.0,575000000.0,-253500000.0,-93500000.0
totalCashFromFinancingActivities,-715822000.0,455163000.0,-418836000.0,-206433000.0
changeToOperatingActivities,-28410000.0,-4323000.0,-31023000.0,-10351000.0
issuanceOfStock,23548000.0,18994000.0,21206000.0,22655000.0
changeInCash,69204000.0,74797000.0,-56078000.0,23603000.0
effectOfExchangeRate,-23130000.0,21011000.0,-3286000.0,-10948000.0
totalCashFromOperatingActivities,651419000.0,436406000.0,439525000.0,437378000.0
depreciation,237362000.0,227252000.0,214062000.0,209980000.0
otherCashflowsFromInvestingActivities,19154000.0,19341000.0,18331000.0,1548000.0
dividendsPaid,-63648000.0,-63221000.0,-62828000.0,-62165000.0
changeToInventory,-11138000.0,-5497000.0,-53170000.0,-37198000.0
changeToAccountReceivables,-600000.0,44748000.0,-59793000.0,-23412000.0
otherCashflowsFromFinancingActivities,-41222000.0,-75610000.0,-123714000.0,-73423000.0
changeToNetincome,-203155000.0,-152880000.0,-125814000.0,66159000.0
capitalExpenditures,-71618000.0,-90694000.0,-102695000.0,-80795000.0
annualDilutedAverageShares,47427000.0,47287000.0,47090000.0,46801000.0
