,2022,2021,2020,2019
intangibleAssets,1366600000.0,1373400000.0,1379400000.0,1711900000.0
capitalSurplus,3620200000.0,3487000000.0,3358500000.0,3302100000.0
totalLiab,4979800000.0,5123100000.0,5647800000.0,3363900000.0
totalStockholderEquity,2285500000.0,3259300000.0,2276400000.0,3513400000.0
otherCurrentLiab,39000000.0,53200000.0,100500000.0,149700000.0
totalAssets,7265300000.0,8382400000.0,7924200000.0,6877300000.0
commonStock,2400000.0,2800000.0,2800000.0,2900000.0
otherCurrentAssets,51700000.0,76100000.0,85000000.0,91000000.0
retainedEarnings,-1166200000.0,-158500000.0,-992700000.0,291600000.0
otherLiab,567100000.0,577300000.0,513600000.0,844000000.0
goodWill,1241500000.0,1297300000.0,1301100000.0,1516200000.0
treasuryStock,-170900000.0,-72000000.0,-92200000.0,-83200000.0
otherAssets,257300000.0,161600000.0,158400000.0,153500000.0
cash,789800000.0,2007700000.0,1426300000.0,969200000.0
totalCurrentLiabilities,1468800000.0,1425800000.0,1742100000.0,918000000.0
deferredLongTermAssetCharges,47900000.0,65600000.0,55900000.0,19400000.0
shortLongTermDebt,31200000.0,,11500000.0,
otherStockholderEquity,-170900000.0,-72000000.0,-92200000.0,-83200000.0
propertyPlantEquipment,1826000000.0,2174700000.0,2532200000.0,938800000.0
totalCurrentAssets,2573800000.0,3375300000.0,2553100000.0,2556800000.0
longTermInvestments,100000.0,100000.0,,100000.0
netTangibleAssets,-322600000.0,588600000.0,-404100000.0,285300000.0
shortTermInvestments,163400000.0,8100000.0,8100000.0,264600000.0
netReceivables,469500000.0,454800000.0,239300000.0,353900000.0
longTermDebt,1659200000.0,1590700000.0,1587900000.0,1596600000.0
inventory,994200000.0,734800000.0,736900000.0,778300000.0
accountsPayable,520700000.0,445200000.0,130800000.0,243600000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1047000000,897300000,-624200000,766200000
minorityInterest,,,,
netIncome,856300000,834200000,-652100000,643400000
sellingGeneralAdministrative,3431800000,2991000000,3233800000,3234000000
grossProfit,4650400000,4073800000,3351700000,4053700000
ebit,1218600000,1082800000,117900000,819700000
operatingIncome,1218600000,1082800000,117900000,819700000
otherOperatingExpenses,,,,
interestExpense,-69300000,-74100000,-71500000,-66900000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,190700000,63100000,27900000,122800000
totalRevenue,6684500000,5746300000,4961400000,6027100000
totalOperatingExpenses,5465900000,4663500000,4843500000,5207400000
costOfRevenue,2034100000,1672500000,1609700000,1973400000
totalOtherIncomeExpenseNet,-171600000,-185500000,-742100000,-53500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,856300000,834200000,-652100000,643400000
netIncomeApplicableToCommonShares,856300000,834200000,-652100000,643400000
investments,-159700000,1100000,249700000,-256500000
changeToLiabilities,86400000,307300000,-91700000,-39800000
totalCashflowsFromInvestingActivities,-253600000,-91000000,44300000,-574200000
netBorrowings,98500000,-711500000,700000000,-700000
totalCashFromFinancingActivities,-1778100000,-666000000,5900000,-485600000
changeToOperatingActivities,-45500000,-99600000,8100000,-153800000
issuanceOfStock,74700000,61200000,4300000,35300000
changeInCash,-1217900000,581400000,457100000,-274200000
repurchaseOfStock,-1630600000,-7500000,-314900000,-127000000
effectOfExchangeRate,-39400000,14700000,-100000,-6800000
totalCashFromOperatingActivities,853200000,1323700000,407000000,792400000
depreciation,195300000,218700000,248300000,268200000
dividendsPaid,-264400000,-264400000,-380300000,-390700000
changeToInventory,-311700000,32200000,-58600000,-104700000
changeToAccountReceivables,-96000000,-9600000,61900000,25700000
otherCashflowsFromFinancingActivities,-56300000,-8200000,-3200000,-2500000
changeToNetincome,168400000,40500000,891100000,153400000
capitalExpenditures,-93900000,-116000000,-205400000,-274200000
