,2021,2020,2019,2018
intangibleAssets,1094800000.0,1382400000.0,1735000000.0,1983200000.0
capitalSurplus,4268900000.0,4839900000.0,5221200000.0,6154900000.0
totalLiab,9279800000.0,9671100000.0,10093400000.0,9221700000.0
totalStockholderEquity,2011800000.0,2653900000.0,4920800000.0,6079400000.0
minorityInterest,3166900000.0,3249300000.0,3522100000.0,1391400000.0
otherCurrentLiab,322700000.0,258000000.0,233100000.0,433200000.0
totalAssets,15208200000.0,15875700000.0,18815100000.0,16938200000.0
commonStock,200000.0,200000.0,200000.0,200000.0
otherCurrentAssets,126000000.0,173200000.0,310700000.0,156600000.0
retainedEarnings,-1822300000.0,-1893500000.0,-339600000.0,-130400000.0
otherLiab,512400000.0,458400000.0,733400000.0,790500000.0
treasuryStock,-435000000.0,-292700000.0,39000000.0,54700000.0
otherAssets,89400000.0,145400000.0,47400000.0,70600000.0
cash,158500000.0,242800000.0,331100000.0,232100000.0
totalCurrentLiabilities,2298500000.0,1779400000.0,1872600000.0,2798800000.0
shortLongTermDebt,150000000.0,356500000.0,370000000.0,1027900000.0
otherStockholderEquity,-230900000.0,-141800000.0,92500000.0,94300000.0
propertyPlantEquipment,11667700000.0,12173600000.0,14590500000.0,12928400000.0
totalCurrentAssets,1769800000.0,1460300000.0,1658300000.0,1418900000.0
longTermInvestments,586500000.0,714000000.0,738700000.0,490500000.0
netTangibleAssets,917000000.0,1271500000.0,3140600000.0,4049600000.0
netReceivables,1331900000.0,862800000.0,855000000.0,865500000.0
longTermDebt,6420700000.0,7368400000.0,7414400000.0,5632400000.0
inventory,153400000.0,181500000.0,161500000.0,164700000.0
accountsPayable,1402300000.0,833800000.0,954800000.0,1200500000.0
goodWill,,,45200000.0,46600000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,436900000.0,-1573100000.0,-46700000.0,65900000.0
netIncome,71200000.0,-1553900000.0,-209200000.0,1600000.0
sellingGeneralAdministrative,1020200000.0,946500000.0,984100000.0,978900000.0
grossProfit,3220300000.0,3073800000.0,2463100000.0,2245800000.0
ebit,1329400000.0,1259600000.0,519700000.0,447400000.0
operatingIncome,1329400000.0,1259600000.0,519700000.0,447400000.0
otherOperatingExpenses,100000.0,2600000.0,200000.0,3600000.0
interestExpense,-387900000.0,-391300000.0,-337800000.0,-185800000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,14800000.0,-248100000.0,-87900000.0,5500000.0
totalRevenue,16949800000.0,8260300000.0,8671100000.0,10484000000.0
totalOperatingExpenses,15620400000.0,7000700000.0,8151400000.0,10036600000.0
costOfRevenue,13729500000.0,5186500000.0,6208000000.0,8238200000.0
totalOtherIncomeExpenseNet,-892500000.0,-2832700000.0,-566400000.0,-381500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,422100000.0,-1325000000.0,41200000.0,60400000.0
netIncomeApplicableToCommonShares,-16100000.0,-1684800000.0,-334000000.0,-119300000.0
investments,19600000.0,10500000.0,-193000000.0,-276500000.0
changeToLiabilities,551700000.0,105700000.0,35000000.0,31600000.0
totalCashflowsFromInvestingActivities,-473200000.0,-738100000.0,-3071900000.0,-3146900000.0
netBorrowings,-1179500000.0,-23000000.0,1129100000.0,1610000000.0
totalCashFromFinancingActivities,-1914000000.0,-1094700000.0,1781100000.0,2097800000.0
changeToOperatingActivities,5900000.0,6900000.0,45800000.0,25600000.0
changeInCash,-84300000.0,-88300000.0,99000000.0,94900000.0
repurchaseOfStock,-53200000.0,-97400000.0,-13900000.0,-4000000.0
totalCashFromOperatingActivities,2302900000.0,1744500000.0,1389800000.0,1144000000.0
depreciation,874600000.0,868700000.0,963800000.0,819600000.0
otherCashflowsFromInvestingActivities,100000.0,4300000.0,-15900000.0,-12500000.0
dividendsPaid,-187500000.0,-384200000.0,-953500000.0,-908300000.0
changeToInventory,40600000.0,-27700000.0,-45000000.0,-13900000.0
changeToAccountReceivables,-392400000.0,-25600000.0,-24700000.0,-6200000.0
otherCashflowsFromFinancingActivities,-493800000.0,-419300000.0,1619400000.0,711100000.0
changeToNetincome,1147000000.0,2363600000.0,622700000.0,283700000.0
capitalExpenditures,-505100000.0,-951600000.0,-2877800000.0,-3114800000.0
issuanceOfStock,,,,689000000.0
annualDilutedAverageShares,228600000.0,232200000.0,232500000.0,224200000.0
