,2021,2020,2019,2018
intangibleAssets,2848000000.0,2675000000.0,2603000000.0,2465000000.0
totalLiab,91579000000.0,87563000000.0,84179000000.0,81339000000.0
totalStockholderEquity,28887000000.0,29201000000.0,25943000000.0,22894000000.0
otherCurrentLiab,17712000000.0,15358000000.0,14738000000.0,13565000000.0
totalAssets,120466000000.0,116764000000.0,110122000000.0,104233000000.0
commonStock,24154000000.0,23743000000.0,23469000000.0,23144000000.0
otherCurrentAssets,12957000000.0,13195000000.0,13452000000.0,13779000000.0
retainedEarnings,41555000000.0,38771000000.0,36977000000.0,35204000000.0
otherLiab,8886000000.0,10709000000.0,10600000000.0,10181000000.0
goodWill,4008000000.0,3976000000.0,3961000000.0,3937000000.0
treasuryStock,-36822000000.0,-33313000000.0,-34503000000.0,-35454000000.0
otherAssets,5413000000.0,4973000000.0,4785000000.0,4789000000.0
cash,761000000.0,721000000.0,494000000.0,373000000.0
totalCurrentLiabilities,75265000000.0,70404000000.0,67121000000.0,64694000000.0
otherStockholderEquity,1193000000.0,2502000000.0,640000000.0,-1859000000.0
totalCurrentAssets,25639000000.0,27256000000.0,26798000000.0,25655000000.0
longTermInvestments,82558000000.0,77884000000.0,71975000000.0,67387000000.0
netTangibleAssets,24573000000.0,24908000000.0,21652000000.0,18612000000.0
shortTermInvestments,3836000000.0,5511000000.0,4943000000.0,3985000000.0
netReceivables,8085000000.0,7829000000.0,7909000000.0,7518000000.0
longTermDebt,7190000000.0,6450000000.0,6458000000.0,6464000000.0
accountsPayable,57360000000.0,54946000000.0,52283000000.0,51029000000.0
shortLongTermDebt,,,500000000.0,100000000.0
deferredLongTermAssetCharges,,,,445000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4458000000,3237000000,3138000000,2961000000
minorityInterest,,,,
netIncome,3662000000,2697000000,2622000000,2523000000
sellingGeneralAdministrative,4677000000,4509000000,4365000000,4297000000
grossProfit,9475000000,8085000000,7847000000,7610000000
ebit,4798000000,3576000000,3482000000,3313000000
operatingIncome,4798000000,3576000000,3482000000,3313000000
otherOperatingExpenses,,,,
interestExpense,-340000000,-339000000,-344000000,-352000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,796000000,540000000,516000000,438000000
totalRevenue,34816000000,31981000000,31581000000,30282000000
totalOperatingExpenses,30018000000,28405000000,28099000000,26969000000
costOfRevenue,25341000000,23896000000,23734000000,22672000000
totalOtherIncomeExpenseNet,-340000000,-339000000,-344000000,-352000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3662000000,2697000000,2622000000,2523000000
netIncomeApplicableToCommonShares,3635000000,2678000000,2603000000,2504000000
investments,-4863000000,-4402000000,-2628000000,-1951000000
changeToLiabilities,1249000000,592000000,1008000000,710000000
totalCashflowsFromInvestingActivities,-5196000000,-4892000000,-2902000000,-2329000000
netBorrowings,739000000,-10000000,-8000000,-9000000
totalCashFromFinancingActivities,-2037000000,-1416000000,-2187000000,-2012000000
changeToOperatingActivities,-2940000000,-2394000000,-3543000000,-3342000000
issuanceOfStock,293000000,127000000,213000000,132000000
changeInCash,40000000,227000000,121000000,29000000
repurchaseOfStock,-2200000000,-672000000,-1548000000,-1321000000
effectOfExchangeRate,-1000000,16000000,5000000,-10000000
totalCashFromOperatingActivities,7274000000,6519000000,5205000000,4380000000
depreciation,870000000,789000000,763000000,803000000
otherCashflowsFromInvestingActivities,-298000000,-377000000,-167000000,-378000000
dividendsPaid,-869000000,-861000000,-844000000,-814000000
changeToAccountReceivables,-258000000,94000000,-384000000,-393000000
changeToNetincome,-352000000,-32000000,138000000,-302000000
