,2021,2020,2019,2018
intangibleAssets,23101000.0,23101000.0,31300000.0,31300000.0
capitalSurplus,1210512000.0,1095500000.0,966698000.0,823413000.0
totalLiab,5764802000.0,5125276000.0,3722145000.0,1523442000.0
totalStockholderEquity,2002665000.0,1923840000.0,1567123000.0,1561820000.0
otherCurrentLiab,24500000.0,19938000.0,5984000.0,1768000.0
totalAssets,7767467000.0,7049116000.0,5289268000.0,3085262000.0
commonStock,1411000.0,1401000.0,1389000.0,1375000.0
retainedEarnings,4945243000.0,4187135000.0,3612833000.0,3213895000.0
otherLiab,105848000.0,143154000.0,76222000.0,174965000.0
goodWill,32419000.0,32419000.0,93192000.0,93192000.0
treasuryStock,-4154501000.0,-3360196000.0,-3013797000.0,-2476863000.0
otherAssets,57843000.0,62070000.0,24040000.0,28685000.0
cash,878030000.0,1341756000.0,84241000.0,86299000.0
totalCurrentLiabilities,2064842000.0,1743798000.0,1247600000.0,938107000.0
deferredLongTermAssetCharges,2437000.0,31586000.0,,6607000.0
otherStockholderEquity,1345000.0,-3243000.0,199000.0,3814000.0
propertyPlantEquipment,4403664000.0,3672841000.0,3352758000.0,1134464000.0
totalCurrentAssets,3250440000.0,3258685000.0,1787887000.0,1794399000.0
netTangibleAssets,1947145000.0,1868320000.0,1442631000.0,1437328000.0
netReceivables,17100000.0,,,4111000.0
longTermDebt,986382000.0,984324000.0,366772000.0,381100000.0
inventory,2191192000.0,1783270000.0,1602781000.0,1589542000.0
accountsPayable,1155630000.0,976096000.0,643036000.0,619981000.0
shortLongTermDebt,,,30090000.0,26250000.0
longTermInvestments,,,91000.0,3222000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1280088000.0,968147000.0,723377000.0,683385000.0
minorityInterest,,,,
netIncome,997114000.0,748958000.0,562354000.0,532357000.0
sellingGeneralAdministrative,2836997000.0,2356346000.0,1932572000.0,1823440000.0
grossProfit,4477153000.0,3761549000.0,2871770000.0,2702528000.0
ebit,1369998000.0,1188079000.0,743220000.0,701737000.0
operatingIncome,1369998000.0,1188079000.0,743220000.0,701737000.0
otherOperatingExpenses,,,,
interestExpense,-26610000.0,-28781000.0,-19843000.0,-18352000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,282974000.0,219189000.0,161023000.0,151028000.0
totalRevenue,12731105000.0,10620352000.0,8351931000.0,7911046000.0
totalOperatingExpenses,11361107000.0,9432273000.0,7608711000.0,7209309000.0
costOfRevenue,8253952000.0,6858803000.0,5480161000.0,5208518000.0
totalOtherIncomeExpenseNet,-89910000.0,-219932000.0,-19843000.0,-18352000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,997114000.0,748958000.0,562354000.0,532357000.0
netIncomeApplicableToCommonShares,997114000.0,748958000.0,562354000.0,532357000.0
changeToLiabilities,179534000.0,333060000.0,23055000.0,43413000.0
totalCashflowsFromInvestingActivities,-627340000.0,-292210000.0,-214961000.0,-276314000.0
netBorrowings,-4580000.0,598330000.0,-14958000.0,-21996000.0
totalCashFromFinancingActivities,-975106000.0,155210000.0,-598813000.0,-440929000.0
changeToOperatingActivities,56031000.0,183480000.0,-2358000.0,45721000.0
issuanceOfStock,82249000.0,99340000.0,115981000.0,79643000.0
changeInCash,-463726000.0,1257515000.0,-2058000.0,-22849000.0
repurchaseOfStock,-813769000.0,-350756000.0,-537137000.0,-351143000.0
totalCashFromOperatingActivities,1138720000.0,1394515000.0,811716000.0,694394000.0
depreciation,270158000.0,217124000.0,195978000.0,177351000.0
dividendsPaid,-239006000.0,-174656000.0,-162699000.0,-147087000.0
changeToInventory,-407922000.0,-180489000.0,-13239000.0,-136334000.0
changeToNetincome,80843000.0,78428000.0,37599000.0,40241000.0
capitalExpenditures,-628431000.0,-294002000.0,-217450000.0,-278530000.0
otherCashflowsFromFinancingActivities,,-17048000.0,-17048000.0,-346000.0
annualDilutedAverageShares,115824000.0,117436000.0,120743000.0,123471000.0
